年份,农村居民家庭平均每人工资性纯收入,农村居民低收入户人均工资性纯收入,农村居民中等偏下户人均工资性纯收入,农村居民中等收入户人均工资性纯收入,农村居民中等偏上户人均工资性纯收入,农村居民高收入户人均工资性纯收入
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,3447.463656,993.4233427,2053.747371,3196.41167,4789.214388,8109.603169
2011,2963.43,861.0174755,1792.19227,2739.837146,4083.704298,6943.617678
2010,2431.05,675.39,1431.58,2239.47,3289.8,5880.83
2009,2061.25,561.83,1201.07,1865.55,2805.42,4993.68
2008,1853.73,528.66,1095.21,1686.69,2494.84,4525.14
2007,1596.22,447.26,969.75,1450.08,2141.96,3930.43
2006,1374.8,386.03,814.13,1230.54,1806.96,3495.24
2005,1174.53,321.72,672.22,1043.14,1538.84,3096.99
2004,998.46,264.64,542.54,854.11,1307.85,2802.18
2003,918.38,233.15,483.24,795.44,1218.07,2574.73
2002,840.22,226.38,454.17,716.18,1098.31,2392.27
2001,,,,,,
2000,,,,,,
