年份,农村居民家庭平均每人家庭经营纯收入,农村居民低收入户人均家庭经营纯收入,农村居民中等偏下户人均家庭经营纯收入,农村居民中等收入户人均家庭经营纯收入,农村居民中等偏上户人均家庭经营纯收入,农村居民高收入户人均家庭经营纯收入
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,,,,,,
2013,,,,,,
2012,3533.366279,937.7400215,2216.221298,3124.736674,4330.364198,8500.088615
2011,3221.98,824.8695947,2018.593807,2856.741217,3947.584585,7784.394095
2010,2832.8,939.36,1828.35,2496.56,3462.2,6419.4
2009,2526.78,767.34,1607.96,2238.29,3081.12,5778.58
2008,2435.56,781.15,1580.11,2169.31,2945.41,5512.62
2007,2193.67,768.43,1428.45,1977.97,2635.68,4857.06
2006,1930.962096,698.85,1265.72,1731.32,2356.46,4172.0
2005,1844.53,662.6,1230.66,1651.88,2230.97,3965.85
2004,1745.79,684.26,1208.15,1601.88,2116.93,3548.93
2003,1541.28,590.52,1057.51,1380.06,1833.93,3238.28
2002,1486.54,599.81,1033.53,1359.36,1790.7,3013.07
2001,,,,,,
2000,,,,,,
