省份编码,省份,年份,等级运动员发展人数(人),等级女运动员发展人数(人),国际级运动健将发展人数(人),国际级女运动健将发展人数(人),运动健将发展人数(人),女运动健将发展数(人),一级运动员发展人数(人),一级女运动员发展人数(人),二级运动员发展人数(人),二级女运动员发展人数(人)
110000,北京市,2019,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,
110000,北京市,2017,,,,,,,,,,
110000,北京市,2016,,,,,,,,,,
110000,北京市,2015,1449,588,15,9,118,62,374,155,942,362
110000,北京市,2014,1826,793,12,3,93,38,528,274,1193,478
110000,北京市,2013,1676,612,5,2,69,26,325,129,1277,455
110000,北京市,2012,1880,744,11,6,106,38,426,175,1337,525
110000,北京市,2011,1751,689,19,4,144,56,411,168,1177,461
110000,北京市,2010,1644,682,,,,,450,193,1194,489
110000,北京市,2009,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,
120000,天津市,2018,,,,,,,,,,
120000,天津市,2017,,,,,,,,,,
120000,天津市,2016,,,,,,,,,,
120000,天津市,2015,740,278,,,,,231,99,509,179
120000,天津市,2014,1540,592,,,,,421,175,1119,417
120000,天津市,2013,1100,446,7,3,62,33,203,79,828,331
120000,天津市,2012,1835,720,,,,,368,136,1467,584
120000,天津市,2011,1175,534,7,4,98,46,217,126,853,358
120000,天津市,2010,1062,496,7,5,70,34,148,75,837,382
120000,天津市,2009,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,,,,,,,,,,
130000,河北省,2018,,,,,,,,,,
130000,河北省,2017,,,,,,,,,,
130000,河北省,2016,,,,,,,,,,
130000,河北省,2015,2246,766,,,,,596,274,1650,492
130000,河北省,2014,2460,925,,,,,592,274,1868,651
130000,河北省,2013,2679,963,5,3,38,8,504,234,2132,718
130000,河北省,2012,2602,921,7,4,74,32,332,132,2189,753
130000,河北省,2011,2489,958,,,70,37,458,201,1961,720
130000,河北省,2010,2877,1107,,,22,3,528,259,2327,845
130000,河北省,2009,,,,,,,,,,
130000,河北省,2008,,,,,,,,,,
130000,河北省,2007,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,,,,,,,,,,
140000,山西省,2018,,,,,,,,,,
140000,山西省,2017,,,,,,,,,,
140000,山西省,2016,,,,,,,,,,
140000,山西省,2015,1399,549,3,1,25,8,356,164,1015,376
140000,山西省,2014,1567,627,4,3,15,8,329,141,1219,475
