省份编码,省份,年份,等级教练员发展人数(人),等级女教练员发展人数(人),国家级教练员发展人数(人),国家级女教练员发展人数(人),高级教练员发展人数(人),高级女教练员发展人数(人),中级教练员发展人数(人),中级女教练员发展人数(人),初级教练员发展人数(人),初级女教练员发展人数(人)
110000,北京市,2019,,,,,,,,,,
110000,北京市,2018,,,,,,,,,,
110000,北京市,2017,,,,,,,,,,
110000,北京市,2016,,,,,,,,,,
110000,北京市,2015,27,7,,,12,4,,,,
110000,北京市,2014,26,7,,,8,1,,,,
110000,北京市,2013,27,6,1,,7,2,,,,
110000,北京市,2012,20,8,,,1,,2,1,17,7
110000,北京市,2011,62,24,,,7,3,19,9,36,12
110000,北京市,2010,99,31,1,,17,1,33,8,48,22
110000,北京市,2009,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,
120000,天津市,2019,,,,,,,,,,
120000,天津市,2018,,,,,,,,,,
120000,天津市,2017,,,,,,,,,,
120000,天津市,2016,,,,,,,,,,
120000,天津市,2015,43,12,2,,12,4,,,,
120000,天津市,2014,40,9,2,,11,3,,,,
120000,天津市,2013,32,7,6,,5,1,,,,
120000,天津市,2012,16,6,5,,,,5,1,6,5
120000,天津市,2011,14,4,1,,2,1,7,2,4,1
120000,天津市,2010,6,0,4,,,,,,2,
120000,天津市,2009,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,
130000,河北省,2019,,,,,,,,,,
130000,河北省,2018,,,,,,,,,,
130000,河北省,2017,,,,,,,,,,
130000,河北省,2016,,,,,,,,,,
130000,河北省,2015,37,13,1,1,2,,,,,
130000,河北省,2014,36,10,1,1,3,,,,,
130000,河北省,2013,27,7,1,1,2,,,,,
130000,河北省,2012,22,5,2,,2,,3,3,15,2
130000,河北省,2011,14,3,,,,,4,,10,3
130000,河北省,2010,8,2,5,1,,,1,,2,1
130000,河北省,2009,,,,,,,,,,
130000,河北省,2008,,,,,,,,,,
130000,河北省,2007,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,
140000,山西省,2019,,,,,,,,,,
140000,山西省,2018,,,,,,,,,,
140000,山西省,2017,,,,,,,,,,
140000,山西省,2016,,,,,,,,,,
140000,山西省,2015,60,20,,,11,2,,,,
140000,山西省,2014,47,14,,,9,2,,,,
140000,山西省,2013,47,15,,,8,2,,,,
140000,山西省,2012,2,,2,,,,,,,
140000,山西省,2011,1,0,,,,,,,1,
140000,山西省,2010,0,0,,,,,,,,
