年份,中国实际利用北美洲外商直接投资金额,中国实际利用加拿大外商直接投资金额,中国实际利用美国外商直接投资金额,中国实际利用百慕大外商直接投资金额,中国实际利用北美洲其他国家(地区)外商直接投资金额
2019,340785,23195,268638,48386,566
2018,514789,28461,268931,216727,670
2017,428552,29269,264905,134213,165
2016,310421,26240,238601,45580,
2015,304272,22392,208889,71018,1973
2014,325619,35346,237074,53080,119
2013,408372,53610,281987,72194,581
2012,382585,43497,259809,79160,
2011,358156,46832,236932,74362,30
2010,401372,63485,301734,35963,190
2009,367672,86177,255499,25771,225
2008,395780,54328,294434,46898,120
2007,339027,39658,261623,37684,62
2006,368699,42416,286509,39481,293
2005,372996,45413,306123,21400,60
2004,497759,61387,394095,42277,
2003,516135,56351,419851,39820,113
2002,142689,58798,542392,47842,
2001,509685,44130,443322,20720,1513
2000,478579,27978,438389,12212,
