年份,签订外商直接投资项目数,农、林、牧、渔业签订外商直接投资项目数,采矿业签订外商直接投资项目数,制造业签订外商直接投资项目数,电力、燃气及水的生产和供应业签订外商直接投资项目数,建筑业签订外商直接投资项目数,交通运输、仓储和邮政业签订外商直接投资项目数,信息传输、计算机服务和软件业签订外商直接投资项目数,批发和零售业签订外商直接投资项目数,住宿和餐饮业签订外商直接投资项目数,金融业签订外商直接投资项目数,房地产业签订外商直接投资项目数,租赁和商务服务业签订外商直接投资项目数,科学研究、技术服务和地质勘查业签订外商直接投资项目数,水利、环境和公共设施管理业签订外商直接投资项目数,居民服务和其他服务业签订外商直接投资项目数,教育签订外商直接投资项目数,卫生、社会保障和社会福利业签订外商直接投资项目数,文化、体育和娱乐业签订外商直接投资项目数,公共管理和社会组织签订外商直接投资项目数
2019,40888,495,31,5396,295,557,591,4295,13837,835,865,1050,5777,5183,143,361,258,111,804,4
2018,60533,741,46,6152,284,1449,754,7222,22853,854,2469,1053,9099,5819,151,485,266,83,749,4
2017,35652,706,26,4986,372,633,517,3169,12283,703,1742,737,5087,3391,156,349,203,114,476,2
2016,27900,558,26,4013,311,268,425,1463,9399,620,2476,378,4631,2444,97,245,96,77,371,2
2015,26575,609,34,4507,264,176,449,1311,9156,611,2003,387,4465,1970,84,217,38,51,238,5
2014,23778,719,35,5178,208,230,376,981,7978,567,970,446,3963,1611,99,181,20,22,194,
2013,22773,757,47,6504,200,180,401,796,7349,436,509,530,3359,1241,107,166,22,18,151,
2012,24925,882,53,8970,187,209,397,926,7029,505,282,472,3229,1287,122,192,11,24,145,3
2011,27712,865,87,11114,214,215,413,993,7259,513,156,466,3518,1357,151,212,15,11,152,1
2010,27406,929,92,11047,210,276,396,1046,6786,579,85,689,3418,1299,143,217,12,12,168,2
2009,23435,896,99,9767,238,220,395,1081,5100,502,52,569,2864,1066,183,207,20,18,158,
2008,27514,917,149,11568,320,262,523,1286,5854,633,25,452,3138,1839,138,205,24,10,170,1
2007,37871,1048,234,19193,352,308,658,1392,6338,938,51,1444,3539,1716,154,270,15,13,207,
2006,41473,951,208,24790,375,352,665,1378,4664,1060,52,2398,2885,1035,132,236,27,20,241,
2005,44001,1058,252,28928,390,457,734,1493,2602,1207,40,2120,2981,926,139,329,51,22,272,
2004,43664,,,,,,,,,,,,,,,,,,,
2003,41081,1116,211,29281,333,396,506,,,,23,1553,,,,,,,,
2002,34171,975,164,24930,185,329,405,,,,17,1316,,,,,,,,
2001,26140,887,149,19106,136,256,297,,,,8,820,,,,,,,,
2000,22347,821,162,15988,107,233,306,,,,,684,,,,2679,,,,
