年份,实现营销创新活动的规模以上内资工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上国有工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上集体工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上股份合作工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上联营工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上有限责任公司工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上国有独资公司工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上股份有限公司工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上私营工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上其他内资工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上港、澳、台商投资工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上外商投资工业企业占规模以上工业企业的比重
2019,32.246,16.949,14.209,25.41,15.517,31.397,24.982,48.115,31.954,20.588,29.132,26.018
2018,28.38,14.596,11.988,18.742,17.647,28.533,24.118,45.234,27.669,11.94,26.643,24.69
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
