年份,实现营销创新活动的企业占规模以上工业企业的比重,实现营销创新活动的规模以上采矿业企业占规模以上工业企业的比重,实现营销创新活动的规模以上煤炭开采和洗选业企业占规模以上工业企业的比重,实现营销创新活动的规模以上石油和天然气开采业企业占规模以上工业企业的比重,实现营销创新活动的规模以上黑色金属矿采选业企业占规模以上工业企业的比重,实现营销创新活动的规模以上有色金属矿采选业企业占规模以上工业企业的比重,实现营销创新活动的规模以上非金属矿采选业企业占规模以上工业企业的比重,实现营销创新活动的规模以上开采专业及辅助性活动企业占规模以上工业企业的比重,实现营销创新活动的规模以上其他采矿业企业占规模以上工业企业的比重,实现营销创新活动的规模以上制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上农副食品加工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上食品制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上酒、饮料和精制茶制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上烟草制品业企业占规模以上工业企业的比重,实现营销创新活动的规模以上纺织业企业占规模以上工业企业的比重,实现营销创新活动的规模以上纺织服装、服饰业企业占规模以上工业企业的比重,实现营销创新活动的规模以上皮革、毛皮、羽毛及其制品和制鞋业企业占规模以上工业企业的比重,实现营销创新活动的规模以上木材加工和木、竹、藤、棕、草制品业企业占规模以上工业企业的比重,实现营销创新活动的规模以上家具制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上造纸和纸制品业企业占规模以上工业企业的比重,实现营销创新活动的规模以上印刷和记录媒介复制业企业占规模以上工业企业的比重,实现营销创新活动的规模以上文教、工美、体育和娱乐用品制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上石油加工、炼焦和核燃料加工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上化学原料和化学制品制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上医药制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上化学纤维制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上橡胶和塑料制品业企业占规模以上工业企业的比重,实现营销创新活动的规模以上非金属矿物制品业企业占规模以上工业企业的比重,实现营销创新活动的规模以上黑色金属冶炼和压延加工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上有色金属冶炼和压延加工业企业占规模以上工业企业的比重,实现营销创新活动的规模以上金属制品业企业占规模以上工业企业的比重,实现营销创新活动的规模以上通用设备制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上专用设备制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上汽车制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上铁路、船舶、航空航天和其他运输设备制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上电气机械和器材制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上计算机、通信和其他电子设备制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上仪器仪表制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上其他制造业企业占规模以上工业企业的比重,实现营销创新活动的规模以上废弃资源综合利用业企业占规模以上工业企业的比重,实现营销创新活动的规模以上金属制品、机械和设备修理业企业占规模以上工业企业的比重,实现营销创新活动的规模以上电力、热力、燃气及水生产和供应业企业占规模以上工业企业的比重,实现营销创新活动的规模以上电力、热力生产和供应业企业占规模以上工业企业的比重,实现营销创新活动的规模以上燃气生产和供应业企业占规模以上工业企业的比重,实现营销创新活动的规模以上水的生产和供应业企业占规模以上工业企业的比重
2019,31.693,10.789,10.089,7.563,8.512,9.253,13.394,8.984,20,33.128,35.598,46.575,44.339,32.71,24.587,20.132,24.621,22.051,34.58,27.987,28.937,33.596,26.163,35.108,48.735,29.224,31.966,23.254,22.472,26.486,29.014,38.242,41.784,32.137,33.673,43.197,43.083,48.866,36.228,17.147,17.532,10.261,8.682,17.581,9.128
2018,28.048,9.056,8.931,7.965,5.965,7.991,10.877,10.396,8.333,29.212,30.343,39.733,39.487,36.111,21.233,17.814,20.455,20.231,26.866,24.914,24.072,28.801,25.101,31.772,45.962,26.601,27.271,20.222,19.614,22.823,25.529,33.937,36.955,29.888,29.115,38.65,39.732,44.023,30.409,14.988,14.508,9.957,8.745,16.117,8.899
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
