省份编码,省份,年份,社区卫生服务中心数(个),无床的社区卫生服务中心数(个),1-9张床位数的社区卫生服务中心数(个),10-29张床位数的社区卫生服务中心数(个),30-49张床位数的社区卫生服务中心数(个),50-99张床位数的社区卫生服务中心数(个),100张及以上床位数的社区卫生服务中心数(个),社区卫生服务站数(个),无床的社区卫生服务站数(个),1-9张床位数的社区卫生服务站数(个),10张及以上床位数的社区卫生服务站数(个)
110000,北京市,2019,340,177,44,64,23,23,9,1612,1612,,
110000,北京市,2018,332,167,45,67,23,23,7,1619,1619,,
110000,北京市,2017,327,165,43,70,22,21,6,1630,1630,,
110000,北京市,2016,324,159,44,72,24,18,7,1591,1591,,
110000,北京市,2015,322,162,42,67,26,18,7,1584,1584,,
110000,北京市,2014,322,162,36,73,26,18,7,1574,1574,,
110000,北京市,2013,316,157,38,71,26,16,8,1555,1555,,
110000,北京市,2012,315,153,34,75,26,20,7,1531,1531,,
110000,北京市,2011,312,152,27,80,30,18,5,1381,1381,,
110000,北京市,2010,310,149,28,79,33,16,5,1273,1273,,
110000,北京市,2009,,,,,,,,,,,
110000,北京市,2008,,,,,,,,,,,
110000,北京市,2007,,,,,,,,,,,
110000,北京市,2006,,,,,,,,,,,
110000,北京市,2005,,,,,,,,,,,
110000,北京市,2004,,,,,,,,,,,
110000,北京市,2003,,,,,,,,,,,
110000,北京市,2002,,,,,,,,,,,
110000,北京市,2001,,,,,,,,,,,
110000,北京市,2000,,,,,,,,,,,
120000,天津市,2019,124,62,1,19,15,26,1,500,500,,
120000,天津市,2018,121,60,,17,13,29,2,480,480,,
120000,天津市,2017,120,55,,18,10,35,2,467,463,1,3
120000,天津市,2016,114,50,,17,12,33,2,471,471,,
120000,天津市,2015,115,50,,17,13,34,1,459,459,,
120000,天津市,2014,109,46,,15,12,34,2,460,460,,
120000,天津市,2013,108,40,,15,14,37,2,455,455,,
120000,天津市,2012,97,33,,13,14,36,1,462,462,,
120000,天津市,2011,95,33,,13,11,37,1,441,441,,
120000,天津市,2010,101,31,1,14,14,40,1,776,760,16,
120000,天津市,2009,,,,,,,,,,,
120000,天津市,2008,,,,,,,,,,,
120000,天津市,2007,,,,,,,,,,,
120000,天津市,2006,,,,,,,,,,,
120000,天津市,2005,,,,,,,,,,,
120000,天津市,2004,,,,,,,,,,,
120000,天津市,2003,,,,,,,,,,,
120000,天津市,2002,,,,,,,,,,,
120000,天津市,2001,,,,,,,,,,,
120000,天津市,2000,,,,,,,,,,,
130000,河北省,2019,343,86,25,135,52,40,5,1082,738,228,116
130000,河北省,2018,328,84,23,128,47,42,4,1057,657,254,146
130000,河北省,2017,287,59,30,104,56,34,4,987,603,242,142
130000,河北省,2016,280,57,30,102,60,29,2,917,514,230,173
130000,河北省,2015,279,57,32,106,57,25,2,909,524,214,171
130000,河北省,2014,274,57,33,99,55,29,1,895,517,204,174
130000,河北省,2013,258,62,30,98,41,26,1,857,487,208,162
130000,河北省,2012,256,57,34,93,42,28,2,874,488,223,163
130000,河北省,2011,234,53,25,87,39,27,3,885,549,186,150
130000,河北省,2010,234,56,19,88,42,28,1,938,598,202,138
130000,河北省,2009,,,,,,,,,,,
130000,河北省,2008,,,,,,,,,,,
130000,河北省,2007,,,,,,,,,,,
130000,河北省,2006,,,,,,,,,,,
130000,河北省,2005,,,,,,,,,,,
130000,河北省,2004,,,,,,,,,,,
130000,河北省,2003,,,,,,,,,,,
130000,河北省,2002,,,,,,,,,,,
130000,河北省,2001,,,,,,,,,,,
130000,河北省,2000,,,,,,,,,,,
140000,山西省,2019,230,105,16,60,25,22,2,754,653,84,17
140000,山西省,2018,227,108,14,63,24,17,1,738,631,84,23
140000,山西省,2017,227,108,15,62,27,14,1,710,596,90,24
140000,山西省,2016,231,107,17,66,27,13,1,698,592,82,24
140000,山西省,2015,219,95,15,67,29,11,2,668,533,106,29
140000,山西省,2014,209,84,18,64,29,12,2,645,499,109,37
140000,山西省,2013,203,76,19,63,26,14,5,611,492,87,32
140000,山西省,2012,201,61,14,70,33,19,4,590,471,82,37
140000,山西省,2011,194,62,9,63,36,21,3,584,471,75,38
140000,山西省,2010,190,60,10,54,33,30,3,564,477,55,32
140000,山西省,2009,,,,,,,,,,,
140000,山西省,2008,,,,,,,,,,,
140000,山西省,2007,,,,,,,,,,,
140000,山西省,2006,,,,,,,,,,,
140000,山西省,2005,,,,,,,,,,,
140000,山西省,2004,,,,,,,,,,,
140000,山西省,2003,,,,,,,,,,,
140000,山西省,2002,,,,,,,,,,,
140000,山西省,2001,,,,,,,,,,,
140000,山西省,2000,,,,,,,,,,,
150000,内蒙古自治区,2019,334,151,32,79,35,36,1,863,863,,
150000,内蒙古自治区,2018,329,153,29,77,32,35,3,868,864,1,3
150000,内蒙古自治区,2017,319,140,36,81,26,33,3,875,871,1,3
150000,内蒙古自治区,2016,314,145,33,83,33,19,1,881,795,67,19
150000,内蒙古自治区,2015,308,149,31,85,29,13,1,885,786,72,27
150000,内蒙古自治区,2014,292,107,44,106,23,11,1,888,515,282,91
150000,内蒙古自治区,2013,276,96,43,105,20,10,2,872,498,292,82
150000,内蒙古自治区,2012,275,80,51,109,20,12,3,887,493,314,80
150000,内蒙古自治区,2011,274,91,36,106,25,12,4,874,477,320,77
150000,内蒙古自治区,2010,240,87,32,85,23,10,3,787,442,263,82
150000,内蒙古自治区,2009,,,,,,,,,,,
150000,内蒙古自治区,2008,,,,,,,,,,,
150000,内蒙古自治区,2007,,,,,,,,,,,
150000,内蒙古自治区,2006,,,,,,,,,,,
150000,内蒙古自治区,2005,,,,,,,,,,,
150000,内蒙古自治区,2004,,,,,,,,,,,
150000,内蒙古自治区,2003,,,,,,,,,,,
150000,内蒙古自治区,2002,,,,,,,,,,,
150000,内蒙古自治区,2001,,,,,,,,,,,
150000,内蒙古自治区,2000,,,,,,,,,,,
210000,辽宁省,2019,398,222,10,75,46,32,13,923,868,34,21
210000,辽宁省,2018,398,232,8,65,40,39,14,927,889,18,20
210000,辽宁省,2017,397,232,9,69,34,40,13,841,841,,
210000,辽宁省,2016,378,247,8,54,23,33,13,787,786,1,
210000,辽宁省,2015,368,245,6,52,20,34,11,774,774,,
210000,辽宁省,2014,360,237,9,46,19,36,13,778,768,3,7
210000,辽宁省,2013,351,231,8,49,24,25,14,785,778,2,5
210000,辽宁省,2012,327,209,14,47,20,21,16,794,627,90,77
210000,辽宁省,2011,279,184,9,34,15,21,16,759,645,70,44
210000,辽宁省,2010,224,156,5,23,10,18,12,723,638,49,36
210000,辽宁省,2009,,,,,,,,,,,
210000,辽宁省,2008,,,,,,,,,,,
210000,辽宁省,2007,,,,,,,,,,,
210000,辽宁省,2006,,,,,,,,,,,
210000,辽宁省,2005,,,,,,,,,,,
210000,辽宁省,2004,,,,,,,,,,,
210000,辽宁省,2003,,,,,,,,,,,
210000,辽宁省,2002,,,,,,,,,,,
210000,辽宁省,2001,,,,,,,,,,,
210000,辽宁省,2000,,,,,,,,,,,
220000,吉林省,2019,228,110,14,61,18,23,2,72,54,14,4
220000,吉林省,2018,214,115,11,47,16,22,3,162,115,38,9
220000,吉林省,2017,208,106,14,43,17,26,2,180,128,43,9
220000,吉林省,2016,207,104,16,43,22,21,1,188,139,41,8
220000,吉林省,2015,203,98,18,43,23,20,1,222,145,70,7
220000,吉林省,2014,202,96,19,43,24,19,1,162,114,43,5
220000,吉林省,2013,198,99,18,38,21,21,1,163,113,46,4
220000,吉林省,2012,187,91,17,35,20,23,1,166,118,45,3
220000,吉林省,2011,178,90,10,34,22,20,2,360,173,183,4
220000,吉林省,2010,138,71,6,32,16,12,1,1938,1449,483,6
220000,吉林省,2009,,,,,,,,,,,
220000,吉林省,2008,,,,,,,,,,,
220000,吉林省,2007,,,,,,,,,,,
220000,吉林省,2006,,,,,,,,,,,
220000,吉林省,2005,,,,,,,,,,,
220000,吉林省,2004,,,,,,,,,,,
220000,吉林省,2003,,,,,,,,,,,
220000,吉林省,2002,,,,,,,,,,,
220000,吉林省,2001,,,,,,,,,,,
220000,吉林省,2000,,,,,,,,,,,
230000,黑龙江省,2019,459,218,56,89,54,41,1,172,120,20,32
230000,黑龙江省,2018,450,206,54,86,57,43,4,164,104,27,33
230000,黑龙江省,2017,458,219,48,87,52,48,4,171,114,25,32
230000,黑龙江省,2016,440,217,42,92,47,37,5,213,152,33,28
230000,黑龙江省,2015,439,221,41,86,49,37,5,263,180,52,31
230000,黑龙江省,2014,438,219,42,89,49,34,5,327,191,94,42
230000,黑龙江省,2013,432,213,40,94,40,41,4,342,182,113,47
230000,黑龙江省,2012,410,189,38,94,47,38,4,366,221,93,52
230000,黑龙江省,2011,413,193,31,94,52,34,9,361,233,78,50
230000,黑龙江省,2010,376,180,25,77,42,42,10,659,446,120,93
230000,黑龙江省,2009,,,,,,,,,,,
230000,黑龙江省,2008,,,,,,,,,,,
230000,黑龙江省,2007,,,,,,,,,,,
230000,黑龙江省,2006,,,,,,,,,,,
230000,黑龙江省,2005,,,,,,,,,,,
230000,黑龙江省,2004,,,,,,,,,,,
230000,黑龙江省,2003,,,,,,,,,,,
230000,黑龙江省,2002,,,,,,,,,,,
230000,黑龙江省,2001,,,,,,,,,,,
230000,黑龙江省,2000,,,,,,,,,,,
310000,上海市,2019,321,120,1,19,44,89,48,745,745,,
310000,上海市,2018,315,114,2,18,44,89,48,723,723,,
310000,上海市,2017,308,109,2,17,44,82,54,701,701,,
310000,上海市,2016,307,105,2,19,43,84,54,732,732,,
310000,上海市,2015,306,104,3,18,42,81,58,729,729,,
310000,上海市,2014,305,102,4,18,43,79,59,722,722,,
310000,上海市,2013,301,98,6,15,42,79,61,708,708,,
310000,上海市,2012,309,108,4,16,42,78,61,704,704,,
310000,上海市,2011,301,100,5,11,41,83,61,670,670,,
310000,上海市,2010,296,94,3,12,38,81,68,635,635,,
310000,上海市,2009,,,,,,,,,,,
310000,上海市,2008,,,,,,,,,,,
310000,上海市,2007,,,,,,,,,,,
310000,上海市,2006,,,,,,,,,,,
310000,上海市,2005,,,,,,,,,,,
310000,上海市,2004,,,,,,,,,,,
310000,上海市,2003,,,,,,,,,,,
310000,上海市,2002,,,,,,,,,,,
310000,上海市,2001,,,,,,,,,,,
310000,上海市,2000,,,,,,,,,,,
320000,江苏省,2019,563,140,9,108,142,109,55,2143,2113,30,
320000,江苏省,2018,565,138,9,113,138,116,51,2204,2159,44,1
320000,江苏省,2017,558,143,5,111,136,116,47,2222,2167,54,1
320000,江苏省,2016,544,144,5,116,131,118,30,2116,2044,71,1
320000,江苏省,2015,548,134,5,117,139,118,35,2234,2161,69,4
320000,江苏省,2014,543,135,7,113,138,115,35,2260,2170,84,6
320000,江苏省,2013,528,130,6,114,133,111,34,2219,2108,101,10
320000,江苏省,2012,497,124,9,109,126,100,29,2116,2009,97,10
320000,江苏省,2011,484,135,8,101,113,99,28,2067,1941,115,11
320000,江苏省,2010,496,131,10,114,119,98,24,1681,1571,94,16
320000,江苏省,2009,,,,,,,,,,,
320000,江苏省,2008,,,,,,,,,,,
320000,江苏省,2007,,,,,,,,,,,
320000,江苏省,2006,,,,,,,,,,,
320000,江苏省,2005,,,,,,,,,,,
320000,江苏省,2004,,,,,,,,,,,
320000,江苏省,2003,,,,,,,,,,,
320000,江苏省,2002,,,,,,,,,,,
320000,江苏省,2001,,,,,,,,,,,
320000,江苏省,2000,,,,,,,,,,,
330000,浙江省,2019,479,221,47,91,60,52,8,4443,4437,6,
330000,浙江省,2018,477,233,40,80,67,49,8,4835,4827,8,
330000,浙江省,2017,471,241,41,79,61,43,6,5216,5205,10,1
330000,浙江省,2016,467,238,41,79,63,38,8,5404,5398,5,1
330000,浙江省,2015,467,230,44,79,65,42,7,5552,5547,4,1
330000,浙江省,2014,481,239,44,93,62,38,5,5685,5673,8,4
330000,浙江省,2013,486,214,49,110,69,38,6,5777,5770,4,3
330000,浙江省,2012,483,197,47,120,70,43,6,6139,6131,4,4
330000,浙江省,2011,508,215,51,111,70,50,11,6018,5992,21,5
330000,浙江省,2010,310,117,38,66,52,30,7,5793,5777,12,4
330000,浙江省,2009,,,,,,,,,,,
330000,浙江省,2008,,,,,,,,,,,
330000,浙江省,2007,,,,,,,,,,,
330000,浙江省,2006,,,,,,,,,,,
330000,浙江省,2005,,,,,,,,,,,
330000,浙江省,2004,,,,,,,,,,,
330000,浙江省,2003,,,,,,,,,,,
330000,浙江省,2002,,,,,,,,,,,
330000,浙江省,2001,,,,,,,,,,,
330000,浙江省,2000,,,,,,,,,,,
340000,安徽省,2019,380,124,26,115,56,48,11,1478,1478,,
340000,安徽省,2018,394,136,30,114,52,49,13,1497,1497,,
340000,安徽省,2017,398,144,29,120,50,40,15,1483,1483,,
340000,安徽省,2016,404,154,28,123,50,41,8,1504,1504,,
340000,安徽省,2015,407,155,28,122,50,44,8,1523,1523,,
340000,安徽省,2014,406,144,34,121,56,43,8,1535,1534,1,
340000,安徽省,2013,414,142,38,127,58,42,7,1528,1528,,
340000,安徽省,2012,410,141,35,123,66,41,4,1538,1256,239,43
340000,安徽省,2011,402,150,26,114,66,42,4,1522,1263,216,43
340000,安徽省,2010,366,139,21,109,58,36,3,1345,1085,215,45
340000,安徽省,2009,,,,,,,,,,,
340000,安徽省,2008,,,,,,,,,,,
340000,安徽省,2007,,,,,,,,,,,
340000,安徽省,2006,,,,,,,,,,,
340000,安徽省,2005,,,,,,,,,,,
340000,安徽省,2004,,,,,,,,,,,
340000,安徽省,2003,,,,,,,,,,,
340000,安徽省,2002,,,,,,,,,,,
340000,安徽省,2001,,,,,,,,,,,
340000,安徽省,2000,,,,,,,,,,,
350000,福建省,2019,228,104,11,63,23,21,6,435,435,,
350000,福建省,2018,226,106,9,66,22,21,2,465,465,,
350000,福建省,2017,223,107,11,61,23,19,2,453,450,3,
350000,福建省,2016,222,105,10,66,23,17,1,333,329,3,1
350000,福建省,2015,219,109,8,60,23,18,1,309,309,,
350000,福建省,2014,219,112,9,57,23,17,1,312,312,,
350000,福建省,2013,221,118,9,52,25,17,,312,312,,
350000,福建省,2012,217,123,7,52,19,16,,315,313,2,
350000,福建省,2011,208,111,12,54,18,13,,303,300,2,1
350000,福建省,2010,190,89,16,55,16,12,2,296,285,10,1
350000,福建省,2009,,,,,,,,,,,
350000,福建省,2008,,,,,,,,,,,
350000,福建省,2007,,,,,,,,,,,
350000,福建省,2006,,,,,,,,,,,
350000,福建省,2005,,,,,,,,,,,
350000,福建省,2004,,,,,,,,,,,
350000,福建省,2003,,,,,,,,,,,
350000,福建省,2002,,,,,,,,,,,
350000,福建省,2001,,,,,,,,,,,
350000,福建省,2000,,,,,,,,,,,
360000,江西省,2019,179,59,19,57,27,14,3,406,298,96,12
360000,江西省,2018,180,62,18,57,26,14,3,376,263,99,14
360000,江西省,2017,180,62,17,58,23,18,2,393,263,117,13
360000,江西省,2016,168,55,17,57,26,11,2,423,273,131,19
360000,江西省,2015,170,56,19,54,26,15,,440,285,130,25
360000,江西省,2014,168,48,25,51,30,14,,442,273,142,27
360000,江西省,2013,164,49,25,50,27,11,2,443,280,138,25
360000,江西省,2012,163,45,26,56,22,11,3,448,283,135,30
360000,江西省,2011,149,41,30,49,18,9,2,468,279,159,30
360000,江西省,2010,185,64,31,56,19,10,5,515,288,198,29
360000,江西省,2009,,,,,,,,,,,
360000,江西省,2008,,,,,,,,,,,
