省份编码,省份,年份,医疗卫生机构诊疗人次(亿次),医疗卫生机构门急诊诊疗人次数(亿次),医疗卫生机构观察室留观病例数(万人),医疗卫生机构门诊健康检查人数(万人),医疗卫生机构急诊抢救成功率(%),医疗卫生机构急诊病死率(%),医疗卫生机构观察室病死率(%)
110000,北京市,2019,2.48863924,2.47675798,211.0852,970.3517,,0.1,0.19
110000,北京市,2018,2.35157972,2.34074691,216.1822,952.4535,,0.1,0.16
110000,北京市,2017,2.24686566,2.22314213,229.4349,832.574,,0.09,0.14
110000,北京市,2016,2.32049739,2.30341187,223.1032,828.5398,,0.0854388781,0.1396663069
110000,北京市,2015,2.1780331,2.16128107,233.6819,854.746,,0.08285404955731,0.116354754048131
110000,北京市,2014,2.13599178,2.11641192,267.3813,594.101,,0.0749328947,0.0949206246
110000,北京市,2013,2.04663805,2.0238667,299.5349,560.0322,,0.078230860621415,0.07458229408326
110000,北京市,2012,1.85297479,1.82762557,296.5518,542.3137,,0.078352276578758,0.062518588658036
110000,北京市,2011,1.61728305,1.60215111,322.5778,702.9213,97.3538450007495,0.077721172894659,0.046872413414686
110000,北京市,2010,1.46370535,1.43442864,306.8758,758.5768,97.5012896569513,0.079113069695095,0.054289064175148
110000,北京市,2009,,,,,,,
110000,北京市,2008,,,,,,,
110000,北京市,2007,,,,,,,
110000,北京市,2006,,,,,,,
110000,北京市,2005,,,,,,,
110000,北京市,2004,,,,,,,
110000,北京市,2003,,,,,,,
110000,北京市,2002,,,,,,,
110000,北京市,2001,,,,,,,
110000,北京市,2000,,,,,,,
120000,天津市,2019,1.22885315,1.19096747,125.613,547.8561,,0.08,0.06
120000,天津市,2018,1.19977653,1.15601704,114.3517,484.2329,,0.09,0.07
120000,天津市,2017,1.21446639,1.16471752,129.1866,549.5529,,0.08,0.06
120000,天津市,2016,1.2003501,1.15975956,138.0817,433.2466,,0.0801795603,0.0561986129
120000,天津市,2015,1.18807437,1.14265161,135.6158,443.4445,,0.070424871503711,0.054639651132095
120000,天津市,2014,1.157751,1.11837221,151.9592,389.0557,,0.083338211,0.0521192531
120000,天津市,2013,1.05327145,1.00729714,182.8693,360.8237,,0.088247616045999,0.05112941319292
120000,天津市,2012,0.96077236,0.92047094,173.902,285.8481,,0.076461238392799,0.035939782176168
120000,天津市,2011,0.86906788,0.83114446,161.4201,251.8779,86.2258138381101,0.087431723526566,0.037293992507748
120000,天津市,2010,0.74971541,0.71593402,188.7425,261.3973,95.2418966799353,0.083356061999573,0.080003178934262
120000,天津市,2009,,,,,,,
120000,天津市,2008,,,,,,,
120000,天津市,2007,,,,,,,
120000,天津市,2006,,,,,,,
120000,天津市,2005,,,,,,,
120000,天津市,2004,,,,,,,
120000,天津市,2003,,,,,,,
120000,天津市,2002,,,,,,,
120000,天津市,2001,,,,,,,
120000,天津市,2000,,,,,,,
130000,河北省,2019,4.32278975,4.00466196,143.0688,1567.9681,,0.15,0.69
130000,河北省,2018,4.31372507,3.99206556,167.0033,1603.434,,0.17,0.13
130000,河北省,2017,4.32137899,3.98431308,193.251,1502.5775,,0.15,0.11
130000,河北省,2016,4.34942997,3.98540236,177.9112,1483.2028,,0.1616060267,0.0912252854
130000,河北省,2015,4.21340776,3.84006226,172.2084,1452.8534,,0.176916068955909,0.105279417264199
130000,河北省,2014,4.12894081,3.74311494,205.0167,1410.2836,,0.1704191075,0.0650678701
130000,河北省,2013,3.93093919,3.51997484,200.1962,1500.6679,,0.182590173846972,0.085765863687722
130000,河北省,2012,3.67916165,3.25626366,218.3823,1505.6518,,0.184080896035995,0.079859952019921
130000,河北省,2011,3.35411546,2.9549393,216.224,1400.6073,95.7822585689582,0.197249690273112,0.079269646292734
130000,河北省,2010,3.1317714,2.75737273,216.6717,1229.7487,96.25595919553,0.241895037116165,0.065721550160912
130000,河北省,2009,,,,,,,
130000,河北省,2008,,,,,,,
130000,河北省,2007,,,,,,,
130000,河北省,2006,,,,,,,
130000,河北省,2005,,,,,,,
130000,河北省,2004,,,,,,,
130000,河北省,2003,,,,,,,
130000,河北省,2002,,,,,,,
130000,河北省,2001,,,,,,,
130000,河北省,2000,,,,,,,
140000,山西省,2019,1.31456549,1.21907738,44.5379,866.5437,,0.14,0.17
140000,山西省,2018,1.29627761,1.19190915,49.2312,809.5905,,0.14,0.12
140000,山西省,2017,1.34853251,1.23779151,50.2099,863.2339,,0.14,0.13
140000,山西省,2016,1.29423922,1.19048079,49.0409,803.2048,,0.1413059156,0.136416746
140000,山西省,2015,1.25212623,1.15100764,54.2556,760.6044,,0.153908901070217,0.074278046874424
140000,山西省,2014,1.27674055,1.16914292,61.6312,788.0264,,0.1396890301,0.0759355651
140000,山西省,2013,1.24864189,1.13673362,65.5724,2928.0141,,0.176723049734915,0.07792912871879
140000,山西省,2012,1.19006665,1.07419489,74.1393,874.3317,,0.181646054467055,0.076882301289599
140000,山西省,2011,1.09464383,0.99078545,71.5124,856.6436,89.3182196570287,0.193859190899066,0.083901533160683
140000,山西省,2010,1.09031599,0.97279208,71.148,731.6659,94.7717101991869,0.19084682349376,0.141676505312869
140000,山西省,2009,,,,,,,
140000,山西省,2008,,,,,,,
140000,山西省,2007,,,,,,,
140000,山西省,2006,,,,,,,
140000,山西省,2005,,,,,,,
140000,山西省,2004,,,,,,,
140000,山西省,2003,,,,,,,
140000,山西省,2002,,,,,,,
140000,山西省,2001,,,,,,,
140000,山西省,2000,,,,,,,
150000,内蒙古自治区,2019,1.07012004,1.00797741,41.1932,559.3739,,0.13,0.18
150000,内蒙古自治区,2018,1.05481067,0.98951098,44.0331,553.2531,,0.14,0.1
150000,内蒙古自治区,2017,1.04420544,0.97715743,45.6882,517.4674,,0.13,0.1
150000,内蒙古自治区,2016,1.03404189,0.96475841,45.1403,531.4621,,0.1289978107,0.2197592838
150000,内蒙古自治区,2015,1.00248525,0.93499136,39.368,587.212,,0.107238866213311,0.22226173541963
150000,内蒙古自治区,2014,1.00336312,0.92833372,41.6046,533.4157,,0.1059379742,0.1894021334
150000,内蒙古自治区,2013,0.98828476,0.90841176,46.823,529.4066,,0.098748062975371,0.179612583559362
150000,内蒙古自治区,2012,0.93340871,0.85558559,43.824,562.326,,0.127490693179398,0.210158817086528
150000,内蒙古自治区,2011,0.87800819,0.80698031,39.8221,571.2733,96.6155292508867,0.166334116568556,0.185575346352905
150000,内蒙古自治区,2010,0.83953036,0.77228968,31.9196,588.9708,96.1976868565316,0.146406288713201,0.239977944585772
