省份编码,省份,年份,乡镇卫生院诊疗人次(亿次),乡镇卫生院入院人数(万人),乡镇卫生院病床使用率(%),乡镇卫生院出院者平均住院日(日)
110000,北京市,2019,,,,
110000,北京市,2018,,,,
110000,北京市,2017,,,,
110000,北京市,2016,,,,
110000,北京市,2015,,,,
110000,北京市,2014,,,,
110000,北京市,2013,,,,
110000,北京市,2012,,,,
110000,北京市,2011,,,,
110000,北京市,2010,,,,
110000,北京市,2009,0.08,,32.8027673532193,7.37099733649009
110000,北京市,2008,0.08,,34.4318052518767,8.2322611429213
110000,北京市,2007,,,,
110000,北京市,2006,,,,
110000,北京市,2005,,,,
110000,北京市,2004,,,,
110000,北京市,2003,,,,
110000,北京市,2002,,,,
110000,北京市,2001,,,,
110000,北京市,2000,,,,
120000,天津市,2019,0.07603676,2.4301,16.53,6.4
120000,天津市,2018,0.0711866,5.2417,29.9,6.6
120000,天津市,2017,0.06539343,7.3787,39.86,6.3
120000,天津市,2016,0.06459378,7.2247,44.0421096857,7.5319783988
120000,天津市,2015,0.06792,8.0,43.6,7.1
120000,天津市,2014,0.06631312,8.0183,41.8538923621,7.0657743163
120000,天津市,2013,0.06217007,8.7641,45.9942544777352,6.6115690214165
120000,天津市,2012,0.06394435,10.933,45.8522599234385,5.19500986649126
120000,天津市,2011,0.05381097,9.9159,46.4039027796695,5.05404237303085
120000,天津市,2010,0.05125595,11.6948,46.375009018561,4.59083805180498
120000,天津市,2009,0.06,,64.4422077876465,4.20084411930219
120000,天津市,2008,0.06,,61.6155510455048,3.87593675059952
120000,天津市,2007,,,,
120000,天津市,2006,,,,
120000,天津市,2005,,,,
120000,天津市,2004,,,,
120000,天津市,2003,,,,
120000,天津市,2002,,,,
120000,天津市,2001,,,,
120000,天津市,2000,,,,
130000,河北省,2019,0.37470633,131.3289,43.95,7.1
130000,河北省,2018,0.37669318,160.7225,51.2,6.9
130000,河北省,2017,0.40310394,163.8562,53.51,6.9
130000,河北省,2016,0.47771875,168.6678,58.5256647466,7.1987345258
130000,河北省,2015,0.45187,155.3,56.5,7.4
130000,河北省,2014,0.43746116,149.8739,55.590763699,7.5379030023
130000,河北省,2013,0.42658442,157.2885,58.3237630442586,7.01678553308965
130000,河北省,2012,0.41304541,157.376,57.852517600894,6.79159936591909
130000,河北省,2011,0.37561799,155.3902,55.402287683777,6.52834167598065
130000,河北省,2010,0.37893602,167.5644,56.2510857876814,5.84908271234641
130000,河北省,2009,0.39,,56.6439848056059,5.64787671577311
130000,河北省,2008,0.37,,51.5949943117179,4.86023560802509
130000,河北省,2007,,,,
130000,河北省,2006,,,,
130000,河北省,2005,,,,
130000,河北省,2004,,,,
130000,河北省,2003,,,,
130000,河北省,2002,,,,
130000,河北省,2001,,,,
130000,河北省,2000,,,,
140000,山西省,2019,0.13271934,41.2842,29.83,7.9
140000,山西省,2018,0.12999311,46.5621,34.2,7.8
140000,山西省,2017,0.17144763,47.893,35.18,7.8
140000,山西省,2016,0.16036845,42.6453,35.074463183,8.5115224569
140000,山西省,2015,0.15177,40.1,40.5,8.1
140000,山西省,2014,0.1502732,42.1529,41.4195059386,7.8370576693
140000,山西省,2013,0.15742945,45.3268,44.4127784840822,7.50941669709514
140000,山西省,2012,0.15654384,48.9778,44.9731702395002,6.97471073973546
