省份编码,省份,年份,医院病床周转次数(次),医院病床工作日(日),医院病床使用率(%),医院平均住院日(日),政府办医院病床周转次数(次),政府办医院病床工作日(日),政府办医院病床使用率(%),政府办医院平均住院日(日)
110000,北京市,2019,,301.6,82.6,9,,,,
110000,北京市,2018,,304.5,83.4,10.1,,,,
110000,北京市,2017,,300.9,82.44,10.08,,,,
110000,北京市,2016,,300.0668402172,82.2100932102,10.4850391253,,,,
110000,北京市,2015,,294.1,80.6,10.9,,323.3,88.6,10.9
110000,北京市,2014,,303.5716275974,83.1703089308,10.988680414,,328.2344817211,89.9272552661,11.0020073922
110000,北京市,2013,,304.794082799547,83.5052281642594,11.9022324799084,,327.56890298504,89.7449049274083,11.9924373670089
110000,北京市,2012,,308.460664664445,84.2788701268976,12.8348973839092,,328.234117502243,89.6814528694654,13.0514033706095
110000,北京市,2011,22.0846316720073,308.194594900621,84.4368753152388,14.5073170965378,24.5409888854517,327.390919716093,89.6961423879706,14.361536155558
110000,北京市,2010,20.6531411370085,308.498812197276,84.5202225198017,16.184425473882,23.0082932596241,328.459409795411,89.9888793960029,16.1955924260655
110000,北京市,2009,,,,,,,,
110000,北京市,2008,,,,,,,,
110000,北京市,2007,,,,,,,,
110000,北京市,2006,,,,,,,,
110000,北京市,2005,,,,,,,,
110000,北京市,2004,,,,,,,,
110000,北京市,2003,,,,,,,,
110000,北京市,2002,,,,,,,,
110000,北京市,2001,,,,,,,,
110000,北京市,2000,,,,,,,,
120000,天津市,2019,,291.2,79.8,9.4,,,,
120000,天津市,2018,,283.0,77.5,9.2,,,,
120000,天津市,2017,,285.1,78.1,10.06,,,,
120000,天津市,2016,,299.5525347067,82.0691875909,10.2775157119,,,,
120000,天津市,2015,,297.9,81.6,10.9,,320.7,87.9,11.2
120000,天津市,2014,,306.0587194059,83.8517039468,10.8721927597,,327.8603183497,89.8247447533,11.272338576
120000,天津市,2013,,309.630268978177,84.8302106789525,11.2335419330966,,328.295807597357,89.9440568759883,11.2560161813617
120000,天津市,2012,,320.596457458361,87.5946605077489,11.0152008296643,,338.471674619036,92.4785996226875,11.4882023156267
120000,天津市,2011,26.1213385061711,328.522830834994,90.006255023286,11.8315458505207,29.8879867176748,349.026008554786,95.6235639876125,11.5431184862312
