省份编码,省份,年份,每万人拥有卫生技术人员数(人),每万人拥有城市卫生技术人员数(人),每万人拥有农村卫生技术人员数(人),每万人拥有执业(助理)医师数(人),每万人拥有城市执业(助理)医师数(人),每万人拥有农村执业(助理)医师数(人),每万人拥有注册护士数(人),每万人拥有城市注册护士数(人),每万人拥有农村注册护士数(人)
110000,北京市,2019,125.91103268945,184.582632792999,,49.1576894502229,71.7974561830698,,53.3483469539376,78.3773082447996,
110000,北京市,2018,118.816155988858,179.5,,46.3356545961003,69.8,,49.8379758588672,75.4,
110000,北京市,2017,113.320127148,176.286068176,,43.496107247,67.552978634,,47.661583821,74.208451579,
110000,北京市,2016,107.668553546,172.393170094,,41.148235078,65.768215392,,45.13875466,72.342159124,
110000,北京市,2015,104.0,170.0,86,39.0,64.0,39,44.0,72.0,30
110000,北京市,2014,99.091542751,163.80155736,80.871456287,37.151022305,61.008983799,37.446696771,41.118959108,68.400207816,25.965464117
110000,北京市,2013,154.6,158.78,81.4,58.52,59.76,36.69,63.65,65.71,27.62
110000,北京市,2012,94.83,155.15,78.07,35.94,58.46,35.67,38.44,63.35,23.55
110000,北京市,2011,142.035888856698,145.83,77.25,54.4508900937041,55.6,34.9,56.8437095431026,58.78,23.71
110000,北京市,2010,135.8,139.44,74.39,52.4,53.61,32.74,53.4,55.19,22.58
110000,北京市,2009,129.166981623691,,,50.3821687859166,,,49.4651528743279,,
110000,北京市,2008,122.059109942546,,,47.9217385659103,,,44.9662414386341,,
110000,北京市,2007,,,,,,,,,
110000,北京市,2006,,,,,,,,,
110000,北京市,2005,,,,,,,,,
110000,北京市,2004,99.9,,,42.0,,,,,
110000,北京市,2003,,,,41.4,,,,,
110000,北京市,2002,,,,41.3,,,,,
110000,北京市,2001,,,,47.9,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,70.332878738403,95.3446658549477,,29.7215445983238,39.4522064413065,,26.5137691041919,36.8878863674932,
120000,天津市,2018,67.0365384615385,95.9,81.1,27.6314102564103,38.6,46.6,25.2416666666667,37.0,17
120000,天津市,2017,64.846499679,94.972051664,77.208623399,26.414258189,37.951533557,42.444686752,24.537572254,36.773419581,16.683718314
120000,天津市,2016,60.784062684,91.443272101,84.188146031,24.200445548,35.623266901,42.221455355,23.101938391,35.645167733,22.106625966
