省份编码,省份,年份,村卫生室个数(个),村办的村卫生室个数(个),乡卫生院设点的村卫生室个数(个),联合办的村卫生室个数(个),私人办的村卫生室个数(个),其他办的村卫生室个数(个),设卫生室的村数占行政村数%(%)
110000,北京市,2019,2449,2220,5,3,205,16,62.9401182215369
110000,北京市,2018,2493,2254,6,3,216,14,63.7
110000,北京市,2017,2696,2413,6,3,260,14,68.7755102041
110000,北京市,2016,2729,2419,7,3,278,22,
110000,北京市,2015,2768,2453,8,3,281,23,70.3
110000,北京市,2014,2802,2468,10,3,297,24,71.1709423419
110000,北京市,2013,2888,2524,8,4,326,26,73.2808931743212
110000,北京市,2012,2957,2577,5,4,345,26,75.0507614213198
110000,北京市,2011,2968,2602,5,4,331,26,75.3108348134991
110000,北京市,2010,2972,2594,5,5,343,25,75.4
110000,北京市,2009,3114,,,,,,78.8
110000,北京市,2008,,,,,,,
110000,北京市,2007,,,,,,,
110000,北京市,2006,,,,,,,
110000,北京市,2005,,,,,,,
110000,北京市,2004,2401,2048,27,7,295,24,60.4
110000,北京市,2003,2148,1881,26,2,215,24,53.3
110000,北京市,2002,,,,,,,
110000,北京市,2001,3615,,,,,,79.5
110000,北京市,2000,,,,,,,
120000,天津市,2019,2374,873,688,99,148,566,67.0053626869884
120000,天津市,2018,2511,899,705,112,239,556,70.6
120000,天津市,2017,2541,854,727,118,269,573,69.0489130435
120000,天津市,2016,2528,850,724,122,264,568,
120000,天津市,2015,2437,836,680,123,265,533,66.1
120000,天津市,2014,2350,838,622,113,260,517,63.5478637101
120000,天津市,2013,2247,889,540,181,235,402,60.0962824284568
120000,天津市,2012,2157,878,338,189,252,500,57.0333157059757
120000,天津市,2011,2157,869,343,202,249,494,57.0031712473573
120000,天津市,2010,1855,846,126,156,218,509,48.5
120000,天津市,2009,1616,,,,,,42.3
120000,天津市,2008,,,,,,,
120000,天津市,2007,,,,,,,
120000,天津市,2006,,,,,,,
120000,天津市,2005,,,,,,,
120000,天津市,2004,2252,730,111,198,1165,48,58.7
120000,天津市,2003,2266,698,122,192,1201,53,59.2
120000,天津市,2002,,,,,,,
120000,天津市,2001,3643,,,,,,93.0
120000,天津市,2000,,,,,,,
130000,河北省,2019,59526,28911,3009,1056,22682,3868,100.0
130000,河北省,2018,59047,28491,2668,1002,23121,3765,100.0
130000,河北省,2017,60225,28854,2208,1069,24542,3552,100.0
130000,河北省,2016,60371,28727,2111,1030,25138,3365,
130000,河北省,2015,60492,28400,2041,1013,25661,3377,100.0
130000,河北省,2014,61450,27452,2107,1039,27179,3673,100.0
130000,河北省,2013,62311,29042,2426,1108,28391,1344,100.0
130000,河北省,2012,64513,29356,1916,1166,30809,1266,100.0
130000,河北省,2011,65375,28847,1842,1287,32156,1243,100.0
130000,河北省,2010,66277,28577,1775,698,33930,1297,100.0
130000,河北省,2009,66389,,,,,,100.0
130000,河北省,2008,,,,,,,
130000,河北省,2007,,,,,,,
130000,河北省,2006,,,,,,,
130000,河北省,2005,,,,,,,
130000,河北省,2004,46104,17440,1023,2289,23708,1644,92.8
130000,河北省,2003,45392,16126,1123,2652,23753,1738,91.1
130000,河北省,2002,,,,,,,
130000,河北省,2001,61860,,,,,,94.8
130000,河北省,2000,,,,,,,
140000,山西省,2019,28106,19231,1165,702,3219,3789,100.0
140000,山西省,2018,28338,19286,1090,726,3439,3797,100.0
140000,山西省,2017,28942,19755,1041,740,3608,3798,100.0
140000,山西省,2016,29027,19734,1024,724,3652,3893,
140000,山西省,2015,28099,19577,987,716,3279,3540,100.0
140000,山西省,2014,28248,19630,957,740,3351,3570,100.0
140000,山西省,2013,28241,21238,907,899,3429,1768,100.0
140000,山西省,2012,28285,21407,901,884,3520,1573,100.0
140000,山西省,2011,28471,21475,932,910,3803,1351,100.0
140000,山西省,2010,29253,21255,847,964,4763,1424,100.0
140000,山西省,2009,28113,,,,,,99.9
140000,山西省,2008,,,,,,,
140000,山西省,2007,,,,,,,
140000,山西省,2006,,,,,,,
140000,山西省,2005,,,,,,,
140000,山西省,2004,20102,15195,146,1573,2631,557,70.6
140000,山西省,2003,19218,15092,112,1174,2421,419,62.2
140000,山西省,2002,,,,,,,
140000,山西省,2001,28443,,,,,,88.9
140000,山西省,2000,,,,,,,
150000,内蒙古自治区,2019,13321,5186,2413,414,4175,1133,100.0
150000,内蒙古自治区,2018,13539,5172,2369,413,4502,1083,100.0
150000,内蒙古自治区,2017,13625,5260,2224,447,4760,934,100.0
150000,内蒙古自治区,2016,13632,5235,2132,481,4867,917,
150000,内蒙古自治区,2015,13645,5258,1967,325,5192,903,100.0
150000,内蒙古自治区,2014,13835,5471,1903,318,5363,780,100.0
150000,内蒙古自治区,2013,14028,6421,1920,322,4970,395,100.0
150000,内蒙古自治区,2012,14022,6493,1776,339,5070,344,100.0
150000,内蒙古自治区,2011,14433,6538,1760,307,5449,379,100.0
150000,内蒙古自治区,2010,14500,6478,1867,328,5373,454,100.0
150000,内蒙古自治区,2009,14719,,,,,,100.0
150000,内蒙古自治区,2008,,,,,,,
150000,内蒙古自治区,2007,,,,,,,
150000,内蒙古自治区,2006,,,,,,,
150000,内蒙古自治区,2005,,,,,,,
150000,内蒙古自治区,2004,12518,6107,773,683,4126,829,100.0
150000,内蒙古自治区,2003,10496,5077,753,879,3486,301,80.0
150000,内蒙古自治区,2002,,,,,,,
150000,内蒙古自治区,2001,12891,,,,,,94.1
150000,内蒙古自治区,2000,,,,,,,
210000,辽宁省,2019,17963,8091,391,141,8742,598,100.0
210000,辽宁省,2018,19127,8412,341,147,9693,534,100.0
210000,辽宁省,2017,19519,8492,375,157,9848,647,100.0
210000,辽宁省,2016,20120,8692,379,158,10259,632,
210000,辽宁省,2015,19774,8833,361,158,9788,634,100.0
210000,辽宁省,2014,19844,9457,354,148,9319,566,100.0
210000,辽宁省,2013,20006,10469,342,940,8053,202,100.0
210000,辽宁省,2012,21245,10537,347,948,9227,186,100.0
210000,辽宁省,2011,21031,10524,332,936,9106,133,100.0
210000,辽宁省,2010,20591,10420,205,895,8946,125,100.0
210000,辽宁省,2009,20463,,,,,,100.0
210000,辽宁省,2008,,,,,,,
210000,辽宁省,2007,,,,,,,
210000,辽宁省,2006,,,,,,,
210000,辽宁省,2005,,,,,,,
210000,辽宁省,2004,19944,10189,145,790,8597,223,100.0
210000,辽宁省,2003,19423,10080,144,771,8250,178,121.8
210000,辽宁省,2002,,,,,,,
210000,辽宁省,2001,18798,,,,,,97.3
210000,辽宁省,2000,,,,,,,
220000,吉林省,2019,9615,3744,1725,1112,2517,517,100.0
220000,吉林省,2018,9901,3948,1532,1179,2767,475,100.0
220000,吉林省,2017,10108,4004,1483,1188,2957,476,100.0
220000,吉林省,2016,10172,4063,1382,1256,2982,489,
220000,吉林省,2015,10229,4092,1364,1262,3023,488,100.0
220000,吉林省,2014,11225,4237,1092,1336,4074,486,100.0
220000,吉林省,2013,11527,4309,982,1328,4423,485,100.0
220000,吉林省,2012,11475,4321,948,1328,4402,476,100.0
220000,吉林省,2011,11612,4382,833,1322,4660,415,100.0
220000,吉林省,2010,9862,3764,427,1125,4309,237,100.0
220000,吉林省,2009,8978,,,,,,98.4
220000,吉林省,2008,,,,,,,
220000,吉林省,2007,,,,,,,
220000,吉林省,2006,,,,,,,
220000,吉林省,2005,,,,,,,
220000,吉林省,2004,8788,2877,388,834,4468,221,92.6
220000,吉林省,2003,8905,3143,226,874,4502,160,90.4
220000,吉林省,2002,,,,,,,
220000,吉林省,2001,10619,,,,,,95.3
220000,吉林省,2000,,,,,,,
230000,黑龙江省,2019,10448,7180,1552,138,1099,479,100.0
230000,黑龙江省,2018,10740,7403,1698,148,942,549,100.0
230000,黑龙江省,2017,10842,7246,1702,148,1218,528,100.0
230000,黑龙江省,2016,11384,7551,1679,169,1474,511,
230000,黑龙江省,2015,11444,7600,1705,172,1445,522,100.0
230000,黑龙江省,2014,11638,8845,669,158,1324,642,100.0
230000,黑龙江省,2013,11778,9141,721,174,1272,470,100.0
230000,黑龙江省,2012,12316,9604,691,223,1323,475,100.0
230000,黑龙江省,2011,13107,9987,851,202,1378,689,100.0
230000,黑龙江省,2010,13141,10066,831,219,1316,709,100.0
230000,黑龙江省,2009,13147,,,,,,100.0
230000,黑龙江省,2008,,,,,,,
230000,黑龙江省,2007,,,,,,,
230000,黑龙江省,2006,,,,,,,
230000,黑龙江省,2005,,,,,,,
230000,黑龙江省,2004,12689,9453,174,298,1821,943,93.2
230000,黑龙江省,2003,12339,9070,482,319,1524,944,135.4
230000,黑龙江省,2002,,,,,,,
230000,黑龙江省,2001,13985,,,,,,96.3
230000,黑龙江省,2000,,,,,,,
310000,上海市,2019,1179,451,451,40,,237,75.0955414012739
310000,上海市,2018,1162,884,170,26,,82,73.9
310000,上海市,2017,1187,891,183,31,,82,74.8895899054
310000,上海市,2016,1218,913,190,31,,84,
310000,上海市,2015,1271,940,195,46,,90,79.8
310000,上海市,2014,1310,969,179,48,,114,81.6199376947
310000,上海市,2013,1342,978,183,50,,131,84.0325610519724
310000,上海市,2012,1361,1000,185,37,1,138,84.376937383757
310000,上海市,2011,1384,1080,228,63,1,12,81.3160987074031
310000,上海市,2010,1437,1124,223,75,1,14,82.6
310000,上海市,2009,1447,,,,,,84.0
310000,上海市,2008,,,,,,,
310000,上海市,2007,,,,,,,
310000,上海市,2006,,,,,,,
310000,上海市,2005,,,,,,,
310000,上海市,2004,1764,1399,242,114,,9,91.9
310000,上海市,2003,1688,1293,18,251,1,125,80.8
310000,上海市,2002,,,,,,,
310000,上海市,2001,2599,,,,,,97.7
310000,上海市,2000,,,,,,,
320000,江苏省,2019,15169,7662,4295,1930,22,1260,100.0
320000,江苏省,2018,15311,7912,4204,1863,19,1313,100.0
320000,江苏省,2017,15319,8253,3972,1867,26,1201,100.0
320000,江苏省,2016,15475,8409,4062,1983,23,998,
320000,江苏省,2015,15391,8359,4010,2016,36,970,100.0
320000,江苏省,2014,15523,8309,4119,2093,39,963,100.0
320000,江苏省,2013,15575,8473,4344,2196,42,520,100.0
320000,江苏省,2012,15835,8690,4451,2239,49,406,100.0
320000,江苏省,2011,16694,8817,4640,2539,62,636,100.0
320000,江苏省,2010,17127,9892,3964,2556,59,656,100.0
320000,江苏省,2009,17124,,,,,,100.0
320000,江苏省,2008,,,,,,,
320000,江苏省,2007,,,,,,,
320000,江苏省,2006,,,,,,,
320000,江苏省,2005,,,,,,,
320000,江苏省,2004,16448,11882,2449,1889,148,80,89.5
320000,江苏省,2003,19112,14404,2242,1645,174,647,94.4
320000,江苏省,2002,,,,,,,
320000,江苏省,2001,26319,,,,,,96.1
320000,江苏省,2000,,,,,,,
330000,浙江省,2019,11590,7065,1558,143,1917,907,56.8081560631311
330000,浙江省,2018,11483,6762,1411,145,1949,1216,46.5
330000,浙江省,2017,11535,7073,1331,154,1950,1027,42.0096146842
330000,浙江省,2016,11677,7241,1319,157,2010,950,
330000,浙江省,2015,11868,7339,1297,164,2056,1012,42.5
330000,浙江省,2014,12042,7500,1238,175,2107,1022,43.0117512591
330000,浙江省,2013,12504,8806,1261,218,1848,371,43.7478133090756
330000,浙江省,2012,13091,9069,1162,220,2214,426,45.458017917911
330000,浙江省,2011,13851,9700,1026,259,2414,452,48.0737192836318
330000,浙江省,2010,13643,10163,491,236,2384,369,46.6
330000,浙江省,2009,13922,,,,,,46.5
330000,浙江省,2008,,,,,,,
330000,浙江省,2007,,,,,,,
330000,浙江省,2006,,,,,,,
330000,浙江省,2005,,,,,,,
330000,浙江省,2004,16249,11023,768,326,3915,217,45.3
330000,浙江省,2003,15515,10192,757,306,4094,166,39.7
330000,浙江省,2002,,,,,,,
330000,浙江省,2001,20898,,,,,,63.9
330000,浙江省,2000,,,,,,,
340000,安徽省,2019,15549,7087,3135,1839,894,2594,100.0
340000,安徽省,2018,15317,7106,2965,1849,872,2525,100.0
340000,安徽省,2017,15331,7167,2884,1892,900,2488,100.0
340000,安徽省,2016,15276,7146,2784,1923,928,2495,
340000,安徽省,2015,15295,7192,3182,1484,947,2490,100.0
340000,安徽省,2014,15288,7215,3152,1481,947,2493,100.0
340000,安徽省,2013,15310,7823,3507,1454,945,1581,100.0
340000,安徽省,2012,15306,7658,4046,1097,1011,1494,100.0
340000,安徽省,2011,15321,7534,4053,1120,1156,1458,100.0
340000,安徽省,2010,15636,7912,3500,1020,1749,1455,100.0
340000,安徽省,2009,17788,,,,,,100.0
340000,安徽省,2008,,,,,,,
340000,安徽省,2007,,,,,,,
340000,安徽省,2006,,,,,,,
340000,安徽省,2005,,,,,,,
340000,安徽省,2004,21855,11531,247,2083,6444,1550,84.0
340000,安徽省,2003,18207,10389,243,1472,5419,684,62.4
340000,安徽省,2002,,,,,,,
340000,安徽省,2001,29849,,,,,,94.0
340000,安徽省,2000,,,,,,,
350000,福建省,2019,17596,10663,1073,225,3880,1755,100.0
350000,福建省,2018,18283,11231,863,230,4173,1786,100.0
350000,福建省,2017,18608,11587,651,235,4261,1874,100.0
350000,福建省,2016,18945,11592,499,231,4704,1919,
350000,福建省,2015,19008,11843,332,236,4785,1812,100.0
350000,福建省,2014,19242,11890,309,237,4751,2055,100.0
350000,福建省,2013,19408,12747,346,284,4658,1373,100.0
350000,福建省,2012,19691,12827,357,264,4870,1373,100.0
350000,福建省,2011,19862,12783,375,263,5057,1384,100.0
