省份编码,省份,年份,入院人数(万人),医疗卫生机构出院人数(万人),医疗卫生机构住院病人手术人次(万人次),医疗卫生机构危重病人抢救人次(万人次),医疗卫生机构危重病人抢救成功率(%),医疗卫生机构每百门急诊入院人数(人)
110000,北京市,2019,384.86,384.15,159.74,,,1.67
110000,北京市,2018,353.6016,353.1143,146.5541,,,1.6
110000,北京市,2017,328.6465,328.4204,134.5762,,,1.59
110000,北京市,2016,311.8881,310.9106,129.1653,,,1.459114733
110000,北京市,2015,276.4,275.4,107.7,,,1.4
110000,北京市,2014,269.8052,269.2969,108.9841,,,1.376318492
110000,北京市,2013,246.3102,245.6245,97.3212,,,1.32862537911589
110000,北京市,2012,225.0095,224.9234,90.1347,,,1.35697268099934
110000,北京市,2011,200.8002,201.1789,87.1439,4.9542,76.4603770538129,1.34802878376936
110000,北京市,2010,183.2009,182.7783,74.3691,4.9145,75.7940787465663,1.39155243105294
110000,北京市,2009,,,,,,
110000,北京市,2008,,,,,,
110000,北京市,2007,,,,,,
110000,北京市,2006,,,,,,
110000,北京市,2005,,,,,,
110000,北京市,2004,,,,,,
110000,北京市,2003,,,,,,
110000,北京市,2002,,,,,,
110000,北京市,2001,,,,,,
110000,北京市,2000,,,,,,
120000,天津市,2019,169.88,169.44,81.04,,,1.65
120000,天津市,2018,162.5243,162.4928,75.851,,,1.7
120000,天津市,2017,158.1108,158.0238,66.1599,,,1.59
120000,天津市,2016,162.0968,162.3907,64.2346,,,1.6296629854
120000,天津市,2015,150.8,150.7,57.3,,,1.5
120000,天津市,2014,148.6666,148.5006,56.5382,,,1.5534063809
120000,天津市,2013,135.9137,135.6494,48.0246,,,1.57240335663055
120000,天津市,2012,132.1499,132.3836,42.4979,,,1.64396510857466
120000,天津市,2011,117.7326,119.5147,37.4063,2.97,79.3838383838384,1.59066346427908
120000,天津市,2010,109.3004,109.1891,43.6233,3.4282,82.1334811271221,1.74072838976031
120000,天津市,2009,,,,,,
120000,天津市,2008,,,,,,
120000,天津市,2007,,,,,,
120000,天津市,2006,,,,,,
120000,天津市,2005,,,,,,
120000,天津市,2004,,,,,,
120000,天津市,2003,,,,,,
120000,天津市,2002,,,,,,
120000,天津市,2001,,,,,,
120000,天津市,2000,,,,,,
130000,河北省,2019,1192.33,1185.59,229.13,,,5.31
130000,河北省,2018,1215.2272,1205.9273,217.7634,,,5.7
130000,河北省,2017,1175.1913,1161.7777,204.1741,,,5.72
130000,河北省,2016,1117.723,1107.1235,194.2252,,,5.5883844791
130000,河北省,2015,991.3,984.1,176.8,,,5.4
130000,河北省,2014,980.6432,973.0862,197.5748,,,5.5598156316
130000,河北省,2013,922.5251,919.381,169.1667,,,5.70153346805809
130000,河北省,2012,869.6025,870.7819,161.1444,,,5.77475409308292
130000,河北省,2011,775.9942,777.278,152.9943,40.9927,93.7557174814052,5.67662316992366
130000,河北省,2010,735.8994,730.7914,137.6239,38.1977,93.6721320917228,5.73180844101428
130000,河北省,2009,,,,,,
130000,河北省,2008,,,,,,
130000,河北省,2007,,,,,,
130000,河北省,2006,,,,,,
130000,河北省,2005,,,,,,
130000,河北省,2004,,,,,,
130000,河北省,2003,,,,,,
130000,河北省,2002,,,,,,
130000,河北省,2001,,,,,,
130000,河北省,2000,,,,,,
140000,山西省,2019,501.54,499.33,126.94,,,5.73
140000,山西省,2018,496.0279,494.2914,120.67,,,6.0
140000,山西省,2017,455.4699,453.0018,106.728,,,5.48
140000,山西省,2016,430.0809,425.0371,96.2881,,,5.5278334727
140000,山西省,2015,381.4,379.7,87.7,,,5.2
140000,山西省,2014,391.2808,388.237,85.2395,,,5.4098822175
140000,山西省,2013,367.0053,366.2233,80.9122,,,5.28421655385795
140000,山西省,2012,349.0607,348.4724,74.6796,,,5.27772769875228
140000,山西省,2011,304.9891,306.9655,64.145,7.9779,90.5601724764662,5.07171984108753
140000,山西省,2010,290.0801,290.3533,58.6994,8.1081,91.3296579963247,5.05485724075987
140000,山西省,2009,,,,,,
140000,山西省,2008,,,,,,
140000,山西省,2007,,,,,,
140000,山西省,2006,,,,,,
140000,山西省,2005,,,,,,
140000,山西省,2004,,,,,,
140000,山西省,2003,,,,,,
140000,山西省,2002,,,,,,
140000,山西省,2001,,,,,,
140000,山西省,2000,,,,,,
150000,内蒙古自治区,2019,362.53,361.41,82.52,,,4.79
150000,内蒙古自治区,2018,384.8885,384.0003,75.7583,,,5.3
150000,内蒙古自治区,2017,363.6085,361.0137,70.6714,,,5.12
150000,内蒙古自治区,2016,329.4839,327.9938,61.0639,,,4.7758851673
150000,内蒙古自治区,2015,295.9,295.3,56.0,,,4.5
150000,内蒙古自治区,2014,300.4669,299.4013,58.2896,,,4.7215750534
150000,内蒙古自治区,2013,283.6223,284.4963,55.3305,,,4.67090441609005
150000,内蒙古自治区,2012,258.6255,256.891,51.683,,,4.58967935368933
150000,内蒙古自治区,2011,229.6785,233.7552,47.7561,16.1529,93.073070470318,4.42072393792222
150000,内蒙古自治区,2010,216.4149,215.7843,42.6492,15.7284,93.4405279621576,4.47819890136072
150000,内蒙古自治区,2009,,,,,,
150000,内蒙古自治区,2008,,,,,,
150000,内蒙古自治区,2007,,,,,,
150000,内蒙古自治区,2006,,,,,,
150000,内蒙古自治区,2005,,,,,,
150000,内蒙古自治区,2004,,,,,,
150000,内蒙古自治区,2003,,,,,,
150000,内蒙古自治区,2002,,,,,,
150000,内蒙古自治区,2001,,,,,,
150000,内蒙古自治区,2000,,,,,,
210000,辽宁省,2019,708.29,708.8,181.71,,,4.99
210000,辽宁省,2018,741.6783,737.7235,179.0822,,,5.4
210000,辽宁省,2017,735.1235,729.781,148.4295,,,5.42
210000,辽宁省,2016,692.5691,687.5342,136.0957,,,5.3735569647
210000,辽宁省,2015,646.4,643.3,123.6,,,5.3
210000,辽宁省,2014,635.1546,631.9431,123.1915,,,5.316267898
210000,辽宁省,2013,595.0907,589.855,113.2919,,,5.19909903124445
210000,辽宁省,2012,550.4358,549.4359,108.342,,,5.10878223937408
210000,辽宁省,2011,479.9737,479.9167,98.2504,24.9512,87.23027349386,4.92570384698949
210000,辽宁省,2010,447.1302,444.2006,89.0624,25.3235,85.3847217011866,4.90580088614657
210000,辽宁省,2009,,,,,,
210000,辽宁省,2008,,,,,,
210000,辽宁省,2007,,,,,,
210000,辽宁省,2006,,,,,,
210000,辽宁省,2005,,,,,,
210000,辽宁省,2004,,,,,,
210000,辽宁省,2003,,,,,,
210000,辽宁省,2002,,,,,,
210000,辽宁省,2001,,,,,,
210000,辽宁省,2000,,,,,,
220000,吉林省,2019,402.28,401.93,85.22,,,5.49
220000,吉林省,2018,404.4415,402.3247,79.347,,,5.8
220000,吉林省,2017,383.342,382.2805,75.6561,,,5.63
220000,吉林省,2016,368.8295,365.8655,69.9047,,,5.6069493247
220000,吉林省,2015,341.4,337.2,67.8,,,5.4
220000,吉林省,2014,335.5237,331.8321,68.773,,,5.3106809878
220000,吉林省,2013,307.7151,304.6959,60.4699,,,5.23750565148829
220000,吉林省,2012,302.4452,301.4302,63.0798,,,5.35901793334382
220000,吉林省,2011,266.8825,266.3638,56.1234,12.6777,84.2463538338973,5.02854588770809
220000,吉林省,2010,247.3467,245.2593,51.29,12.3023,87.2162116027084,4.51771246362814
220000,吉林省,2009,,,,,,
220000,吉林省,2008,,,,,,
220000,吉林省,2007,,,,,,
220000,吉林省,2006,,,,,,
220000,吉林省,2005,,,,,,
220000,吉林省,2004,,,,,,
220000,吉林省,2003,,,,,,
220000,吉林省,2002,,,,,,
220000,吉林省,2001,,,,,,
220000,吉林省,2000,,,,,,
