年份,交通事故死亡人数总计,重大交通事故死亡人数,特大交通事故死亡人数,机动车交通事故死亡人数,汽车交通事故死亡人数,摩托车交通事故死亡人数,拖拉机交通事故死亡人数,非机动车交通事故死亡人数,自行车交通事故死亡人数,行人乘车人交通事故死亡人数,其他交通事故死亡人数
2019,62763,,,56924,43413,10474,699,4375,440,1437,27
2018,63194,,,58091,46161,10663,780,3741,372,1325,37
2017,63772,,,59166,46817,10991,804,3253,350,1322,31
2016,63093,,,58803,45990,11235,967,2968,341,1304,18
2015,58022,187.0,35.0,54279,42388,10359,958,2529,304,1192,22
2014,58523,131.0,98.0,54944,42847,10411,1018,2311,289,1247,21
2013,58539,208.0,,55316,42927,10463,1259,2019,300,1185,19
2012,59997,325.0,36.0,57277,44679,10643,1297,1628,279,1075,17
2011,62387,62387.0,5047.0,59673,46100,11070,1546,1551,315,1134,29
2010,65225,65225.0,5061.0,62380,46878,12369,1908,1600,447,1222,23
2009,67759,67759.0,5058.0,64781,47896,13501,2214,1718,548,1227,33
2008,73484,73484.0,5222.0,70206,51436,15118,2410,1754,712,1507,17
2007,81649,81649.0,5713.0,77696,56089,17403,2869,1968,957,1954,31
2006,89455,89038.0,6611.0,84805,55992,19677,3142,2108,1233,2464,78
2005,98738,98738.0,7639.0,93614,69808,20773,2933,1876,1204,2902,346
2004,107077,,,97456,,21418,3388,2730,2000,3990,2901
2003,104372,92594.0,7720.0,93390,61869,20026,3294,4018,3278,6022,942
2002,109381,101164.0,8217.0,85916,65216,21236,3611,4589,3473,6798,12078
2001,105930,98463.0,7467.0,93269,62737,20068,3552,4701,3856,7196,764
2000,93853,86432.0,7421.0,81562,55298,16261,3194,4563,3720,7014,
