年份,交通事故发生数总计,重大交通事故发生数,特大交通事故发生数,机动车交通事故发生数,汽车交通事故发生数,摩托车交通事故发生数,拖拉机交通事故发生数,非机动车交通事故发生数,自行车交通事故发生数,行人乘车人交通事故发生数,其他交通事故发生数
2019,247646,,,215009,159335,45635,1865,29049,2283,3432,156
2018,244937,,,216178,166906,45868,2120,25556,1840,3045,158
2017,203049,,,182343,139412,39780,1896,18144,1576,2470,92
2016,212846,,,192585,145820,43196,2247,17747,1460,2443,71
2015,187781,12.0,1.0,170130,129155,37608,2185,15437,1369,2137,77
2014,196812,11.0,2.0,180321,136386,40185,2458,14175,1393,2242,74
2013,198394,16.0,,183404,138113,40858,3093,12839,1304,2088,63
2012,204196,24.0,1.0,190756,142995,42955,3370,11299,1433,2063,78
2011,210812,54704.0,1201.0,198113,145338,46749,3951,10347,1522,2277,75
2010,219521,58244.0,1244.0,207156,148367,51196,4989,9735,1978,2565,65
2009,238351,59235.0,1276.0,225096,158210,58160,6177,10354,2591,2827,74
2008,265204,64184.0,1290.0,251077,176093,65177,6824,10191,3332,3889,47
2007,327209,71289.0,1469.0,309261,213666,83008,9037,12472,4939,5407,69
2006,378781,77946.0,1671.0,358249,230364,100011,10507,13326,6621,7005,201
2005,450254,86060.0,1924.0,424409,303696,110209,10221,13823,8015,11302,720
2004,517889,,,471080,,103686,11620,14724,9827,11383,20702
2003,667507,91758.0,3927.0,627029,483197,97381,13859,17393,14331,18639,4446
2002,773137,103309.0,4022.0,675449,549166,122262,19507,22114,17652,21238,54336
2001,754919,99327.0,3495.0,705396,540046,116488,17095,24694,19940,22888,1941
2000,616971,85637.0,3014.0,577282,450896,80426,15953,19677,15467,18659,
