年份,交通事故受伤人数总计,重大交通事故受伤人数,特大交通事故受伤人数,机动车交通事故受伤人数,汽车交通事故受伤人数,摩托车交通事故受伤人数,拖拉机交通事故受伤人数,非机动车交通事故受伤人数,自行车交通事故受伤人数,行人乘车人交通事故受伤人数,其他交通事故受伤人数
2019,256101,,,221309,157157,53710,1811,32347,2179,2305,140
2018,258532,,,227438,169046,55071,2114,28987,1720,1968,139
2017,209654,,,188585,139180,46504,1776,19619,1450,1347,103
2016,226430,,,205355,149433,52528,2203,19678,1337,1322,75
2015,199880,123.0,11.0,181528,132925,45467,2047,17160,1298,1117,75
2014,211882,114.0,17.0,194887,141718,49727,2260,15737,1284,1167,91
2013,213724,259.0,,198317,143672,50635,2833,14261,1209,1086,60
2012,224327,364.0,3.0,210554,152478,53366,3341,12541,1354,1168,64
2011,237421,31420.0,4198.0,224619,159195,59455,3891,11381,1428,1348,73
2010,254075,33964.0,3636.0,241823,167897,66298,5076,10596,1853,1576,80
2009,275125,35240.0,3530.0,262254,178545,74825,6432,10960,2424,1836,75
2008,304919,38002.0,3359.0,291423,197733,83435,7240,10669,3144,2791,36
2007,380442,42602.0,4508.0,363428,243122,106989,9721,12954,4680,3994,66
2006,431139,46789.0,5024.0,412193,256514,126113,11319,13441,6314,5336,169
2005,469911,47927.0,5627.0,443361,300837,132124,10197,13674,7612,12406,470
2004,480864,,,446690,,125622,11417,14198,9171,8327,11649
2003,494174,50116.0,8167.0,462427,310963,111797,11882,14918,12149,14027,2802
2002,562074,56830.0,10374.0,479452,351095,131449,15141,19238,14021,16144,47240
2001,546485,53894.0,9399.0,508308,342379,124847,14304,20533,16407,16447,1197
2000,418721,45547.0,8445.0,388027,267575,82475,12170,16053,12340,13069,
