年份,交通事故直接财产损失总计,重大交通事故直接财产损失,特大交通事故直接财产损失,机动车交通事故直接财产损失,汽车交通事故直接财产损失,摩托车交通事故直接财产损失,拖拉机交通事故直接财产损失,非机动车交通事故直接财产损失,自行车交通事故直接财产损失,行人乘车人交通事故直接财产损失,其他交通事故直接财产损失
2019,134617.9,,,125800.9,111420.6,10771.5,574.8,6212.2,581.2,2485.3,119.4
2018,138455.9,,,131023.5,118671.6,10682.8,662.3,5466.3,376.6,1904.9,61.2
2017,121311.3,,,115556.2,103978.0,9815.1,706.9,3973.7,358.8,1755.9,25.6
2016,120759.9,,,114586.4,102970.6,9927.2,877.6,4248.2,494.5,1875.9,49.4
2015,103691.7,,,98928.6,89518.4,7802.7,703.4,2922.1,282.7,1804.9,36.1
2014,107542.9,71.0,258.5,103386.0,93837.2,7987.9,656.5,2719.4,265.9,1403.5,34.1
2013,103896.6,258.5,,100034.1,90267.1,7643.0,864.9,2368.8,316.4,1479.5,14.2
2012,117489.6,262.8,49.0,114199.5,101244.6,9977.8,1832.8,2116.0,274.3,1160.0,14.1
2011,107873.0,52383.0,8025.0,104788.0,94912.0,7445.0,847.0,1724.0,441.0,1346.0,15.0
2010,92633.5,43925.4,5484.5,90420.2,81186.1,6742.8,1012.9,1263.6,266.3,920.3,29.5
2009,91436.8,42159.1,4604.4,89374.7,79770.9,7117.6,1137.2,1218.5,271.5,829.3,14.3
2008,100972.2,45808.0,4083.0,99111.0,88280.2,7825.6,1213.1,1122.8,394.0,728.6,9.7
2007,119878.3,45666.6,5441.0,117235.8,104453.4,9256.9,1704.3,1249.5,479.7,1356.9,36.2
2006,148956.0,52441.0,6689.0,146385.0,127771.0,11330.0,1926.0,1333.0,657.0,1179.0,59.0
2005,188401.2,57886.1,7811.9,183841.9,167997.4,13789.3,1997.1,1431.8,923.2,3014.4,113.0
2004,239141.0,,,224827.0,,13476.0,2566.0,1899.0,1309.0,1896.0,10519.0
2003,336914.6,58312.0,33922.0,330502.4,300164.0,13881.9,3823.3,2535.2,2027.5,2738.3,1138.69999999995
2002,332438.1,57203.6,33525.7,301707.5,292431.0,17054.1,4869.5,3212.0,1953.5,2412.7,25105.9
2001,308787.3,52638.9,25538.7,303185.6,273089.9,16403.6,3753.0,2827.0,2279.8,2583.7,191.000000000012
2000,263290.0,46021.7,23825.3,262333.8,237332.1,11342.8,3931.0,2054.3,1542.0,1817.3,
