年份,集体控股固定资产投资(不含农户),农、林、牧、渔业集体控股固定资产投资(不含农户),农业集体控股固定资产投资(不含农户),林业集体控股固定资产投资(不含农户),畜牧业集体控股固定资产投资(不含农户),渔业集体控股固定资产投资(不含农户),农、林、牧、渔服务业集体控股固定资产投资(不含农户),采矿业集体控股固定资产投资(不含农户),煤炭开采和洗选业集体控股固定资产投资(不含农户),石油和天然气开采业集体控股固定资产投资(不含农户),黑色金属矿采选业集体控股固定资产投资(不含农户),有色金属矿采选业集体控股固定资产投资(不含农户),非金属矿采选业集体控股固定资产投资(不含农户),其他采矿业集体控股固定资产投资(不含农户),制造业集体控股固定资产投资(不含农户),农副食品加工业集体控股固定资产投资(不含农户),食品制造业集体控股固定资产投资(不含农户),饮料制造业集体控股固定资产投资(不含农户),烟草制品业集体控股固定资产投资(不含农户),纺织业集体控股固定资产投资(不含农户),纺织服装、鞋、帽制造业集体控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业集体控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业集体控股固定资产投资(不含农户),家具制造业集体控股固定资产投资(不含农户),造纸及纸制品业集体控股固定资产投资(不含农户),印刷业和记录媒介的复制集体控股固定资产投资(不含农户),文教体育用品制造业集体控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业集体控股固定资产投资(不含农户),化学原料及化学制品制造业集体控股固定资产投资(不含农户),医药制造业集体控股固定资产投资(不含农户),化学纤维制造业集体控股固定资产投资(不含农户),橡胶制品业集体控股固定资产投资(不含农户),塑料制品业集体控股固定资产投资(不含农户),非金属矿物制品业集体控股固定资产投资(不含农户),黑色金属冶炼及压延加工业集体控股固定资产投资(不含农户),有色金属冶炼及压延加工业集体控股固定资产投资(不含农户),金属制品业集体控股固定资产投资(不含农户),通用设备制造业集体控股固定资产投资(不含农户),专用设备制造业集体控股固定资产投资(不含农户),交通运输设备制造业集体控股固定资产投资(不含农户),电气机械及器材制造业集体控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业集体控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业集体控股固定资产投资(不含农户),工艺品及其他制造业集体控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业集体控股固定资产投资(不含农户),电力燃气水的生产供应业集体控股固定资产投资(不含农户),电力、热力的生产和供应业集体控股固定资产投资(不含农户),燃气生产和供应业集体控股固定资产投资(不含农户),水的生产和供应业集体控股固定资产投资(不含农户),建筑业集体控股固定资产投资(不含农户),房屋和土木工程建筑业集体控股固定资产投资(不含农户),建筑安装业集体控股固定资产投资(不含农户),建筑装饰业集体控股固定资产投资(不含农户),其他建筑业集体控股固定资产投资(不含农户),交通运输、仓储和邮政业集体控股固定资产投资(不含农户),铁路运输业集体控股固定资产投资(不含农户),道路运输业集体控股固定资产投资(不含农户),城市公共交通业集体控股固定资产投资(不含农户),水上运输业集体控股固定资产投资(不含农户),航空运输业集体控股固定资产投资(不含农户),管道运输业集体控股固定资产投资(不含农户),装卸搬运和其他运输服务业集体控股固定资产投资(不含农户),仓储业集体控股固定资产投资(不含农户),邮政业集体控股固定资产投资(不含农户),信息传输、计算机服务和软件业集体控股固定资产投资(不含农户),电信和其他信息传输服务业集体控股固定资产投资(不含农户),计算机服务业集体控股固定资产投资(不含农户),软件业集体控股固定资产投资(不含农户),批发和零售业集体控股固定资产投资(不含农户),批发业集体控股固定资产投资(不含农户),零售业集体控股固定资产投资(不含农户),住宿和餐饮业集体控股固定资产投资(不含农户),住宿业集体控股固定资产投资(不含农户),餐饮业集体控股固定资产投资(不含农户),金融业集体控股固定资产投资(不含农户),银行业集体控股固定资产投资(不含农户),证券业集体控股固定资产投资(不含农户),保险业集体控股固定资产投资(不含农户),其他金融活动集体控股固定资产投资(不含农户),房地产业集体控股固定资产投资(不含农户),租赁和商务服务业集体控股固定资产投资(不含农户),租赁业集体控股固定资产投资(不含农户),商务服务业集体控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业集体控股固定资产投资(不含农户),研究与试验发展集体控股固定资产投资(不含农户),专业技术服务业集体控股固定资产投资(不含农户),科技交流和推广服务业集体控股固定资产投资(不含农户),地质勘查业集体控股固定资产投资(不含农户),水利、环境和公共设施管理业集体控股固定资产投资(不含农户),水利管理业集体控股固定资产投资(不含农户),环境管理业集体控股固定资产投资(不含农户),公共设施管理业集体控股固定资产投资(不含农户),居民服务和其他服务业集体控股固定资产投资(不含农户),居民服务业集体控股固定资产投资(不含农户),其他服务业集体控股固定资产投资(不含农户),教育集体控股固定资产投资(不含农户),卫生、社会保障和社会福利业集体控股固定资产投资(不含农户),卫生集体控股固定资产投资(不含农户),社会保障业集体控股固定资产投资(不含农户),社会福利业集体控股固定资产投资(不含农户),文化、体育和娱乐业集体控股固定资产投资(不含农户),新闻出版业集体控股固定资产投资(不含农户),广播、电视、电影和音像业集体控股固定资产投资(不含农户),文化艺术业集体控股固定资产投资(不含农户),体育集体控股固定资产投资(不含农户),娱乐业集体控股固定资产投资(不含农户),公共管理和社会组织集体控股固定资产投资(不含农户),中国共产党机关集体控股固定资产投资(不含农户),国家机构集体控股固定资产投资(不含农户),人民政协和民主党派集体控股固定资产投资(不含农户),群众团体、社会团体和宗教集体控股固定资产投资(不含农户),基层群众自治组织集体控股固定资产投资(不含农户),国际组织集体控股固定资产投资(不含农户)
2009,11719.2536,278.7017,90.0584,35.4416,55.4985,21.5162,76.187,487.0373,274.5532,4.2087,44.8192,116.5449,44.5302,2.3811,2870.8468,139.7954,75.9472,40.6761,1.5748,67.7481,36.794,13.0581,41.6278,15.1201,53.1753,26.0925,4.631,83.3479,418.8491,97.9086,11.8925,52.4804,31.6678,298.5831,124.4092,142.7538,133.0401,187.7084,163.9943,261.6494,147.9912,81.341,15.3605,89.9654,11.6637,605.4189,464.1074,37.9949,103.3166,182.3689,148.5135,6.044,4.8626,22.9488,591.2559,65.5111,281.8263,10.3678,77.6307,18.5958,7.2265,16.3859,113.4853,0.2265,46.9843,24.5259,0.992,21.4664,537.9213,192.5627,345.3586,157.8685,99.3968,58.4717,48.8117,45.4831,0.6306,1.5366,1.1614,3339.8507,207.4143,3.6923,203.722,65.874,12.1954,23.2383,16.0735,14.3668,1107.6608,112.8576,81.2503,913.5529,79.6267,56.4438,23.1829,157.6647,108.7361,83.9567,8.0368,16.7426,184.7619,1.1293,8.0626,73.4795,15.9972,86.0933,660.4491,,119.4099,0.4511,18.4037,522.1844,
2008,9420.3132,203.6487,51.3866,25.5807,40.3087,29.4686,56.9041,397.881,247.521,11.4223,44.5388,70.3168,22.0906,1.9915,2492.5761,126.6597,63.5559,47.7935,1.6425,91.5213,37.4941,12.3749,27.1842,14.9464,62.5814,23.846,4.0093,98.556,347.3866,63.0666,8.5582,33.838,27.0962,226.6715,103.1126,165.1228,128.6897,184.8957,148.2109,190.4349,95.8939,61.7181,13.9883,72.6448,9.0821,539.25,435.3324,27.1978,76.7198,136.2822,118.3184,4.2312,0.8802,12.8524,396.4338,22.8865,236.0368,14.3265,42.2097,3.3679,2.421,8.8964,66.0074,0.2816,191.0914,179.966,0.679,10.4464,426.7915,162.1539,264.6376,125.4175,84.6947,40.7228,41.1196,34.0949,3.1688,2.4889,1.367,2674.026,147.3197,4.0466,143.2731,48.9711,17.4216,15.4663,10.3462,5.737,672.6431,72.8427,50.9388,548.8616,49.9915,31.0753,18.9162,120.1895,66.6312,50.3533,0.6514,15.6265,100.2195,3.7332,6.5224,37.6706,4.9679,47.3254,589.8298,0.14,92.6368,0.088,16.4451,480.5199,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
