年份,商品房销售额,住宅商品房销售额,别墅、高档公寓销售额,办公楼销售额,商业营业用房销售额,其他商品房销售额
2019,159725.1223,139439.9683,6993.0643,5328.9632,11141.3871,3814.8037
2018,149614.4174,126374.0752,7179.8976,6278.0096,13010.4672,3951.8654
2017,133701.3064,110239.5075,7098.433,6441.3587,13252.7114,3767.7288
2016,117627.0475,99064.1734,7112.4209,5483.812,10580.8026,2498.2595
2015,87280.8375,72769.8199,5285.9973,3761.4233,8852.7842,1896.8101
2014,76292.4097,62410.9534,3950.8568,2962.9279,8910.6215,2007.9069
2013,81428.2842,67694.9367,4573.1851,3747.3497,8280.4781,1705.5197
2012,64455.7856,53467.182,3983.5632,2773.4349,6999.5718,1215.5969
2011,58588.858,48198.322,4100.6567,2471.5816,6679.0787,1239.8757
2010,52721.2417,44120.6524,4613.1111,2155.7063,5418.8156,1026.0674
2009,44355.1695,38432.8951,4469.7602,1638.4053,3660.6695,623.1996
2008,25068.183,21196.0034,2235.0735,969.3567,2475.8498,426.9731
2007,29889.1189,25565.8111,3422.8072,1269.9134,2681.7182,371.6762
2006,20825.9631,17287.807,2418.2797,991.3327,2275.8744,270.949
2005,17576.1325,14563.7616,1644.2658,758.8685,2049.5673,203.9351
2004,10375.7069,8619.3667,882.339683137331,383.32,1229.54,143.4802
2003,7955.6627,6543.4492,600.9049,264.5314,1041.2039,106.4782
2002,6032.3413,4957.8501,515.5663,233.6572,773.9689,66.8651
2001,4862.7517,4021.1543,381.8443,230.5635,555.2383,55.7969
2000,3935.4423,3228.6046,274.7459,207.6259,456.227,42.9848
