年份,私人控股固定资产投资(不含农户),农、林、牧、渔业私人控股固定资产投资(不含农户),农业私人控股固定资产投资(不含农户),林业私人控股固定资产投资(不含农户),畜牧业私人控股固定资产投资(不含农户),渔业私人控股固定资产投资(不含农户),农、林、牧、渔服务业私人控股固定资产投资(不含农户),采矿业私人控股固定资产投资(不含农户),煤炭开采和洗选业私人控股固定资产投资(不含农户),石油和天然气开采业私人控股固定资产投资(不含农户),黑色金属矿采选业私人控股固定资产投资(不含农户),有色金属矿采选业私人控股固定资产投资(不含农户),非金属矿采选业私人控股固定资产投资(不含农户),其他采矿业私人控股固定资产投资(不含农户),制造业私人控股固定资产投资(不含农户),农副食品加工业私人控股固定资产投资(不含农户),食品制造业私人控股固定资产投资(不含农户),饮料制造业私人控股固定资产投资(不含农户),烟草制品业私人控股固定资产投资(不含农户),纺织业私人控股固定资产投资(不含农户),纺织服装、鞋、帽制造业私人控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业私人控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业私人控股固定资产投资(不含农户),家具制造业私人控股固定资产投资(不含农户),造纸及纸制品业私人控股固定资产投资(不含农户),印刷业和记录媒介的复制私人控股固定资产投资(不含农户),文教体育用品制造业私人控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业私人控股固定资产投资(不含农户),化学原料及化学制品制造业私人控股固定资产投资(不含农户),医药制造业私人控股固定资产投资(不含农户),化学纤维制造业私人控股固定资产投资(不含农户),橡胶制品业私人控股固定资产投资(不含农户),塑料制品业私人控股固定资产投资(不含农户),非金属矿物制品业私人控股固定资产投资(不含农户),黑色金属冶炼及压延加工业私人控股固定资产投资(不含农户),有色金属冶炼及压延加工业私人控股固定资产投资(不含农户),金属制品业私人控股固定资产投资(不含农户),通用设备制造业私人控股固定资产投资(不含农户),专用设备制造业私人控股固定资产投资(不含农户),交通运输设备制造业私人控股固定资产投资(不含农户),电气机械及器材制造业私人控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业私人控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业私人控股固定资产投资(不含农户),工艺品及其他制造业私人控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业私人控股固定资产投资(不含农户),电力燃气水的生产供应业私人控股固定资产投资(不含农户),电力、热力的生产和供应业私人控股固定资产投资(不含农户),燃气生产和供应业私人控股固定资产投资(不含农户),水的生产和供应业私人控股固定资产投资(不含农户),建筑业私人控股固定资产投资(不含农户),房屋和土木工程建筑业私人控股固定资产投资(不含农户),建筑安装业私人控股固定资产投资(不含农户),建筑装饰业私人控股固定资产投资(不含农户),其他建筑业私人控股固定资产投资(不含农户),交通运输、仓储和邮政业私人控股固定资产投资(不含农户),铁路运输业私人控股固定资产投资(不含农户),道路运输业私人控股固定资产投资(不含农户),城市公共交通业私人控股固定资产投资(不含农户),水上运输业私人控股固定资产投资(不含农户),航空运输业私人控股固定资产投资(不含农户),管道运输业私人控股固定资产投资(不含农户),装卸搬运和其他运输服务业私人控股固定资产投资(不含农户),仓储业私人控股固定资产投资(不含农户),邮政业私人控股固定资产投资(不含农户),信息传输、计算机服务和软件业私人控股固定资产投资(不含农户),电信和其他信息传输服务业私人控股固定资产投资(不含农户),计算机服务业私人控股固定资产投资(不含农户),软件业私人控股固定资产投资(不含农户),批发和零售业私人控股固定资产投资(不含农户),批发业私人控股固定资产投资(不含农户),零售业私人控股固定资产投资(不含农户),住宿和餐饮业私人控股固定资产投资(不含农户),住宿业私人控股固定资产投资(不含农户),餐饮业私人控股固定资产投资(不含农户),金融业私人控股固定资产投资(不含农户),银行业私人控股固定资产投资(不含农户),证券业私人控股固定资产投资(不含农户),保险业私人控股固定资产投资(不含农户),其他金融活动私人控股固定资产投资(不含农户),房地产业私人控股固定资产投资(不含农户),租赁和商务服务业私人控股固定资产投资(不含农户),租赁业私人控股固定资产投资(不含农户),商务服务业私人控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业私人控股固定资产投资(不含农户),研究与试验发展私人控股固定资产投资(不含农户),专业技术服务业私人控股固定资产投资(不含农户),科技交流和推广服务业私人控股固定资产投资(不含农户),地质勘查业私人控股固定资产投资(不含农户),水利、环境和公共设施管理业私人控股固定资产投资(不含农户),水利管理业私人控股固定资产投资(不含农户),环境管理业私人控股固定资产投资(不含农户),公共设施管理业私人控股固定资产投资(不含农户),居民服务和其他服务业私人控股固定资产投资(不含农户),居民服务业私人控股固定资产投资(不含农户),其他服务业私人控股固定资产投资(不含农户),教育私人控股固定资产投资(不含农户),卫生、社会保障和社会福利业私人控股固定资产投资(不含农户),卫生私人控股固定资产投资(不含农户),社会保障业私人控股固定资产投资(不含农户),社会福利业私人控股固定资产投资(不含农户),文化、体育和娱乐业私人控股固定资产投资(不含农户),新闻出版业私人控股固定资产投资(不含农户),广播、电视、电影和音像业私人控股固定资产投资(不含农户),文化艺术业私人控股固定资产投资(不含农户),体育私人控股固定资产投资(不含农户),娱乐业私人控股固定资产投资(不含农户),公共管理和社会组织私人控股固定资产投资(不含农户),中国共产党机关私人控股固定资产投资(不含农户),国家机构私人控股固定资产投资(不含农户),人民政协和民主党派私人控股固定资产投资(不含农户),群众团体、社会团体和宗教私人控股固定资产投资(不含农户),基层群众自治组织私人控股固定资产投资(不含农户),国际组织私人控股固定资产投资(不含农户)
2009,80206.2189,1351.6843,292.7358,84.7909,698.4995,88.9435,186.7146,2816.3104,1145.3888,63.0463,575.1859,505.7782,510.3325,16.5787,39357.2443,2399.3307,1168.346,815.1851,9.3641,1444.368,829.9149,372.7195,900.8166,576.9699,860.3326,456.271,170.5075,690.5773,3450.9408,1094.6955,181.3712,442.2416,1196.4429,4599.1942,1372.4353,1243.4365,2315.9724,3460.9431,2195.7083,2556.3836,2515.8011,1014.6549,381.9657,463.9393,176.4147,1839.4725,1427.9458,193.5997,217.927,497.3746,347.7905,49.3396,41.2297,59.0148,1761.3757,55.3755,545.0085,33.0454,276.0512,11.6404,11.8772,151.2595,669.1989,7.9191,219.7998,80.3587,48.2765,91.1646,3213.1095,1558.9212,1654.1883,1671.0888,982.3145,688.7743,48.2602,15.8895,7.7528,4.9243,19.6936,23649.1494,617.7851,46.127,571.6581,276.5542,86.2236,79.8931,91.0266,19.4109,1189.0124,47.0041,138.5456,1003.4627,286.5396,150.3462,136.1934,356.7159,194.0625,165.8494,5.1834,23.0297,625.6285,8.1474,19.7651,80.7851,34.9346,481.9963,235.0512,0.9105,94.3884,0.027,38.9104,100.8149,
2008,60193.2426,901.4431,171.803,67.3244,461.8093,59.1953,141.3111,2028.762,807.0236,40.297,463.8403,376.1134,332.8557,8.632,27984.4797,1665.3162,869.3756,557.7591,6.011,1138.4966,663.8365,311.3643,703.3345,434.2063,560.9098,351.7452,144.2939,514.653,2634.2506,765.8949,150.0441,328.8642,903.2339,3131.8625,893.3279,932.7953,1635.999,2407.7831,1507.6461,1794.423,1587.5561,670.973,272.9449,349.9314,95.6477,1424.4031,1139.9788,138.065,146.3593,382.751,267.0599,35.0788,32.93,47.6823,1171.2407,40.1114,389.9289,36.1217,176.7493,33.1946,4.9204,71.642,412.783,5.7894,167.1673,56.144,37.5554,73.4679,2150.3271,1058.4808,1091.8463,1154.8116,707.5077,447.3039,24.1528,8.155,2.3723,2.407,11.2185,20225.0058,455.52,29.8828,425.6372,177.2216,73.221,46.9191,41.2695,15.812,804.8124,28.2661,98.1023,678.444,192.615,120.4836,72.1314,288.7994,125.4588,102.4936,2.3589,20.6063,342.0324,8.3628,11.6828,35.9097,18.9461,267.131,192.2388,0.467,76.139,0.4146,21.9872,93.231,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
