年份,房地产开发企业个数,内资房地产开发企业个数,国有房地产开发企业个数,集体房地产开发企业个数,港、澳、台投资房地产开发企业个数,外商投资房地产开发企业个数
2019,99544,95691,671,230,2664,1189
2018,97937,94063,767,280,2719,1155
2017,95897,91608,943,319,3066,1223
2016,94948,90408,1093,364,3232,1308
2015,93426,88773,1329,409,3235,1418
2014,94197,89218,1476,457,3414,1565
2013,91444,86379,1739,570,3391,1674
2012,89859,84695,3354,904,3451,1713
2011,88419,83011,3427,1023,3565,1843
2010,85218,79489,3685,1220,3677,2052
2009,80407,74674,3835,1361,3633,2100
2008,87562,81282,3941,1520,3916,2364
2007,62518,56965,3617,1430,3524,2029
2006,58710,53268,3797,1586,3519,1923
2005,56290,50957,4145,1796,3443,1890
2004,59242,53495,4775,2390,3639,2108
2003,37123,33107,4558,2205,2840,1176
2002,32618,28657,5015,2488,2884,1077
2001,29552,25509,5862,2991,2959,1084
2000,27303,23277,6641,3492,2899,1127
