年份,商品房平均销售价格,住宅商品房平均销售价格,别墅、高档公寓平均销售价格,办公楼商品房平均销售价格,商业营业用房平均销售价格,其他商品房平均销售价格
2019,9310,9287,17886,14315,10952,5074
2018,8726,8553,16252,14379,10903,5336
2017,7892,7614,14965,13543,10323,5364
2016,7476,7203,15911,14332,9786,4832
2015,6793,6473,15157,12914,9566,4845
2014,6324,5933,12965,11826,9817,5177
2013,6237,5850,12591,12997,9777,4907
2012,5790.98598156978,5429.93116753165,11460.1883802409,12306.4108653937,9020.90758021299,4305.73251160082
2011,5357.09984328472,4993.17460548448,10993.9248989063,12327.2845596968,8488.20992764455,4182.1130564796
2010,5032,4725,10934,11406,7747,4099
2009,4681,4459,9662,10608,6871,3671
2008,3800,3576,7801,8378,5886,3219
2007,3863.90380222186,3645.18314688348,7471.24755536418,8667.01737493767,5773.82697234535,3351.43573176662
2006,3366.78765886585,3119.25067242047,6584.9338889743,8052.78432913088,5246.62068781092,3131.30785486765
2005,3167.65694458935,2936.96282057588,5833.95273580394,6922.51983978568,5021.75331522229,2829.35031039804
2004,2778,2608,5576,5744,3884,2235
2003,2359,2197,4145,4196,3675.14,2240.74
2002,2250,2092,4154,4336,3488.57,1918.83
2001,2170,2017,4348,4588,3273.53,2033.08
2000,2112,1948,4288,4751,3260.38,1864.37
