年份,国有控股固定资产投资(不含农户),农、林、牧、渔业国有控股固定资产投资(不含农户),农业国有控股固定资产投资(不含农户),林业国有控股固定资产投资(不含农户),畜牧业国有控股固定资产投资(不含农户),渔业国有控股固定资产投资(不含农户),农、林、牧、渔服务业国有控股固定资产投资(不含农户),采矿业国有控股固定资产投资(不含农户),煤炭开采和洗选业国有控股固定资产投资(不含农户),石油和天然气开采业国有控股固定资产投资(不含农户),黑色金属矿采选业国有控股固定资产投资(不含农户),有色金属矿采选业国有控股固定资产投资(不含农户),非金属矿采选业国有控股固定资产投资(不含农户),其他采矿业国有控股固定资产投资(不含农户),制造业国有控股固定资产投资(不含农户),农副食品加工业国有控股固定资产投资(不含农户),食品制造业国有控股固定资产投资(不含农户),饮料制造业国有控股固定资产投资(不含农户),烟草制品业国有控股固定资产投资(不含农户),纺织业国有控股固定资产投资(不含农户),纺织服装、鞋、帽制造业国有控股固定资产投资(不含农户),皮革、毛皮、羽毛(绒)及其制品业国有控股固定资产投资(不含农户),木材加工及木、竹、藤、棕、草制品业国有控股固定资产投资(不含农户),家具制造业国有控股固定资产投资(不含农户),造纸及纸制品业国有控股固定资产投资(不含农户),印刷业和记录媒介的复制国有控股固定资产投资(不含农户),文教体育用品制造业国有控股固定资产投资(不含农户),石油加工、炼焦及核燃料加工业国有控股固定资产投资(不含农户),化学原料及化学制品制造业国有控股固定资产投资(不含农户),医药制造业国有控股固定资产投资(不含农户),化学纤维制造业国有控股固定资产投资(不含农户),橡胶制品业国有控股固定资产投资(不含农户),塑料制品业国有控股固定资产投资(不含农户),非金属矿物制品业国有控股固定资产投资(不含农户),黑色金属冶炼及压延加工业国有控股固定资产投资(不含农户),有色金属冶炼及压延加工业国有控股固定资产投资(不含农户),金属制品业国有控股固定资产投资(不含农户),通用设备制造业国有控股固定资产投资(不含农户),专用设备制造业国有控股固定资产投资(不含农户),交通运输设备制造业国有控股固定资产投资(不含农户),电气机械及器材制造业国有控股固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业国有控股固定资产投资(不含农户),仪器仪表及文化、办公用机械制造业国有控股固定资产投资(不含农户),工艺品及其他制造业国有控股固定资产投资(不含农户),废弃资源和废旧材料回收加工业国有控股固定资产投资(不含农户),电力燃气水的生产供应业国有控股固定资产投资(不含农户),电力、热力的生产和供应业国有控股固定资产投资(不含农户),燃气生产和供应业国有控股固定资产投资(不含农户),水的生产和供应业国有控股固定资产投资(不含农户),建筑业国有控股固定资产投资(不含农户),房屋和土木工程建筑业国有控股固定资产投资(不含农户),建筑安装业国有控股固定资产投资(不含农户),建筑装饰业国有控股固定资产投资(不含农户),其他建筑业国有控股固定资产投资(不含农户),交通运输、仓储和邮政业国有控股固定资产投资(不含农户),铁路运输业国有控股固定资产投资(不含农户),道路运输业国有控股固定资产投资(不含农户),城市公共交通业国有控股固定资产投资(不含农户),水上运输业国有控股固定资产投资(不含农户),航空运输业国有控股固定资产投资(不含农户),管道运输业国有控股固定资产投资(不含农户),装卸搬运和其他运输服务业国有控股固定资产投资(不含农户),仓储业国有控股固定资产投资(不含农户),邮政业国有控股固定资产投资(不含农户),信息传输、计算机服务和软件业国有控股固定资产投资(不含农户),电信和其他信息传输服务业国有控股固定资产投资(不含农户),计算机服务业国有控股固定资产投资(不含农户),软件业国有控股固定资产投资(不含农户),批发和零售业国有控股固定资产投资(不含农户),批发业国有控股固定资产投资(不含农户),零售业国有控股固定资产投资(不含农户),住宿和餐饮业国有控股固定资产投资(不含农户),住宿业国有控股固定资产投资(不含农户),餐饮业国有控股固定资产投资(不含农户),金融业国有控股固定资产投资(不含农户),银行业国有控股固定资产投资(不含农户),证券业国有控股固定资产投资(不含农户),保险业国有控股固定资产投资(不含农户),其他金融活动国有控股固定资产投资(不含农户),房地产业国有控股固定资产投资(不含农户),租赁和商务服务业国有控股固定资产投资(不含农户),租赁业国有控股固定资产投资(不含农户),商务服务业国有控股固定资产投资(不含农户),科学研究、技术服务和地质勘查业国有控股固定资产投资(不含农户),研究与试验发展国有控股固定资产投资(不含农户),专业技术服务业国有控股固定资产投资(不含农户),科技交流和推广服务业国有控股固定资产投资(不含农户),地质勘查业国有控股固定资产投资(不含农户),水利、环境和公共设施管理业国有控股固定资产投资(不含农户),水利管理业国有控股固定资产投资(不含农户),环境管理业国有控股固定资产投资(不含农户),公共设施管理业国有控股固定资产投资(不含农户),居民服务和其他服务业国有控股固定资产投资(不含农户),居民服务业国有控股固定资产投资(不含农户),其他服务业国有控股固定资产投资(不含农户),教育国有控股固定资产投资(不含农户),卫生、社会保障和社会福利业国有控股固定资产投资(不含农户),卫生国有控股固定资产投资(不含农户),社会保障业国有控股固定资产投资(不含农户),社会福利业国有控股固定资产投资(不含农户),文化、体育和娱乐业国有控股固定资产投资(不含农户),新闻出版业国有控股固定资产投资(不含农户),广播、电视、电影和音像业国有控股固定资产投资(不含农户),文化艺术业国有控股固定资产投资(不含农户),体育国有控股固定资产投资(不含农户),娱乐业国有控股固定资产投资(不含农户),公共管理和社会组织国有控股固定资产投资(不含农户),中国共产党机关国有控股固定资产投资(不含农户),国家机构国有控股固定资产投资(不含农户),人民政协和民主党派国有控股固定资产投资(不含农户),群众团体、社会团体和宗教国有控股固定资产投资(不含农户),基层群众自治组织国有控股固定资产投资(不含农户),国际组织国有控股固定资产投资(不含农户)
2009,86583.2401,1696.8968,347.6487,460.8789,204.6282,18.5397,665.2013,4759.2096,1629.8951,2644.5225,219.2392,200.1077,63.7942,1.6509,10363.2732,139.5817,84.2023,87.9543,205.6042,77.4198,33.3464,34.7391,41.7017,14.7971,94.3052,54.368,5.2627,969.0404,1618.2271,121.9175,41.3705,74.6705,73.6021,597.9327,1638.2403,638.7921,171.9889,449.8943,452.1181,1488.9523,405.2011,447.3975,54.8182,208.8758,36.9513,10740.6264,8971.876,368.7922,1399.9582,871.5267,795.312,14.3762,10.6643,51.1742,20601.353,6539.8321,9704.6376,1969.0495,1213.8874,525.7346,49.3533,45.2991,526.8228,26.7366,1842.2423,1773.7684,9.0267,59.4472,606.4757,336.0937,270.382,348.2314,286.2198,62.0116,248.622,201.166,19.2918,11.2696,16.8946,8743.7678,965.5478,61.8684,903.6794,721.9238,260.1727,197.7053,122.2354,141.8104,15459.8257,2055.0484,964.7533,12440.024,141.8105,104.4713,37.3392,2714.1791,1380.9753,1184.7884,70.079,126.1079,1243.4442,43.7099,134.4687,558.2832,355.5614,151.421,3133.3088,25.5828,2922.3181,7.4992,54.1349,123.7738,
2008,63997.8433,1111.2048,219.4237,291.9402,153.9165,13.5258,432.3986,4324.0122,1339.4207,2557.1601,167.1023,196.0231,63.314,0.992,9422.806,123.3314,69.1567,112.5263,136.4946,85.7272,32.0693,20.3939,29.7834,8.5042,99.2012,39.6645,4.3713,1149.2306,1192.2824,126.2401,47.9752,40.2102,42.0329,439.1691,2102.4096,668.1648,191.14,367.8247,349.3491,1153.9912,208.0868,341.6369,49.5575,171.7733,20.5076,8156.455,7156.5608,209.7323,790.1619,664.2655,618.5315,9.7713,0.8323,35.1304,13795.4188,4010.0424,6748.0912,1207.4996,864.374,505.6666,126.5661,27.6074,292.2449,13.3266,1326.3667,1286.483,11.1457,28.738,467.4531,264.1177,203.3354,278.7311,238.6545,40.0766,181.5893,141.0392,26.5215,6.3341,7.6945,6275.3141,581.8119,7.8932,573.9187,470.9417,179.934,152.8455,73.1305,65.0317,10699.4101,1314.0377,565.3429,8820.0295,64.5231,47.1487,17.3744,1933.1108,848.2138,757.801,17.7288,72.684,943.4755,53.1611,132.6614,380.9326,241.5725,135.1479,2452.7398,26.7465,2272.6745,7.3155,41.8927,104.1106,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
