年份,房地产开发企业平均从业人数,内资房地产开发企业平均从业人数,国有房地产开发企业平均从业人数,集体房地产开发企业平均从业人数,港、澳、台投资房地产开发企业平均从业人数,外商投资房地产开发企业平均从业人数
2019,2937379,2784130,25129,5018,103746,49503
2018,2889165,2735301,31383,6585,104378,49486
2017,2830960,2663954,37904,9092,113221,53785
2016,2752298,2576545,47085,9916,118495,57258
2015,2738454,2551484,57273,10771,124494,62476
2014,2760070,2561817,61512,11414,129287,68966
2013,2591814,2397762,66072,12976,121807,72245
2012,2386772,2199815,123593,20398,116849,70108
2011,2256964,2075474,135420,21237,112990,68500
2010,2091147,1908969,155156,25428,105846,76332
2009,1949295,1763867,123866,29049,109965,75463
2008,2100362,1906029,127511,29602,109246,85087
2007,1719666,1541336,121137,34498,100398,77932
2006,1600930,1442158,132259,38367,97688,61084
2005,1516150,1366743,140106,40978,90674,58733
2004,1585428,1429291,163495,58514,95646,60491
2003,1205355,1086923,179614,72400,79397,39035
2002,1134009,1014254,208722,89739,85449,34306
2001,1062319,949580,257695,109826,81668,31071
2000,971942,862245,292252,116416,79066,30631
