年份,公共图书馆业机构数,群众文化服务业机构数,省级、地市级文化馆数,县市级群众文化机构数,乡镇(街道)文化站数,博物馆数,艺术表演团体数,艺术表演场馆数
2019,3196,44073,390,2936,40747,5132,17795,2716
2018,3176,44464,390,2936,41138,4918,17123,2478
2017,3166,44521,390,2938,41193,4721,15742,2455
2016,3153,44497,389,2933,41175,4109,12301,2285
2015,3139,44291,386,2929,40976,3852,10787,2143
2014,3117,44423,385,2928,41110,3658,8769,1338
2013,3112,44260,385,2930,40945,3473,8180,1344
2012,3076,43876,382,2919,40575,3069,7321,1279
2011,2952,43675,379,2906,40390,2650,7055,1429
2010,2884,43382,374,2890,40118,2435,6864,1461
2009,2850,41959,361,2862,38736,2252,6139,1499
2008,2820,41156,389,2829,37938,1893,5114,1662
2007,2799,40601,411,2806,37384,1722,4512,1732
2006,2778,40088,395,2819,36874,1617,2866,1839
2005,2762,41588,375,2851,38362,1581,2805,1866
2004,2720,41402,380,2841,38181,1548,2759,1928
2003,2709,41816,382,2846,38588,1515,2601,1900
2002,2697,42516,389,2854,39273,1511,2587,1829
2001,2696,43379,399,2842,40138,1461,2605,1854
2000,2675,45321,390,2907,42024,1392,2619,1900
