年份,社会保险基金收入,城镇职工基本养老保险基金收入,失业保险基金收入,医疗保险基金收入,工伤保险基金收入,生育保险基金收入,社会保险基金支出,城镇职工基本养老保险基金支出,失业保险基金支出,医疗保险基金支出,工伤保险基金支出,生育保险基金支出,社会保险基金累计结余,城镇职工基本养老保险累计结余,失业保险累计结余,医疗保险累计结余,工伤保险累计结余,生育保险累计结余
2019,83550.4271536798,52918.8342,1284.2333,24420.8846536798,819.4455,,75346.5677971429,49228.0243,1333.1621,20854.2369971429,816.8532,,96977.8347169258,54623.3422,4625.3715,27696.6823169258,1783.1949,
2018,79254.7554,51167.5583,1171.128,21384.39,913.0091,781.0866266376,67792.6874,44644.9043,915.307,17822.478935094,741.9817,762.3720371699,89775.4858,50901.2516,5816.994,23439.9325811107,1784.9184,581.7343532409
2017,67154.49645836,43309.5678,1112.62775836,17931.3,853.7695,643.0,57145.5887897251,38051.5353,893.7564897251,14421.8,662.2803,744.0,77312.1046849191,43884.5819,5552.3720849191,19385.6409,1606.9241,565.0
2016,53562.719284048006,35057.5036,1228.911084048,13084.2548,736.8505,521.9097,46888.431199993,31853.8152,976.117299993,10767.0928,610.2902,530.6379,66349.70164822211,38580.0322,5333.3322482221,14964.3004,1410.8823,675.9498
2015,46012.124180075196,29340.8501,1367.7914800752,11192.9144,754.2023,501.7462,38988.127095464,25812.7263,736.394295464,9312.1085,598.7225,411.4714,59532.538857259904,35344.7972,5082.9691572599,12542.8061,1285.2769,684.3756
2014,39827.7433834006,25309.6743,1379.7918988399,9687.2393,694.77,446.0512,33002.6776478412,21754.6532,614.74194347,8133.5894,560.486,368.0523,52462.2989300561,31799.964,4451.4826597179,10644.7686,1128.7969,592.7208
2013,35252.9469194889,22680.3664,1288.9007453167,8248.2618,614.7748,368.3766,27916.256558585603,18470.4313,531.6451588441,6801.0329,482.1049,282.7635,45588.111936329595,28269.1795,3685.8605047941,9116.4521,996.2162,514.741
2012,30738.763440570598,20000.9922,1138.9204666247,6938.6792730501,526.7163,304.2107,23331.3301391826,15561.7924,450.5755310939,5543.6240791535,406.2852,219.3173,38106.5686175402,23941.3111,2929.0352921912,7644.5123956047,861.9363,427.5983
2011,25153.2983142954,16894.728,923.07,5539.1772,466.4359,219.8285,18652.902410356302,12764.9486,432.77,4431.3731,286.3816,139.1711,30233.083118156897,19496.5955,2240.21,6179.986,742.5609,342.5305
2010,19276.1288093715,13419.5263,649.7770272099999,4308.9289,284.9453,159.5802,15018.9409474507,10554.9204,423.25711756999993,3538.1018,192.4028,109.8618,23407.5496320524,15365.2805,1749.79740058,5047.1175,561.4429,261.4069
2009,16115.6422803239,11490.8428,580.3817803239,3671.895,240.1166,132.4061,12302.5545449101,8894.4287,366.7863449101,2797.4072,155.6763,88.256,19006.525065071,12526.0925,1523.612465071,4275.9468,468.7791,212.0942
2008,13696.1224649309,9740.2,585.1224649309,3040.4,216.7,113.7,9925.063350177901,7389.6,253.4633501779,2083.6,126.9,71.5,15225.6439234573,9931.0,1310.1389234573,3431.7,384.605,168.2
2007,10812.3,7834.2,471.7,2257.2,165.6,83.6,7887.8,5964.9,217.7,1561.8,87.9,55.6,11236.6,7391.4,979.1,2476.9,262.6,126.6
2006,8643.2,6309.8,402.4,1747.1038,121.8228,62.1289,6477.3845043121,4896.6555100000005,198.0092943121,1276.7422,68.4909,37.4866,8255.8848309858,5488.88162,724.8368109858,1752.3837,192.8951,96.8876
2005,6975.2,5093.3,340.3,1405.3,92.5,43.8,5400.8,4040.3,206.9,1078.7,47.5,27.4,6073.7,4041.0,519.0,1278.1,163.5,72.1
2004,5780.3,4258.4,290.8,1140.5,58.3,32.1,4627.4,3502.1,211.3,862.2,33.3,18.8,4493.4,2975.0,385.8,957.9,118.6,55.9
2003,4882.9,3680.0,249.5,890.0,37.6,25.8,4016.4,3122.1,199.8,653.9,27.1,13.5,3313.8,2206.5,303.5,670.6,91.2,42.0
2002,4048.6627,3171.4607,215.6,607.783,32.0315,21.8135,3471.4995,2842.9072,186.6,409.3566,19.8919,12.7784,2423.4003,1608.0319,253.8418,450.7138,81.0812,29.7316
2001,3101.8992,2488.9606,187.324,383.6022,28.2839,13.7285,2748.0076,2321.2601,156.5684,244.0989,16.4929,9.5873,1622.7678,1054.0818,226.2089,253.0088,68.8926,20.5757
2000,2644.9,2278.5,160.4436,169.9984,24.7778,11.1554,2385.5993,2115.4833,123.4324,124.5411,13.7973,8.3452,1327.5055,947.1165,195.9333,109.8311,57.8542,16.7704
