年份,城镇基本医疗保险年末参保人数,城镇职工基本医疗保险年末参保人数,城镇在岗职工基本医疗保险年末参保人数,城镇退休人员基本医疗保险年末参保人数,城镇居民基本医疗保险年末参保人数,城镇基本医疗保险基金收入,城镇职工医疗保险基金收入,城镇居民医疗保险基金收入,城镇基本医疗保险基金支出,城镇职工医疗保险基金支出,城镇居民医疗保险基金支出,城镇基本医疗保险基金累计结余,城镇职工医疗保险基金累计结余,城镇居民医疗保险基金累计结余
2019,135407.4382,32924.7077,24224.3513,8700.3564,102482.7305,24420.8846536798,15845.417561143,8575.4670925368,20854.2369971429,12663.2481771475,8190.9888199954,27696.6823169258,22554.1355402813,5142.5467766445
2018,134458.6094,31680.8375,23307.5394,8373.2981,102777.7719,21384.39,13537.84900609,7846.394118602,17822.478935094,10706.59259287,7115.886342224,23439.9325811107,18749.8213199207,4690.11126119
2017,117681.3598,30322.7084,22288.3839,8034.3245,87358.6514,17931.3,12278.2824,5653.2942,14421.8,9466.8534,4954.809,19385.6409,15851.0036,3534.6373
2016,74391.5534,29531.5367,21719.9691,7811.5676,44860.0167,13084.2548,10273.7061,2810.5487,10767.0928,8286.679,2480.4138,14964.3004,12971.6678,1992.6326
2015,66581.6499,28893.1249,21361.9533,7531.1716,37688.525,11192.9144,9083.5283,2109.3861,9312.1085,7531.5108,1780.5977,12542.8061,10997.1017,1545.7044
2014,59746.9241,28296.0331,21041.2602,7254.7729,31450.891,9687.2393,8037.9179,1649.3214,8133.5894,6696.5994,1436.99,10644.7686,9449.7889,1194.9797
2013,57072.5729,27443.1413,20501.2931,6941.8482,29629.4316,8248.2618,7061.6253,1186.6365,6801.0329,5829.9205,971.1124,9116.4521,8129.3426,987.1095
2012,53641.2673,26485.5649,19861.3225,6624.2424,27155.7024,6938.6792730501,6061.9190676003,876.7602054498,5543.6240791535,4868.4907221531,675.1333570005,7644.5123956047,6884.2494114209,760.2629841838
2011,47343.2277,25227.0965,18948.4781,6278.6184,22116.1313,5539.1772,4944.9996,594.1776,4431.3731,4018.2702,413.1029,6179.986,5683.1596,496.8264
2010,43262.9442,23734.7,17791.1617,5943.513,19528.2695,4308.9289,3955.4,,3538.1018,3271.6,,5047.1175,4741.2,
2009,40146.9728,21937.4177,16410.519,5526.8987,18209.5741,3671.895,3420.3064,,2797.4072,2630.1087,,4275.9468,4055.2336,
2008,31821.627,19995.627,14987.7384,5007.8886,11826.0,3040.4,2885.5,,2083.6,2019.7,,3431.7,3303.6,
2007,22311.1024,18020.2685,13420.0,4600.0,4291.1024,2257.2,2214.2428,,1561.8,1551.6658,,2476.9,2440.7715,
2006,15731.8,15731.86,11580.3,4151.5,,1747.1038,,,1276.7422,,,1752.3837,,
2005,13782.9,13782.8846,10021.7,3761.2,,1405.3,,,1078.7,,,1278.1,,
2004,12403.6,12403.7,9044.4,3359.2,,1140.5,,,862.2,,,957.9,,
2003,10901.7,10901.7,7974.9,2926.8,,890.0,,,653.9,,,670.6,,
2002,9401.2,9401.2,6925.8,2475.4,,607.783,,,409.3566,,,450.7138,,
2001,7285.9143,7285.91,5470.7406,1815.1737,,383.6022,,,244.0989,,,253.0088,,
2000,3786.9495,3786.9495,2862.7811,924.1684,,169.9984,,,124.5411,,,109.8311,,
