年份,刑事罪犯总数,青少年刑事罪犯数,不满18岁青少年刑事罪犯数,18岁至25岁青少年刑事罪犯数
2019,1659550,281860,43038,238822
2018,1428772,243275,34365,208910
2017,1268985,183471,32778,150693
2016,1219569,204657,35743,168914
2015,1231656,236341,43839,192502
2014,1183784,249576,50415,199161
2013,1157784,265439,55817,209622
2012,1173406,282990,63782,219208
2011,1050747,282429,67280,215149
2010,1006420,287978,68193,219785
2009,996666,302023,77604,224419
2008,1007304,322061,88891,233170
2007,931745,316298,87506,228792
2006,889042,303631,83697,219934
2005,842545,285801,82692,203109
2004,764441,248834,70086,178748
2003,742261,231715,58870,172845
2002,701858,217909,50030,167879
2001,746328,253465,49883,203582
2000,639814,220981,41709,179272
