年份,参加养老保险人数,在职职工参加养老保险人数,企业在职职工参加养老保险人数,离退人员参加养老保险人数,企业离退休人员参加养老保险人数
2019,43487.908,31177.474,27508.718,12310.434,10396.251
2018,41901.634,30103.951,26502.555,11797.683,9980.454
2017,40293.296,29267.612,25856.269,11025.684,9460.398
2016,37929.71,27826.284,25239.602,10103.426,9023.917
2015,35361.168,26219.243,24586.7727,9141.925,8536.4562
2014,34124.3791,25530.9879,23932.3019,8593.3912,8013.5596
2013,32218.3756,24177.326,22564.6934,8041.0495,7484.8058
2012,30426.7982,22981.1156,21360.9444,7445.6825,6910.9327
2011,28391.2689,21565.0499,19970.0,6826.219,6314.0
2010,25707.2989,19402.3383,17822.7375,6304.9606,5811.6131
2009,23549.8912,17743.0348,16219.0,5806.8564,5348.0295
2008,21891.0987,16587.5367,15083.3717,5303.562,4868.0
2007,20136.9,15183.2,13690.6,4953.7,4544.0
2006,18766.3,14130.9,12618.0,4635.4,4238.6
2005,17487.9,13120.4,11710.6,4367.5,4005.2
2004,16352.9,12250.3,10903.9,4102.6,3775.0
2003,15506.7,11646.5,10324.5,3860.2,3556.9
2002,14736.6,11128.8,9929.4,3607.8,3349.2
2001,14182.5203,10801.885,9733.0,3380.6353,3171.3
2000,13617.3965,10447.4965,9469.9,3169.9,3016.5
