年份,年末参加生育保险人数,享受生育保险待遇人数,生育保险基金收入,生育保险基金支出,生育保险累计结余
2019,21417.3284,1136.431,,,
2018,20434.1439,1088.605,781.0866266376,762.3720371699,581.7343532409
2017,19300.2072,1112.7635,643.0,744.0,565.0
2016,18450.9814,913.7043,521.9097,530.6379,675.9498
2015,17771.0437,641.913,501.7462,411.4714,684.3756
2014,17038.6583,613.3634,446.0512,368.0523,592.7208
2013,16391.9924,521.9669,368.3766,282.7635,514.741
2012,15428.6522,352.7073,304.2107,219.3173,427.5983
2011,13891.9887,264.743,219.8285,139.1711,342.5305
2010,12335.9483,210.7,159.5802,109.8618,261.4069
2009,10875.6731,173.996,132.4061,88.256,212.0942
2008,9254.1091,140.0527,113.7,71.5,168.2
2007,7775.3,113.0367,83.6,55.6,126.6
2006,6458.9,107.889,62.1289,37.4866,96.8876
2005,5408.5,,43.8,27.4,72.1
2004,4383.8,,32.1,18.8,55.9
2003,3655.4,,25.8,13.5,42.0
2002,3488.2,,21.8135,12.7784,29.7316
2001,3455.0557,,13.7285,9.5873,20.5757
2000,3001.6395,,11.1554,8.3452,16.7704
