年份,城镇参加养老保险人数,在职职工参加养老保险人数,离退人员参加养老保险人数,城镇职工基本养老保险基金收入,城镇职工基本养老保险基金支出,城镇职工基本养老保险累计结余
2019,43487.908,31177.474,12310.434,52918.8342,49228.0243,54623.3422
2018,41901.634,30103.951,11797.683,51167.5583,44644.9043,50901.2516
2017,40293.296,29267.612,11025.684,43309.5678,38051.5353,43884.5819
2016,37929.71,27826.284,10103.426,35057.5036,31853.8152,38580.0322
2015,35361.168,26219.243,9141.925,29340.8501,25812.7263,35344.7972
2014,34124.3791,25530.9879,8593.3912,25309.6743,21754.6532,31799.964
2013,32218.3756,24177.326,8041.0495,22680.3664,18470.4313,28269.1795
2012,30426.7982,22981.1156,7445.6825,20000.9922,15561.7924,23941.3111
2011,28391.2689,21565.0499,6826.219,16894.728,12764.9486,19496.5955
2010,25707.2989,19402.3383,6304.9606,13419.5263,10554.9204,15365.2805
2009,23549.8912,17743.0348,5806.8564,11490.8428,8894.4287,12526.0925
2008,21891.0987,16587.5367,5303.562,9740.2,7389.6,9931.0
2007,20136.9,15183.2,4953.7,7834.2,5964.9,7391.4
2006,18766.3,14130.9,4635.4,6309.8,4896.6555100000005,5488.88162
2005,17487.9,13120.4,4367.5,5093.3,4040.3,4041.0
2004,16352.9,12250.3,4102.6,4258.4,3502.1,2975.0
2003,15506.7,11646.5,3860.2,3680.0,3122.1,2206.5
2002,14736.6,11128.8,3607.8,3171.4607,2842.9072,1608.0319
2001,14182.5203,10801.885,3380.6353,2488.9606,2321.2601,1054.0818
2000,13617.3965,10447.4965,3169.9,2278.5,2115.4833,947.1165
