年份,工会基层组织数,全国已建工会组织的基层单位的职工数,全国已建工会组织的基层单位的女职工数,全国已建工会组织的基层单位的会员人数,全国已建工会组织的基层单位的女会员人数,工会专职工作人员人数
2019,261.1,29412.8,11307.8,28317.8,10995.3,95.4
2018,273.1,30582.9,11647.9,29476.5,11351.8,102.2
2017,280.8796,31430.3,11884.5,30311.2,11604.8,108.9
2016,282.5,31428.6,11806.7,30288.1,11520.0,113.0
2015,280.6,30707.6,11589.2,29546.0,11287.7,111.4
2014,278.1,29930.9,11299.4,28811.8,10977.7,115.5
2013,276.7,29946.2,11227.6,28786.9,10886.0,115.6
2012,266.3,29371.5,11014.5,28021.3,10611.0,107.9
2011,232.0,27304.7,10211.2,25885.1,9763.6,99.8
2010,197.6,25345.4,9288.1,23996.5,8871.5,86.4
2009,184.5,24535.3,8652.6,22634.4,8248.4,74.6
2008,172.5,22487.5,8168.8,21217.1,7773.8,70.5
2007,150.8,20452.4,7494.5,19329.0,7042.2,60.2
2006,132.4,18143.6,6719.3,16994.2,6177.8,54.3
2005,117.4,15985.3,6016.3,15029.4,5574.8,47.7
2004,102.0,14436.7,5502.6,13694.9,5135.3,45.6
2003,90.6,13301.6,5079.3,12340.5,4601.2,46.5
2002,171.3,14461.5,5157.6,13397.8,4665.2,47.2
2001,153.8,12997.0,5087.9,12152.3,4696.6,55.4
2000,85.9,11472.1,4534.5,10361.5,3917.3,48.2
