年份,工伤保险年末参保人数,享受工伤待遇的人数,享受职业病待遇人数,享受一至四级伤残待遇人数,享受一至四级职业病待遇人数,享受五至六级伤残待遇人数,享受五至六级职业病待遇人数,享受七至十级伤残待遇人数,享受七至十级职业病待遇人数,享受其他伤残待遇人数,享受其他职业病待遇人数,工伤保险基金收入,工伤保险基金支出,工伤保险累计结余
2019,25478.3634,194.3776,,,,,,,,,,819.4455,816.8532,1783.1949
2018,23874.3621,198.5012,,,,,,,,,,913.0091,741.9817,1784.9184
2017,22723.6998,192.8328,,,,,,,,,,853.7695,662.2803,1606.9241
2016,21889.2992,195.9958,,,,,,,,,,736.8505,610.2902,1410.8823
2015,21432.4804,201.8645,,,,,,,,,,754.2023,598.7225,1285.2769
2014,20639.1566,198.1508,,,,,,,,,,694.77,560.486,1128.7969
2013,19917.2415,195.1522,,,,,,,,,,614.7748,482.1049,996.2162
2012,19010.0989,190.5114,10.6232,18.6018,4.5701,9.2122,1.5021,49.5355,1.9376,86.0295,2.6134,526.7163,406.2852,861.9363
2011,17695.9436,163.0105,9.2167,15.4502,4.6221,7.3715,1.4162,38.1406,1.7101,79.4472,1.4683,466.4359,286.3816,742.5609
2010,16160.7122,147.4509,8.1112,14.3208,4.0882,6.7087,1.1115,32.6896,1.2308,74.1456,1.6807,284.9453,192.4028,561.4429
2009,14895.5111,129.5744,7.1731,12.2102,3.9027,6.3745,1.0398,29.2587,1.0849,62.9948,1.1457,240.1166,155.6763,468.7791
2008,13787.2324,117.7684,6.2948,12.4143,3.0155,5.9055,0.8353,27.695,0.9357,55.1292,1.5083,216.7,126.9,384.605
2007,12173.3,95.99,5.5996,7.9625,3.0674,4.2637,0.8448,22.5362,0.7235,40.8999,0.9639,165.6,87.9,262.6
2006,10268.5,77.8,,,,,,,,,,121.8228,68.4909,192.8951
2005,8478.0,65.1,,,,,,,,,,92.5,47.5,163.5
2004,6845.1673,51.8808,,,,,,,,,,58.3,33.3,118.6
2003,4574.8,32.9,,,,,,,,,,37.6,27.1,91.2
2002,4405.6,26.5,,,,,,,,,,32.0315,19.8919,81.0812
2001,4345.3489,18.7086,,,,,,,,,,28.2839,16.4929,68.8926
2000,4350.2744,18.8,,,,,,,,,,24.7778,13.7973,57.8542
