年份,参加失业保险人数,发放失业保险金人数,发放失业保险金额,基本医疗保险在职职工人数,基本医疗保险离退人员数,工伤保险年末年末参保人数,享受工伤待遇的人数,参加生育保险人数
2019,20542.6638,461.2,396.8,24224.3513,8700.3564,25478.3634,194.3776,21417.3284
2018,19643.454,452.2541,357.62,23307.5394,8373.2981,23874.3621,198.5012,20434.1439
2017,18784.1767,458.1,318.2,22288.3839,8034.3245,22723.6998,192.8328,19300.2072
2016,18088.836,483.9449,309.4,21719.9691,7811.5676,21889.2992,195.9958,18450.9814
2015,17325.987,456.8316,269.8,21361.9533,7531.1716,21432.4804,201.8645,17771.0437
2014,17042.574,422.0321,233.2793893034,21041.2602,7254.7729,20639.1566,198.1508,17038.6583
2013,16416.833,416.7445,203.23885051,20501.2931,6941.8482,19917.2415,195.1522,16391.9924
2012,15224.714,390.0537,181.29338584,19861.3225,6624.2424,19010.0989,190.5114,15428.6522
2011,14317.0725,394.3992,159.8544143714,18948.4781,6278.6184,17695.9436,163.0105,13891.9887
2010,13375.595,431.6,140.4485,17791.1617,5943.513,16160.7122,147.4509,12335.9483
2009,12715.4688,483.8905,145.7592,16410.519,5526.8987,14895.5111,129.5744,10875.6731
2008,12399.8484,516.7,139.5349126983,14987.7384,5007.8886,13787.2324,117.7684,9254.1091
2007,11644.6,538.5,129.4405,13420.0,4600.0,12173.3,95.99,7775.3
2006,11186.6,598.1,125.7582,11580.3,4151.5,10268.5,77.8,6458.9
2005,10647.6656,677.8,132.3767,10021.7,3761.2,8478.0,65.1,5408.5
2004,10583.9,753.5,137.4983,9044.4,3359.2,6845.1673,51.8808,4383.8
2003,10372.9,741.6,133.4448,7974.9,2926.8,4574.8,32.9,3655.4
2002,10181.6,657.0,116.7736,6925.8,2475.4,4405.6,26.5,3488.2
2001,10354.6,468.547,83.2563,5470.7406,1815.1737,4345.3489,18.7086,3455.0557
2000,10408.4,329.7489,56.1984,2862.7811,924.1684,4350.2744,18.8,3001.6395
