年份,全国财政收入,中央财政收入,地方财政收入,中央财政收入比重,地方财政收入比重
2019,190390.08,89309.47,101080.6071,,
2018,183359.84,85456.46,97903.38,,
2017,172592.77,81123.36,91469.41,,
2016,159604.97,72365.62,87239.35,,
2015,152269.23,69267.19,83002.04,,
2014,140370.03,64493.45,75876.58,,
2013,129209.64,60198.48,69011.16,,
2012,117253.52,56175.23,61078.29,,
2011,103874.43,51327.32,52547.11,49.4,50.6
2010,83101.51,42488.47,40613.04,51.1,48.9
2009,68518.3,35915.71,32602.59,52.4176898726326,47.5823101273674
2008,61330.35,32680.56,28649.79,53.2861136452018,46.7138863547982
2007,51321.78,27749.16,23572.62,54.1,45.9
2006,38760.2,20456.62,18303.58,52.7773850496127,47.2226149503873
2005,31649.29,16548.53,15100.76,52.2872077067132,47.7127922932868
2004,26396.47,14503.1,11893.37,54.9433314378779,45.0566685621221
2003,21715.25,11865.27,9849.98,54.6402643303669,45.3597356696331
2002,18903.64,10388.64,8515.0,54.96,45.04
2001,16386.04,8582.74,7803.3,52.4,47.6
2000,13395.23,6989.17,6406.06,52.2,47.8
