年份,财政收入,财政支出,财政收入增长速度,财政支出增长速度
2019,190390.08,238858.37,3.8,8.1
2018,183359.84,220904.13,6.2,8.7
2017,172592.77,203085.49,7.4,7.6
2016,159604.97,187755.21,4.5,6.3
2015,152269.23,175877.77,5.8,13.2
2014,140370.03,151785.56,8.6,8.3
2013,129209.64,140212.1,10.2,11.3
2012,117253.52,125952.97,12.9,15.3
2011,103874.43,109247.79,25.0,21.6
2010,83101.51,89874.16,21.3,17.8
2009,68518.3,76299.93,11.7200537743548,21.8991651736801
2008,61330.35,62592.66,19.5,25.7
2007,51321.78,49781.35,32.4,23.2
2006,38760.2,40422.73,22.4678341915411,19.1346785231363
2005,31649.29,33930.28,19.8997062864845,19.1084039008821
2004,26396.47,28486.89,21.6,15.6
2003,21715.25,24649.95,14.8733788836436,11.7751885785024
2002,18903.64,22053.15,15.3642979023608,16.6674073063042
2001,16386.04,18902.58,22.3274255089312,18.9851760929091
2000,13395.23,15886.5,17.0494264283367,20.464797799763
