年份,二级女运动员发展人数,田径二级女运动员发展人数,游泳二级女运动员发展人数,跳水二级女运动员发展人数,水球二级女运动员发展人数,花样游泳二级女运动员发展人数,体操二级女运动员发展人数,艺术体操二级女运动员发展人数,蹦床二级女运动员发展人数,举重二级女运动员发展人数,拳击二级女运动员发展人数,国际式摔跤二级女运动员发展人数,中国式摔跤二级女运动员发展人数,柔道二级女运动员发展人数,跆拳道二级女运动员发展人数,自行车二级女运动员发展人数,击剑二级女运动员发展人数,马术二级女运动员发展人数,现代五项二级女运动员发展人数,射击二级女运动员发展人数,射箭二级女运动员发展人数,赛艇二级女运动员发展人数,皮划艇二级女运动员发展人数,帆船二级女运动员发展人数,足球二级女运动员发展人数,篮球二级女运动员发展人数,排球二级女运动员发展人数,沙滩排球二级女运动员发展人数,乒乓球二级女运动员发展人数,羽毛球二级女运动员发展人数,网球二级女运动员发展人数,手球二级女运动员发展人数,曲棍球二级女运动员发展人数,棒球二级女运动员发展人数,垒球二级女运动员发展人数,速度滑冰二级女运动员发展人数,短道速滑二级女运动员发展人数,花样滑冰二级女运动员发展人数,冰球二级女运动员发展人数,冰壶二级女运动员发展人数,高山滑雪二级女运动员发展人数,越野滑雪二级女运动员发展人数,跳台滑雪二级女运动员发展人数,自由式滑雪二级女运动员发展人数,单板滑雪二级女运动员发展人数,冬季两项二级女运动员发展人数,技巧二级女运动员发展人数,健美操二级女运动员发展人数,街舞二级女运动员发展人数,软式网球二级女运动员发展人数,武术二级女运动员发展人数,滑水二级女运动员发展人数,潜水二级女运动员发展人数,蹼泳二级女运动员发展人数,摩托艇二级女运动员发展人数,围棋二级女运动员发展人数,国际象棋二级女运动员发展人数,中国象棋二级女运动员发展人数,桥牌二级女运动员发展人数,登山二级女运动员发展人数,摩托车二级女运动员发展人数,汽车二级女运动员发展人数,铁人三项二级女运动员发展人数,高尔夫球二级女运动员发展人数,保龄球二级女运动员发展人数,掷球二级女运动员发展人数,台球二级女运动员发展人数,藤球二级女运动员发展人数,壁球二级女运动员发展人数,橄榄球二级女运动员发展人数,车辆模型二级女运动员发展人数,航海模型二级女运动员发展人数,定向二级女运动员发展人数,航空模型二级女运动员发展人数,跳伞二级女运动员发展人数,滑翔二级女运动员发展人数,运动飞机二级女运动员发展人数,热气球二级女运动员发展人数,轮滑二级女运动员发展人数,业余无线电二级女运动员发展人数,毽球二级女运动员发展人数,门球二级女运动员发展人数,舞龙舞狮二级女运动员发展人数,龙舟二级女运动员发展人数,钓鱼二级女运动员发展人数,风筝二级女运动员发展人数,信鸽二级女运动员发展人数,体育舞蹈二级女运动员发展人数,健美二级女运动员发展人数,拔河二级女运动员发展人数,飞镖二级女运动员发展人数,救生二级女运动员发展人数,健身气功二级女运动员发展人数,电子竞技二级女运动员发展人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,9683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,13973.0,2204.0,967.0,16.0,11.0,39.0,77.0,50.0,19.0,101.0,200.0,,97.0,250.0,550.0,38.0,131.0,1.0,2.0,251.0,77.0,146.0,92.0,7.0,1078.0,1877.0,1162.0,47.0,1107.0,245.0,603.0,264.0,140.0,,102.0,20.0,11.0,4.0,,12.0,5.0,5.0,,1.0,,,7.0,43.0,,6.0,1140.0,,,2.0,,109.0,119.0,89.0,,,,,4.0,1.0,,,,,,66.0,,9.0,,2.0,,,,,2.0,2.0,,,,,,,,,44.0,,,,,
2012,12442.0,1875.0,969.0,26.0,1.0,53.0,46.0,104.0,14.0,97.0,176.0,187.0,121.0,276.0,526.0,61.0,203.0,,,289.0,50.0,169.0,93.0,18.0,737.0,1512.0,993.0,41.0,910.0,207.0,418.0,209.0,107.0,2.0,202.0,15.0,3.0,4.0,15.0,7.0,3.0,5.0,,4.0,1.0,,9.0,350.0,,4.0,919.0,,,1.0,1.0,105.0,144.0,87.0,,4.0,,,,,,,,,,11.0,,5.0,,2.0,,,,,2.0,10.0,,,,,,,,,39.0,,,,,
2011,10508.0,1382.0,940.0,63.0,,45.0,77.0,67.0,22.0,66.0,118.0,178.0,113.0,245.0,463.0,50.0,137.0,,1.0,305.0,58.0,101.0,75.0,16.0,626.0,1144.0,821.0,63.0,777.0,186.0,390.0,204.0,154.0,,137.0,18.0,4.0,4.0,,16.0,5.0,23.0,2.0,,,,30.0,257.0,,25.0,739.0,,,1.0,,89.0,99.0,81.0,,9.0,,,,,,,,,,11.0,5.0,4.0,,10.0,,,,,10.0,13.0,,,,,,,,,29.0,,,,,
2010,12694.0,2343.0,977.0,59.0,,32.0,84.0,102.0,40.0,126.0,41.0,216.0,93.0,382.0,560.0,33.0,240.0,,4.0,268.0,58.0,111.0,103.0,46.0,855.0,1256.0,894.0,43.0,839.0,277.0,347.0,225.0,166.0,,163.0,37.0,10.0,3.0,5.0,3.0,1.0,2.0,,,,,9.0,324.0,2.0,4.0,668.0,5.0,,2.0,,94.0,96.0,113.0,,2.0,,,3.0,,,,,3.0,,,1.0,55.0,22.0,8.0,,,,,6.0,89.0,5.0,97.0,5.0,5.0,,,,16.0,10.0,2.0,1.0,2.0,,1.0
