年份,国际级运动健将发展人数,田径国际级运动健将发展人数,游泳国际级运动健将发展人数,跳水国际级运动健将发展人数,水球国际级运动健将发展人数,花样游泳国际级运动健将发展人数,体操国际级运动健将发展人数,艺术体操国际级运动健将发展人数,蹦床国际级运动健将发展人数,举重国际级运动健将发展人数,拳击国际级运动健将发展人数,国际式摔跤国际级运动健将发展人数,中国式摔跤国际级运动健将发展人数,柔道国际级运动健将发展人数,跆拳道国际级运动健将发展人数,自行车国际级运动健将发展人数,击剑国际级运动健将发展人数,马术国际级运动健将发展人数,现代五项国际级运动健将发展人数,射击国际级运动健将发展人数,射箭国际级运动健将发展人数,赛艇国际级运动健将发展人数,皮划艇国际级运动健将发展人数,帆船国际级运动健将发展人数,足球国际级运动健将发展人数,篮球国际级运动健将发展人数,排球国际级运动健将发展人数,沙滩排球国际级运动健将发展人数,乒乓球国际级运动健将发展人数,羽毛球国际级运动健将发展人数,网球国际级运动健将发展人数,手球国际级运动健将发展人数,曲棍球国际级运动健将发展人数,棒球国际级运动健将发展人数,垒球国际级运动健将发展人数,速度滑冰国际级运动健将发展人数,短道速滑国际级运动健将发展人数,花样滑冰国际级运动健将发展人数,冰球国际级运动健将发展人数,冰壶国际级运动健将发展人数,高山滑雪国际级运动健将发展人数,越野滑雪国际级运动健将发展人数,跳台滑雪国际级运动健将发展人数,自由式滑雪国际级运动健将发展人数,单板滑雪国际级运动健将发展人数,冬季两项国际级运动健将发展人数,技巧国际级运动健将发展人数,健美操国际级运动健将发展人数,街舞国际级运动健将发展人数,软式网球国际级运动健将发展人数,武术国际级运动健将发展人数,滑水国际级运动健将发展人数,潜水国际级运动健将发展人数,蹼泳国际级运动健将发展人数,摩托艇国际级运动健将发展人数,围棋国际级运动健将发展人数,国际象棋国际级运动健将发展人数,中国象棋国际级运动健将发展人数,桥牌国际级运动健将发展人数,登山国际级运动健将发展人数,摩托车国际级运动健将发展人数,汽车国际级运动健将发展人数,铁人三项国际级运动健将发展人数,高尔夫球国际级运动健将发展人数,保龄球国际级运动健将发展人数,掷球国际级运动健将发展人数,台球国际级运动健将发展人数,藤球国际级运动健将发展人数,壁球国际级运动健将发展人数,橄榄球国际级运动健将发展人数,车辆模型国际级运动健将发展人数,航海模型国际级运动健将发展人数,定向国际级运动健将发展人数,航空模型国际级运动健将发展人数,跳伞国际级运动健将发展人数,滑翔国际级运动健将发展人数,运动飞机国际级运动健将发展人数,热气球国际级运动健将发展人数,轮滑国际级运动健将发展人数,业余无线电国际级运动健将发展人数,毽球国际级运动健将发展人数,门球国际级运动健将发展人数,舞龙舞狮国际级运动健将发展人数,龙舟国际级运动健将发展人数,钓鱼国际级运动健将发展人数,风筝国际级运动健将发展人数,信鸽国际级运动健将发展人数,体育舞蹈国际级运动健将发展人数,健美国际级运动健将发展人数,拔河国际级运动健将发展人数,飞镖国际级运动健将发展人数,救生国际级运动健将发展人数,健身气功国际级运动健将发展人数,电子竞技国际级运动健将发展人数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,130.0,10.0,4.0,6.0,,,5.0,,,4.0,2.0,,,,1.0,1.0,,,6.0,4.0,2.0,19.0,,7.0,,14.0,1.0,,2.0,,,,1.0,,3.0,2.0,1.0,1.0,,,,,,,1.0,,,6.0,,,,1.0,,,2.0,6.0,1.0,3.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,8.0,,,,,
2012,167.0,15.0,6.0,5.0,,,,,4.0,1.0,3.0,1.0,,,4.0,2.0,1.0,,,6.0,3.0,8.0,7.0,5.0,,,9.0,,,5.0,1.0,1.0,2.0,8.0,2.0,1.0,2.0,,,3.0,,,,1.0,5.0,2.0,12.0,5.0,,2.0,16.0,2.0,,1.0,,3.0,8.0,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,300.0,4.0,3.0,10.0,9.0,1.0,,,,3.0,8.0,5.0,18.0,4.0,1.0,2.0,23.0,,1.0,11.0,3.0,33.0,12.0,11.0,1.0,10.0,,,8.0,5.0,10.0,28.0,7.0,14.0,5.0,,,,,3.0,,,,2.0,,,2.0,2.0,,,13.0,3.0,,,1.0,14.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,
2010,306.0,12.0,80.0,2.0,4.0,,13.0,,4.0,4.0,1.0,13.0,,,1.0,23.0,14.0,,,4.0,3.0,2.0,7.0,1.0,,71.0,2.0,,1.0,1.0,,,,2.0,8.0,,,,,,,,,,,,2.0,,,,5.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,1.0,6.0,,,1.0
