年份,二级运动员发展人数,田径二级运动员发展人数,游泳二级运动员发展人数,跳水二级运动员发展人数,水球二级运动员发展人数,花样游泳二级运动员发展人数,体操二级运动员发展人数,艺术体操二级运动员发展人数,蹦床二级运动员发展人数,举重二级运动员发展人数,拳击二级运动员发展人数,国际式摔跤二级运动员发展人数,中国式摔跤二级运动员发展人数,柔道二级运动员发展人数,跆拳道二级运动员发展人数,自行车二级运动员发展人数,击剑二级运动员发展人数,马术二级运动员发展人数,现代五项二级运动员发展人数,射击二级运动员发展人数,射箭二级运动员发展人数,赛艇二级运动员发展人数,皮划艇二级运动员发展人数,帆船二级运动员发展人数,足球二级运动员发展人数,篮球二级运动员发展人数,排球二级运动员发展人数,沙滩排球二级运动员发展人数,乒乓球二级运动员发展人数,羽毛球二级运动员发展人数,网球二级运动员发展人数,手球二级运动员发展人数,曲棍球二级运动员发展人数,棒球二级运动员发展人数,垒球二级运动员发展人数,速度滑冰二级运动员发展人数,短道速滑二级运动员发展人数,花样滑冰二级运动员发展人数,冰球二级运动员发展人数,冰壶二级运动员发展人数,高山滑雪二级运动员发展人数,越野滑雪二级运动员发展人数,跳台滑雪二级运动员发展人数,自由式滑雪二级运动员发展人数,单板滑雪二级运动员发展人数,冬季两项二级运动员发展人数,技巧二级运动员发展人数,健美操二级运动员发展人数,街舞二级运动员发展人数,软式网球二级运动员发展人数,武术二级运动员发展人数,滑水二级运动员发展人数,潜水二级运动员发展人数,蹼泳二级运动员发展人数,摩托艇二级运动员发展人数,围棋二级运动员发展人数,国际象棋二级运动员发展人数,中国象棋二级运动员发展人数,桥牌二级运动员发展人数,登山二级运动员发展人数,摩托车二级运动员发展人数,汽车二级运动员发展人数,铁人三项二级运动员发展人数,高尔夫球二级运动员发展人数,保龄球二级运动员发展人数,掷球二级运动员发展人数,台球二级运动员发展人数,藤球二级运动员发展人数,壁球二级运动员发展人数,橄榄球二级运动员发展人数,车辆模型二级运动员发展人数,航海模型二级运动员发展人数,定向二级运动员发展人数,航空模型二级运动员发展人数,跳伞二级运动员发展人数,滑翔二级运动员发展人数,运动飞机二级运动员发展人数,热气球二级运动员发展人数,轮滑二级运动员发展人数,业余无线电二级运动员发展人数,毽球二级运动员发展人数,门球二级运动员发展人数,舞龙舞狮二级运动员发展人数,龙舟二级运动员发展人数,钓鱼二级运动员发展人数,风筝二级运动员发展人数,信鸽二级运动员发展人数,体育舞蹈二级运动员发展人数,健美二级运动员发展人数,拔河二级运动员发展人数,飞镖二级运动员发展人数,救生二级运动员发展人数,健身气功二级运动员发展人数,电子竞技二级运动员发展人数
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
