年份,一级女运动员发展人数,田径一级女运动员发展人数,游泳一级女运动员发展人数,跳水一级女运动员发展人数,水球一级女运动员发展人数,花样游泳一级女运动员发展人数,体操一级女运动员发展人数,艺术体操一级女运动员发展人数,蹦床一级女运动员发展人数,举重一级女运动员发展人数,拳击一级女运动员发展人数,国际式摔跤一级女运动员发展人数,中国式摔跤一级女运动员发展人数,柔道一级女运动员发展人数,跆拳道一级女运动员发展人数,自行车一级女运动员发展人数,击剑一级女运动员发展人数,马术一级女运动员发展人数,现代五项一级女运动员发展人数,射击一级女运动员发展人数,射箭一级女运动员发展人数,赛艇一级女运动员发展人数,皮划艇一级女运动员发展人数,帆船一级女运动员发展人数,足球一级女运动员发展人数,篮球一级女运动员发展人数,排球一级女运动员发展人数,沙滩排球一级女运动员发展人数,乒乓球一级女运动员发展人数,羽毛球一级女运动员发展人数,网球一级女运动员发展人数,手球一级女运动员发展人数,曲棍球一级女运动员发展人数,棒球一级女运动员发展人数,垒球一级女运动员发展人数,速度滑冰一级女运动员发展人数,短道速滑一级女运动员发展人数,花样滑冰一级女运动员发展人数,冰球一级女运动员发展人数,冰壶一级女运动员发展人数,高山滑雪一级女运动员发展人数,越野滑雪一级女运动员发展人数,跳台滑雪一级女运动员发展人数,自由式滑雪一级女运动员发展人数,单板滑雪一级女运动员发展人数,冬季两项一级女运动员发展人数,技巧一级女运动员发展人数,健美操一级女运动员发展人数,街舞一级女运动员发展人数,软式网球一级女运动员发展人数,武术一级女运动员发展人数,滑水一级女运动员发展人数,潜水一级女运动员发展人数,蹼泳一级女运动员发展人数,摩托艇一级女运动员发展人数,围棋一级女运动员发展人数,国际象棋一级女运动员发展人数,中国象棋一级女运动员发展人数,桥牌一级女运动员发展人数,登山一级女运动员发展人数,摩托车一级女运动员发展人数,汽车一级女运动员发展人数,铁人三项一级女运动员发展人数,高尔夫球一级女运动员发展人数,保龄球一级女运动员发展人数,掷球一级女运动员发展人数,台球一级女运动员发展人数,藤球一级女运动员发展人数,壁球一级女运动员发展人数,橄榄球一级女运动员发展人数,车辆模型一级女运动员发展人数,航海模型一级女运动员发展人数,定向一级女运动员发展人数,航空模型一级女运动员发展人数,跳伞一级女运动员发展人数,滑翔一级女运动员发展人数,运动飞机一级女运动员发展人数,热气球一级女运动员发展人数,轮滑一级女运动员发展人数,业余无线电一级女运动员发展人数,毽球一级女运动员发展人数,门球一级女运动员发展人数,舞龙舞狮一级女运动员发展人数,龙舟一级女运动员发展人数,钓鱼一级女运动员发展人数,风筝一级女运动员发展人数,信鸽一级女运动员发展人数,体育舞蹈一级女运动员发展人数,健美一级女运动员发展人数,拔河一级女运动员发展人数,飞镖一级女运动员发展人数,救生一级女运动员发展人数,健身气功一级女运动员发展人数,电子竞技一级女运动员发展人数
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
