年份,等级女运动员发展人数,田径等级女运动员发展人数,游泳等级女运动员发展人数,跳水等级女运动员发展人数,水球等级女运动员发展人数,花样游泳等级女运动员发展人数,体操等级女运动员发展人数,艺术体操等级女运动员发展人数,蹦床等级女运动员发展人数,举重等级女运动员发展人数,拳击等级女运动员发展人数,国际式摔跤等级女运动员发展人数,中国式摔跤等级女运动员发展人数,柔道等级女运动员发展人数,跆拳道等级女运动员发展人数,自行车等级女运动员发展人数,击剑等级女运动员发展人数,马术等级女运动员发展人数,现代五项等级女运动员发展人数,射击等级女运动员发展人数,射箭等级女运动员发展人数,赛艇等级女运动员发展人数,皮划艇等级女运动员发展人数,帆船等级女运动员发展人数,足球等级女运动员发展人数,篮球等级女运动员发展人数,排球等级女运动员发展人数,沙滩排球等级女运动员发展人数,乒乓球等级女运动员发展人数,羽毛球等级女运动员发展人数,网球等级女运动员发展人数,手球等级女运动员发展人数,曲棍球等级女运动员发展人数,棒球等级女运动员发展人数,垒球等级女运动员发展人数,速度滑冰等级女运动员发展人数,短道速滑等级女运动员发展人数,花样滑冰等级女运动员发展人数,冰球等级女运动员发展人数,冰壶等级女运动员发展人数,高山滑雪等级女运动员发展人数,越野滑雪等级女运动员发展人数,跳台滑雪等级女运动员发展人数,自由式滑雪等级女运动员发展人数,单板滑雪等级女运动员发展人数,冬季两项等级女运动员发展人数,技巧等级女运动员发展人数,健美操等级女运动员发展人数,街舞等级女运动员发展人数,软式网球等级女运动员发展人数,武术等级女运动员发展人数,滑水等级女运动员发展人数,潜水等级女运动员发展人数,蹼泳等级女运动员发展人数,摩托艇等级女运动员发展人数,围棋等级女运动员发展人数,国际象棋等级女运动员发展人数,中国象棋等级女运动员发展人数,桥牌等级女运动员发展人数,登山等级女运动员发展人数,摩托车等级女运动员发展人数,汽车等级女运动员发展人数,铁人三项等级女运动员发展人数,高尔夫球等级女运动员发展人数,保龄球等级女运动员发展人数,掷球等级女运动员发展人数,台球等级女运动员发展人数,藤球等级女运动员发展人数,壁球等级女运动员发展人数,橄榄球等级女运动员发展人数,车辆模型等级女运动员发展人数,航海模型等级女运动员发展人数,定向等级女运动员发展人数,航空模型等级女运动员发展人数,跳伞等级女运动员发展人数,滑翔等级女运动员发展人数,运动飞机等级女运动员发展人数,热气球等级女运动员发展人数,轮滑等级女运动员发展人数,业余无线电等级女运动员发展人数,毽球等级女运动员发展人数,门球等级女运动员发展人数,舞龙舞狮等级女运动员发展人数,龙舟等级女运动员发展人数,钓鱼等级女运动员发展人数,风筝等级女运动员发展人数,信鸽等级女运动员发展人数,体育舞蹈等级女运动员发展人数,健美等级女运动员发展人数,拔河等级女运动员发展人数,飞镖等级女运动员发展人数,救生等级女运动员发展人数,健身气功等级女运动员发展人数,电子竞技等级女运动员发展人数
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
