年份,有组织(管理)或营销创新活动的规模以上工业企业数,有组织(管理)或营销创新活动的规模以上采矿业企业数,有组织(管理)或营销创新活动的规模以上煤炭开采和洗选业企业数,有组织(管理)或营销创新活动的规模以上石油和天然气开采业企业数,有组织(管理)或营销创新活动的规模以上黑色金属矿采选业企业数,有组织(管理)或营销创新活动的规模以上有色金属矿采选业企业数,有组织(管理)或营销创新活动的规模以上非金属矿采选业企业数,有组织(管理)或营销创新活动的规模以上开采专业及辅助性活动企业数,有组织(管理)或营销创新活动的规模以上其他采矿业企业数,有组织(管理)或营销创新活动的规模以上制造业企业数,有组织(管理)或营销创新活动的规模以上农副食品加工业企业数,有组织(管理)或营销创新活动的规模以上食品制造业企业数,有组织(管理)或营销创新活动的规模以上酒、饮料和精制茶制造业企业数,有组织(管理)或营销创新活动的规模以上烟草制品业企业数,有组织(管理)或营销创新活动的规模以上纺织业企业数,有组织(管理)或营销创新活动的规模以上纺织服装、服饰业企业数,有组织(管理)或营销创新活动的规模以上皮革、毛皮、羽毛及其制品和制鞋业企业数,有组织(管理)或营销创新活动的规模以上木材加工和木、竹、藤、棕、草制品业企业数,有组织(管理)或营销创新活动的规模以上家具制造业企业数,有组织(管理)或营销创新活动的规模以上造纸和纸制品业企业数,有组织(管理)或营销创新活动的规模以上印刷和记录媒介复制业企业数,有组织(管理)或营销创新活动的规模以上文教、工美、体育和娱乐用品制造业企业数,有组织(管理)或营销创新活动的规模以上石油加工、炼焦和核燃料加工业企业数,有组织(管理)或营销创新活动的规模以上化学原料和化学制品制造业企业数,有组织(管理)或营销创新活动的规模以上医药制造业企业数,有组织(管理)或营销创新活动的规模以上化学纤维制造业企业数,有组织(管理)或营销创新活动的规模以上橡胶和塑料制品业企业数,有组织(管理)或营销创新活动的规模以上非金属矿物制品业企业数,有组织(管理)或营销创新活动的规模以上黑色金属冶炼和压延加工业企业数,有组织(管理)或营销创新活动的规模以上有色金属冶炼和压延加工业企业数,有组织(管理)或营销创新活动的规模以上金属制品业企业数,有组织(管理)或营销创新活动的规模以上通用设备制造业企业数,有组织(管理)或营销创新活动的规模以上专用设备制造业企业数,有组织(管理)或营销创新活动的规模以上汽车制造业企业数,有组织(管理)或营销创新活动的规模以上铁路、船舶、航空航天和其他运输设备制造业企业数,有组织(管理)或营销创新活动的规模以上电气机械和器材制造业企业数,有组织(管理)或营销创新活动的规模以上计算机、通信和其他电子设备制造业企业数,有组织(管理)或营销创新活动的规模以上仪器仪表制造业企业数,有组织(管理)或营销创新活动的规模以上其他制造业企业数,有组织(管理)或营销创新活动的规模以上废弃资源综合利用业企业数,有组织(管理)或营销创新活动的规模以上金属制品、机械和设备修理业企业数,有组织(管理)或营销创新活动的规模以上电力、热力、燃气及水生产和供应业企业数,有组织(管理)或营销创新活动的规模以上电力、热力生产和供应业企业数,有组织(管理)或营销创新活动的规模以上燃气生产和供应业企业数,有组织(管理)或营销创新活动的规模以上水的生产和供应业企业数
2019,154800,2150,845,35,218,307,665,77,3,149198,8596,4094,2716,53,5760,3574,2486,2397,2574,2360,2126,3431,750,9673,4369,709,7924,11581,1579,2748,9553,12192,10136,7246,2262,13368,10486,3021,735,544,155,3452,2160,728,564
2018,136211,1791,693,35,196,272,540,53,2,131765,8116,3801,2744,51,5242,3370,2119,2307,2014,2111,1791,3115,687,9052,4097,670,6719,9590,1444,2366,8041,10722,8730,6534,1973,11724,9006,2460,629,423,117,2655,1736,503,416
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
