年份,有组织(管理)或营销创新活动的规模以上内资工业企业数,有组织(管理)或营销创新活动的规模以上国有工业企业数,有组织(管理)或营销创新活动的规模以上集体工业企业数,有组织(管理)或营销创新活动的规模以上股份合作工业企业数,有组织(管理)或营销创新活动的规模以上联营工业企业数,有组织(管理)或营销创新活动的规模以上有限责任公司工业企业数,有组织(管理)或营销创新活动的规模以上国有独资公司工业企业数,有组织(管理)或营销创新活动的规模以上股份有限公司工业企业数,有组织(管理)或营销创新活动的规模以上私营工业企业数,有组织(管理)或营销创新活动的规模以上其他内资工业企业数,有组织(管理)或营销创新活动的规模以上港、澳、台商投资工业企业数,有组织(管理)或营销创新活动的规模以上外商投资工业企业数
2019,137981,450,245,244,12,32480,1789,6981,97561,8,7903,8916
2018,120214,381,249,194,20,30193,1528,7005,82161,11,7437,8560
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
