年份,城镇居民家庭平均每百户摩托车拥有量,城镇居民家庭平均每百户洗衣机拥有量,城镇居民家庭平均每百户电冰箱拥有量,城镇居民家庭平均每百户彩色电视机拥有量,城镇居民家庭平均每百户组合音响拥有量,城镇居民家庭平均每百户照相机拥有量,城镇居民家庭平均每百户空调拥有量,城镇居民家庭平均每百户淋浴热水器拥有量,城镇居民家庭平均每百户计算机拥有量,城镇居民家庭平均每百户摄相机拥有量,城镇居民家庭平均每百户微波炉拥有量,城镇居民家庭平均每百户健身器材拥有量,城镇居民家庭平均每百户移动电话拥有量,城镇居民家庭平均每百户固定电话拥有量,城镇居民家庭平均每百户家用汽车拥有量
2019,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,
2012,20.27,98.02,98.48,136.07,23.63,46.42,126.81,91.02,87.03,10.0,62.24,4.27,212.64,68.41,21.54
2011,20.13,97.05,97.23,135.15,23.97,44.48,122.0,89.14,81.88,9.42,60.65,4.09,205.25,69.58,18.58
2010,22.51,96.92,96.61,137.43,28.08,43.7,112.07,84.82,71.16,8.2,59.0,4.24,188.86,80.94,13.07
2009,22.4,96.01,95.35,135.65,28.21,41.68,106.84,83.39,65.74,7.77,57.18,4.13,181.04,81.86,10.89
2008,21.39,94.65,93.63,132.89,27.43,39.11,100.28,80.65,59.26,7.12,54.57,3.95,172.02,82.01,8.83
2007,24.81,96.77,95.03,137.79,30.2,45.06,95.08,79.52,53.77,6.17,53.39,4.39,165.18,90.52,6.06
2006,25.3,96.77,91.75,137.43,29.05,47.99,87.79,75.13,47.2,5.11,50.61,5.0,152.88,93.32,4.32
2005,25.0,95.51,90.72,134.8,28.79,46.94,80.67,72.65,41.52,4.32,47.61,4.68,137.0,94.4,3.37
2004,24.84,95.9,90.15,133.4,28.29,47.04,69.81,69.4,33.1,3.17,41.7,4.22,111.35,96.44,2.18
2003,24.0,94.41,88.73,130.5,26.89,45.36,61.79,66.61,27.8,2.45,36.96,4.07,90.07,95.41,1.36
2002,22.19,92.9,87.38,126.38,25.16,44.08,51.1,62.42,20.63,1.92,30.91,3.74,62.89,93.65,0.88
2001,20.4,92.22,81.87,120.5,23.84,39.79,35.79,52.0,13.31,1.63,22.27,3.98,33.97,,0.6
2000,18.8,90.5,80.1,116.6,22.2,38.4,30.8,49.1,9.7,1.3,17.6,3.5,19.5,,0.5
