年份,城镇居民人均可支配收入,城镇居民人均可支配工资性收入,城镇居民人均可支配经营净收入,城镇居民人均可支配财产净收入,城镇居民人均可支配转移净收入,城镇居民人均消费支出,城镇居民人均食品烟酒消费支出,城镇居民人均衣着消费支出,城镇居民人均居住消费支出,城镇居民人均生活用品及服务消费支出,城镇居民人均交通通信消费支出,城镇居民人均教育文化娱乐消费支出,城镇居民人均医疗保健消费支出,城镇居民人均其他用品及服务消费支出
2019,42358.802387989,25564.783992639,4840.38580989424,4390.59564135277,7563.03694410294,28063.3523012164,7732.56456893608,1831.93621437066,6780.23707326136,1689.34852294736,3671.33436745366,3327.98348472793,2282.73570916434,747.212360354993
2018,39250.8390000371,23792.2087194156,4442.64433088297,4027.73571497126,6988.25023476691,26112.3078426057,7239.03055920424,1808.23632352175,6254.97143679428,1629.39959902855,3473.47409076863,2974.14185521414,2045.65495641609,687.399021657653
2017,36396.1941513097,22200.9298602662,4064.74637438727,3606.87323571941,6523.64468093674,24444.9537775232,7000.95148266823,1757.93419265439,5564.00211515206,1525.04593532053,3321.51495585315,2846.6363714484,1777.36724789608,651.501476530052
2016,33616.246549,20664.990607,3770.103886,3271.333134,5909.818922,23078.896926,6762.409581,1739.007222,5113.711662,1426.810837,3173.864767,2637.631983,1630.785228,594.675646
2015,31194.8279058537,19337.10422,3476.075493,3041.930785,5339.717403,21392.36293,6359.675003,1701.125454,4725.977698,1306.481815,2895.37544,2382.835803,1443.369543,577.5221768
2014,28843.85378,17936.82348,3278.952996,2812.127631,4815.949668,19968.08477,6000.011591,1627.214958,4489.563341,1233.205623,2637.274293,2142.297639,1305.569948,532.9473735
2013,26467.0038374756,16617.3753948962,2975.33906826515,2551.53676039364,4322.75261392007,18487.5389339196,5570.73020296841,1553.66013126084,4301.37059699287,1129.16303504213,2317.84287019162,1988.26305296931,1136.121069,490.387975990587
2012,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,
