年份,城镇居民家庭人均购买粮食数量,城镇居民家庭人均购买鲜菜数量,城镇居民家庭人均购买食用植物油数量,城镇居民家庭人均购买猪肉数量,城镇居民家庭人均购买牛羊肉数量,城镇居民家庭人均购买禽类数量,城镇居民家庭人均购买鲜蛋数量,城镇居民家庭人均购买水产品数量,城镇居民家庭人均购买鲜奶数量,城镇居民家庭人均购买鲜瓜果数量,城镇居民家庭人均购买酒数量,城镇居民家庭人均购买煤炭数量
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,78.76,112.33,9.14,21.23,3.73,10.75,10.52,15.19,13.95,56.05,6.88,23.57
2011,80.71,114.56,9.26,20.63,3.95,10.59,10.12,14.62,13.7,52.02,6.76,29.79
2010,81.53,116.11,8.84,20.73,3.78,10.21,10.0,15.21,13.98,54.23,7.02,34.4
2009,81.33,120.45,9.67,20.5,3.7,10.47,10.57,12.17,14.91,56.55,8.01,43.31
2008,63.56,123.15,10.27,19.26,3.44,8.52,10.74,11.89,15.19,54.48,7.7,55.69
2007,78.73,117.8,9.63,18.21,3.93,9.661711569,10.33,14.2,17.75,59.54,9.141333333,51.04
2006,75.92,117.56,9.38,20.0,3.78,8.34,10.41,12.95,18.32,60.17,9.12,70.91
2005,76.98,118.58,9.25,20.15,3.71,8.97,10.4,12.55,17.92,56.69,8.85,84.01
2004,78.18,122.32,9.29,19.19,3.66,6.37,10.35,12.48,18.83,56.45,8.94,91.97
2003,79.52,118.34,9.2,20.43,3.31,9.2,11.19,13.35,18.62,57.79,9.39,104.71
2002,78.48,116.52,8.52,20.28,3.01,9.24,10.56,13.2,15.72,56.52,9.14,101.28
2001,79.69,115.86,8.08,15.95,3.17,7.31,10.41,,11.9,59.9,9.69,129.51
2000,82.31,114.74,8.16,16.73,3.33,5.44,11.21,11.74,9.94,57.48,10.01,128.07
