年份,农村居民调查户数,农村居民平均每户常住人口,农村居民平均每户整半劳动力,农村居民平均每个劳动力负担人口(含本人),农村居民家庭平均每人纯收入,农村居民家庭平均每人工资性纯收入,农村居民家庭平均每人家庭经营纯收入,农村居民家庭平均每人财产性纯收入,农村居民家庭平均每人转移性纯收入
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,73750.0,3.8811,2.7636,1.40438,7916.58,3447.463656,3533.366279,249.054319,686.6962367
2011,73630.0,3.8987,2.781,1.40191,6977.29,2963.43,3221.98,228.57,563.32
2010,68190.0,3.95477,2.8505,1.387372093,5919.01,2431.05,2832.8,202.25,452.92
2009,68190.0,3.98,2.85,1.4,5153.17,2061.25,2526.78,167.2,397.95
2008,68190.0,4.0137,2.846,1.41,4760.62,1853.73,2435.56,148.08,323.24
2007,68190.0,4.03,2.84,1.419,4140.4,1596.22,2193.67,128.22,222.25
2006,68190.0,4.05,2.83,1.43,3587.0,1374.8,1930.962096,100.5036473,180.7763141
2005,68190.0,4.07,2.82,1.44,3254.9,1174.53,1844.53,88.45,147.42
2004,68190.0,4.08,2.82,1.45,2936.4,998.46,1745.79,76.61,115.54
2003,68190.0,4.1,2.8,1.47,2622.2,918.38,1541.28,65.75,96.83
2002,68190.0,4.13,2.76,1.5,2475.6,840.22,1486.54,50.68,98.19
2001,68190.0,4.15,2.73,1.52,2366.4,771.9,1459.63,46.97,87.9
2000,68116.0,4.2,2.76,1.52,2253.4,702.3,1427.27,45.04,78.81
