年份,人民检察院维持原判案件数,人民检察院二审维持原判案件数,人民检察院二审贪污贿赂案件维持原判案件数,人民检察院二审渎职侵权案件维持原判案件数,人民检察院二审刑事案件维持原判案件数,人民检察院再审维持原判案件数,人民检察院再审贪污贿赂案件维持原判案件数,人民检察院再审渎职侵权案件维持原判案件数,人民检察院再审刑事案件维持原判案件数
2019,2135,,,,,,,,
2018,1950,1840.0,204.0,71.0,1565.0,110.0,23.0,3.0,84.0
2017,1734,1631.0,246.0,83.0,1302.0,103.0,18.0,7.0,78.0
2016,1268,1198.0,122.0,50.0,1026.0,70.0,10.0,5.0,55.0
2015,1011,957.0,124.0,34.0,799.0,54.0,10.0,,44.0
2014,939,881.0,147.0,33.0,701.0,58.0,8.0,2.0,48.0
2013,807,740.0,132.0,16.0,592.0,67.0,4.0,,56.0
2012,850,779.0,138.0,15.0,626.0,71.0,15.0,3.0,53.0
2011,936,812.0,131.0,26.0,655.0,124.0,22.0,6.0,96.0
2010,935,856.0,128.0,28.0,700.0,79.0,13.0,2.0,64.0
2009,700,653.0,106.0,19.0,528.0,47.0,3.0,3.0,41.0
2008,608,567.0,88.0,31.0,448.0,41.0,11.0,3.0,27.0
2007,614,568.0,97.0,29.0,442.0,46.0,9.0,3.0,34.0
2006,,,,,,,,,
2005,,,,,,,,,
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
