年份,有组织(管理)或营销创新活动的企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上采矿业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上煤炭开采和洗选业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上石油和天然气开采业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上黑色金属矿采选业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上有色金属矿采选业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上非金属矿采选业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上开采专业及辅助性活动企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上其他采矿业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上农副食品加工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上食品制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上酒、饮料和精制茶制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上烟草制品业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上纺织业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上纺织服装、服饰业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上皮革、毛皮、羽毛及其制品和制鞋业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上木材加工和木、竹、藤、棕、草制品业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上家具制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上造纸和纸制品业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上印刷和记录媒介复制业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上文教、工美、体育和娱乐用品制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上石油加工、炼焦和核燃料加工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上化学原料和化学制品制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上医药制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上化学纤维制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上橡胶和塑料制品业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上非金属矿物制品业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上黑色金属冶炼和压延加工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上有色金属冶炼和压延加工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上金属制品业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上通用设备制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上专用设备制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上汽车制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上铁路、船舶、航空航天和其他运输设备制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上电气机械和器材制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上计算机、通信和其他电子设备制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上仪器仪表制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上其他制造业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上废弃资源综合利用业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上金属制品、机械和设备修理业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上电力、热力、燃气及水生产和供应业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上电力、热力生产和供应业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上燃气生产和供应业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上水的生产和供应业企业占规模以上工业企业的比重
2019,40.982,21.068,19.873,29.412,18.745,24.919,20.958,30.078,30,42.172,40.353,50.984,47.901,49.533,31.968,26.768,29.887,26.601,39.771,35.877,37.489,39.153,37.519,44.791,59.112,37.673,40.822,32.04,30.882,37.888,38.706,49.193,53.04,46.779,48.087,52.901,56.009,61.741,43.724,28.526,33.55,25.138,24.011,31.447,23.296
2018,36.345,17.385,16.203,30.973,15.385,21.102,17.225,26.238,16.667,37.37,34.872,44.198,43.151,47.222,28.022,23.918,25.908,25.421,31.587,31.456,31.515,34.1,34.838,40.348,55.238,36.672,35.359,27.531,28.126,33.665,33.958,43.867,47.243,42.826,41.476,47.945,51.866,55.48,37.285,24.766,30.311,22.347,21.875,26.321,20.452
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
