年份,有组织(管理)或营销创新活动的规模以上内资工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上国有工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上集体工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上股份合作工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上联营工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上有限责任公司工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上国有独资公司工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上股份有限公司工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上私营工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上其他内资工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上港、澳、台商投资工业企业占规模以上工业企业的比重,有组织(管理)或营销创新活动的规模以上外商投资工业企业占规模以上工业企业的比重
2019,41.292,30.508,22.032,33.333,20.69,42.941,42.85,60.088,40.068,23.529,39.464,37.879
2018,36.411,25.866,18.202,24.904,29.412,38.369,40.232,56.919,34.901,16.418,36.264,35.514
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,,,,,,,,,,,,
2011,,,,,,,,,,,,
2010,,,,,,,,,,,,
2009,,,,,,,,,,,,
2008,,,,,,,,,,,,
2007,,,,,,,,,,,,
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
