年份,国有控股工业企业港澳台资本金,煤炭开采和洗选业国有控股工业企业港澳台资本金,石油和天然气开采业国有控股工业企业港澳台资本金,黑色金属矿采选业国有控股工业企业港澳台资本金,有色金属矿采选业国有控股工业企业港澳台资本金,非金属矿采选业国有控股工业企业港澳台资本金,开采辅助活动国有控股工业企业港澳台资本金,其他采矿业国有控股工业企业港澳台资本金,农副食品加工业国有控股工业企业港澳台资本金,食品制造业国有控股工业企业港澳台资本金,酒、饮料和精制茶制造业国有控股工业企业港澳台资本金,烟草制品业国有控股工业企业港澳台资本金,纺织业国有控股工业企业港澳台资本金,纺织服装、服饰业国有控股工业企业港澳台资本金,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业港澳台资本金,木材加工和木、竹、藤、棕、草制品业国有控股工业企业港澳台资本金,家具制造业国有控股工业企业港澳台资本金,造纸和纸制品业国有控股工业企业港澳台资本金,印刷和记录媒介复制业国有控股工业企业港澳台资本金,文教、工美、体育和娱乐用品制造业国有控股工业企业港澳台资本金,石油加工、炼焦和核燃料加工业国有控股工业企业港澳台资本金,化学原料和化学制品制造业国有控股工业企业港澳台资本金,医药制造业国有控股工业企业港澳台资本金,化学纤维制造业国有控股工业企业港澳台资本金,橡胶和塑料制品业国有控股工业企业港澳台资本金,非金属矿物制品业国有控股工业企业港澳台资本金,黑色金属冶炼和压延加工业国有控股工业企业港澳台资本金,有色金属冶炼和压延加工业国有控股工业企业港澳台资本金,金属制品业国有控股工业企业港澳台资本金,通用设备制造业国有控股工业企业港澳台资本金,专用设备制造业国有控股工业企业港澳台资本金,汽车制造业国有控股工业企业港澳台资本金,铁路、船舶、航空航天和其他运输设备国有控股工业企业港澳台资本金,电气机械和器材制造业国有控股工业企业港澳台资本金,计算机、通信和其他电子设备制造业国有控股工业企业港澳台资本金,仪器仪表制造业国有控股工业企业港澳台资本金,其他制造业国有控股工业企业港澳台资本金,废弃资源综合利用业国有控股工业企业港澳台资本金,金属制品、机械和设备修理业国有控股工业企业港澳台资本金,电力、热力生产和供应业国有控股工业企业港澳台资本金,燃气生产和供应业国有控股工业企业港澳台资本金,水的生产和供应业国有控股工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,514.61,3.0,0.0,1.56,0.08,0.0,0.0,,10.31,10.91,4.4,0.0,0.53,0.05,0.01,0.82,3.7,0.48,1.87,0.66,47.38,12.69,11.13,8.17,4.26,9.05,24.2,19.43,4.3,8.55,5.46,79.29,14.4,7.95,27.44,0.67,0.01,0.12,3.34,124.11,40.91,23.36
2016,569.58,3.0,1.03,,1.97,0.05,,,5.74,2.83,2.66,,0.95,1.15,0.01,0.42,3.7,1.16,1.09,0.19,48.1,13.62,12.12,6.73,3.67,6.04,34.07,17.64,4.51,8.19,6.34,100.17,7.43,6.3,39.22,0.7,0.01,0.95,3.34,140.57,62.31,21.59
2015,506.86,3.0,0.0,0.0,1.56,0.05,0.0,0.0,4.55,2.79,2.66,0.0,1.27,0.95,0.01,0.1,2.2,0.52,2.52,0.19,44.8,12.91,16.54,9.08,4.26,5.53,20.48,17.87,4.48,13.94,2.52,83.05,6.44,1.39,21.9,0.67,0.01,0.95,3.37,133.84,54.88,25.56
2014,513.39,4.0,0.0,0.0,3.7,0.05,0.0,0.0,6.14,2.35,3.6,0.0,3.64,0.99,0.01,0.11,2.2,0.31,2.56,0.22,43.02,8.75,13.57,9.08,6.85,7.96,29.34,9.4,2.82,2.97,16.97,69.04,14.24,18.28,27.4,1.23,0.03,0.19,3.09,119.19,52.78,27.28
2013,578.62,3.0,0.0,0.01,3.18,0.05,0.0,0.0,0.42,2.85,4.73,0.0,3.88,0.73,0.03,0.91,2.76,1.49,3.42,0.23,38.34,21.32,10.26,6.68,6.25,9.03,29.6,12.63,6.68,3.2,18.92,92.79,10.75,11.43,15.26,1.35,0.01,0.0,3.59,164.16,59.58,29.09
2012,462.73039,3.01836,,,1.58136,0.5,,,2.77897,2.78554,8.04363,,2.5966,0.6238,0.02993,0.74906,2.76501,0.64323,3.34063,0.29817,26.69373,27.00087,5.39464,0.25,3.99099,20.11658,29.89458,13.3804,6.7879,4.39686,20.74561,55.73713,14.77841,16.80843,19.30019,1.30164,0.0075,,7.1462,102.10436,25.48553,31.65455
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
