年份,国有控股工业企业负债合计,煤炭开采和洗选业国有控股工业企业负债合计,石油和天然气开采业国有控股工业企业负债合计,黑色金属矿采选业国有控股工业企业负债合计,有色金属矿采选业国有控股工业企业负债合计,非金属矿采选业国有控股工业企业负债合计,开采辅助活动国有控股工业企业负债合计,其他采矿业国有控股工业企业负债合计,农副食品加工业国有控股工业企业负债合计,食品制造业国有控股工业企业负债合计,酒、饮料和精制茶制造业国有控股工业企业负债合计,烟草制品业国有控股工业企业负债合计,纺织业国有控股工业企业负债合计,纺织服装、服饰业国有控股工业企业负债合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业负债合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业负债合计,家具制造业国有控股工业企业负债合计,造纸和纸制品业国有控股工业企业负债合计,印刷和记录媒介复制业国有控股工业企业负债合计,文教、工美、体育和娱乐用品制造业国有控股工业企业负债合计,石油加工、炼焦和核燃料加工业国有控股工业企业负债合计,化学原料和化学制品制造业国有控股工业企业负债合计,医药制造业国有控股工业企业负债合计,化学纤维制造业国有控股工业企业负债合计,橡胶和塑料制品业国有控股工业企业负债合计,非金属矿物制品业国有控股工业企业负债合计,黑色金属冶炼和压延加工业国有控股工业企业负债合计,有色金属冶炼和压延加工业国有控股工业企业负债合计,金属制品业国有控股工业企业负债合计,通用设备制造业国有控股工业企业负债合计,专用设备制造业国有控股工业企业负债合计,汽车制造业国有控股工业企业负债合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业负债合计,电气机械和器材制造业国有控股工业企业负债合计,计算机、通信和其他电子设备制造业国有控股工业企业负债合计,仪器仪表制造业国有控股工业企业负债合计,其他制造业国有控股工业企业负债合计,废弃资源综合利用业国有控股工业企业负债合计,金属制品、机械和设备修理业国有控股工业企业负债合计,电力、热力生产和供应业国有控股工业企业负债合计,燃气生产和供应业国有控股工业企业负债合计,水的生产和供应业国有控股工业企业负债合计
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
