年份,国有控股工业企业财务费用,煤炭开采和洗选业国有控股工业企业财务费用,石油和天然气开采业国有控股工业企业财务费用,黑色金属矿采选业国有控股工业企业财务费用,有色金属矿采选业国有控股工业企业财务费用,非金属矿采选业国有控股工业企业财务费用,开采辅助活动国有控股工业企业财务费用,其他采矿业国有控股工业企业财务费用,农副食品加工业国有控股工业企业财务费用,食品制造业国有控股工业企业财务费用,酒、饮料和精制茶制造业国有控股工业企业财务费用,烟草制品业国有控股工业企业财务费用,纺织业国有控股工业企业财务费用,纺织服装、服饰业国有控股工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业财务费用,木材加工和木、竹、藤、棕、草制品业国有控股工业企业财务费用,家具制造业国有控股工业企业财务费用,造纸和纸制品业国有控股工业企业财务费用,印刷和记录媒介复制业国有控股工业企业财务费用,文教、工美、体育和娱乐用品制造业国有控股工业企业财务费用,石油加工、炼焦和核燃料加工业国有控股工业企业财务费用,化学原料和化学制品制造业国有控股工业企业财务费用,医药制造业国有控股工业企业财务费用,化学纤维制造业国有控股工业企业财务费用,橡胶和塑料制品业国有控股工业企业财务费用,非金属矿物制品业国有控股工业企业财务费用,黑色金属冶炼和压延加工业国有控股工业企业财务费用,有色金属冶炼和压延加工业国有控股工业企业财务费用,金属制品业国有控股工业企业财务费用,通用设备制造业国有控股工业企业财务费用,专用设备制造业国有控股工业企业财务费用,汽车制造业国有控股工业企业财务费用,铁路、船舶、航空航天和其他运输设备国有控股工业企业财务费用,电气机械和器材制造业国有控股工业企业财务费用,计算机、通信和其他电子设备制造业国有控股工业企业财务费用,仪器仪表制造业国有控股工业企业财务费用,其他制造业国有控股工业企业财务费用,废弃资源综合利用业国有控股工业企业财务费用,金属制品、机械和设备修理业国有控股工业企业财务费用,电力、热力生产和供应业国有控股工业企业财务费用,燃气生产和供应业国有控股工业企业财务费用,水的生产和供应业国有控股工业企业财务费用
2019,4922.47,625.29,174.67,115.87,40.3,14.92,-2.27,,28.31,10.59,-17.53,-54.64,14.77,-0.55,0.52,4.54,-0.56,15.38,-0.42,3.41,156.49,308.41,26.59,21.82,16.4,118.59,382.91,276.13,26.02,32.27,76.77,17.89,33.98,38.05,97.15,3.53,0.07,5.38,10.13,2132.57,65.2,103.51
2018,4977.79,733.0,103.1,110.5,44.7,10.1,-5.1,,27.9,10.3,-11.5,-24.3,15.8,-0.5,0.3,4.0,-0.9,32.4,-1.7,2.7,148.2,376.2,22.4,17.7,17.8,119.9,487.6,289.9,22.9,36.3,92.0,8.8,44.1,20.4,104.7,2.4,6.1,4.0,11.8,1918.4,39.8,76.8
2017,5012.5,722.4,131.74,68.29,39.12,8.05,13.24,,29.29,11.79,-13.4,-24.82,16.65,-0.1,0.39,3.71,0.16,27.84,-1.01,2.74,158.99,387.01,25.49,16.21,15.31,142.34,513.49,306.19,26.53,43.36,103.76,23.94,84.64,59.68,94.31,3.92,2.89,3.3,10.5,1851.72,30.66,72.17
2016,4877.62,658.27,152.41,69.27,36.13,9.41,-26.43,,36.62,6.73,0.47,-19.92,14.07,-0.35,0.44,5.35,-0.28,25.39,-0.36,3.35,165.61,385.67,22.96,16.09,11.1,141.68,560.49,285.29,19.42,45.64,91.48,38.76,47.56,1.09,82.17,4.05,1.7,3.41,22.02,1853.08,33.24,74.49
2015,5420.69,648.85,166.92,53.73,37.44,11.45,9.0,0.04,38.55,10.86,5.88,-17.65,13.39,-0.38,0.46,11.76,-0.24,40.56,-0.1,2.96,192.25,410.92,26.14,12.68,14.11,155.57,656.79,334.28,27.43,62.01,83.69,64.34,47.32,26.18,99.63,5.54,1.25,2.57,4.35,2057.12,28.77,74.29
2014,5331.69,621.41,146.23,73.03,33.41,13.98,16.31,0.05,30.02,7.95,6.19,-18.65,16.97,-0.07,0.54,6.5,0.1,37.87,0.62,3.44,230.12,401.46,27.77,13.7,21.54,165.73,601.69,294.05,29.03,63.98,85.87,-13.97,83.44,51.96,87.5,6.54,2.55,3.15,5.43,2090.93,22.31,61.01
2013,4513.2,520.13,127.53,50.0,21.74,11.82,14.03,0.05,28.97,7.77,2.37,-12.02,14.83,0.18,0.63,4.79,0.51,32.21,1.28,2.77,174.79,318.59,22.45,13.79,20.49,149.76,469.58,216.65,25.41,47.07,74.7,7.06,42.88,60.46,65.25,4.85,3.75,2.72,4.62,1890.78,16.49,51.48
2012,4396.37968,415.50091,102.77788,42.27498,20.70235,8.93054,9.02876,0.05389,22.9788,10.05619,7.29846,-11.73048,15.97442,0.52835,0.38275,4.78171,0.34553,39.82086,1.21965,2.83063,171.83917,272.00618,22.22248,13.05707,23.33531,123.04014,494.07317,236.47232,22.56308,43.15729,77.52359,52.43484,36.06802,60.06947,77.21315,4.55214,3.68255,2.22976,5.18704,1892.86473,17.1382,51.8938
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
