年份,国有控股工业企业资产总计,煤炭开采和洗选业国有控股工业企业资产总计,石油和天然气开采业国有控股工业企业资产总计,黑色金属矿采选业国有控股工业企业资产总计,有色金属矿采选业国有控股工业企业资产总计,非金属矿采选业国有控股工业企业资产总计,开采辅助活动国有控股工业企业资产总计,其他采矿业国有控股工业企业资产总计,农副食品加工业国有控股工业企业资产总计,食品制造业国有控股工业企业资产总计,酒、饮料和精制茶制造业国有控股工业企业资产总计,烟草制品业国有控股工业企业资产总计,纺织业国有控股工业企业资产总计,纺织服装、服饰业国有控股工业企业资产总计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业资产总计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业资产总计,家具制造业国有控股工业企业资产总计,造纸和纸制品业国有控股工业企业资产总计,印刷和记录媒介复制业国有控股工业企业资产总计,文教、工美、体育和娱乐用品制造业国有控股工业企业资产总计,石油加工、炼焦和核燃料加工业国有控股工业企业资产总计,化学原料和化学制品制造业国有控股工业企业资产总计,医药制造业国有控股工业企业资产总计,化学纤维制造业国有控股工业企业资产总计,橡胶和塑料制品业国有控股工业企业资产总计,非金属矿物制品业国有控股工业企业资产总计,黑色金属冶炼和压延加工业国有控股工业企业资产总计,有色金属冶炼和压延加工业国有控股工业企业资产总计,金属制品业国有控股工业企业资产总计,通用设备制造业国有控股工业企业资产总计,专用设备制造业国有控股工业企业资产总计,汽车制造业国有控股工业企业资产总计,铁路、船舶、航空航天和其他运输设备国有控股工业企业资产总计,电气机械和器材制造业国有控股工业企业资产总计,计算机、通信和其他电子设备制造业国有控股工业企业资产总计,仪器仪表制造业国有控股工业企业资产总计,其他制造业国有控股工业企业资产总计,废弃资源综合利用业国有控股工业企业资产总计,金属制品、机械和设备修理业国有控股工业企业资产总计,电力、热力生产和供应业国有控股工业企业资产总计,燃气生产和供应业国有控股工业企业资产总计,水的生产和供应业国有控股工业企业资产总计
2019,469679.85,39660.44,20186.74,6269.24,3109.5,1571.68,2536.32,,2111.89,1439.13,6777.58,10313.26,1103.6,357.34,104.86,322.16,168.83,1054.23,807.2,278.62,16665.61,21797.84,5300.73,1344.6,1713.98,10326.19,31096.3,16878.15,4620.55,9041.97,8338.87,35614.12,15074.55,7795.92,18617.12,1846.13,1185.27,338.15,1446.21,141363.39,6369.81,14729.16
2018,456504.2,41813.7,18453.2,6581.1,3171.5,962.4,2106.8,,1885.8,1325.8,6009.6,10785.4,1188.2,355.3,87.1,284.6,166.4,1572.7,766.5,251.8,15287.3,21870.4,5041.5,1275.1,1586.3,9033.0,32317.7,15522.7,3055.1,8265.2,9778.1,36635.8,7503.5,9169.9,17469.7,1309.6,243.8,211.4,1278.0,128072.0,5605.5,11607.2
2017,439622.86,40446.23,18133.21,5720.27,3172.32,952.47,2129.52,,2018.56,1323.22,5314.66,10424.06,1241.73,332.76,84.55,285.34,182.2,1705.03,756.35,244.42,14644.45,22587.29,4621.88,1168.28,1687.96,9131.45,34222.12,16063.76,3849.2,8566.86,9803.42,35943.53,14052.06,9384.14,15483.17,1514.8,1167.25,240.93,1219.72,123991.78,5131.36,10678.3
2016,417704.16,39993.09,18895.02,5111.16,2904.92,1141.78,2433.28,,2575.35,1138.82,4465.66,10125.86,1238.25,275.48,75.34,276.61,125.6,1746.65,739.52,317.51,13452.09,21469.86,4493.22,922.77,1373.19,9273.03,33719.5,14362.2,2936.47,9300.69,8926.33,31987.69,12915.05,8691.68,13488.57,1413.38,976.95,200.72,1690.64,118654.85,4302.26,9570.63
2015,397403.65,39799.95,19431.46,4933.64,2715.16,1226.9,2339.26,2.35,2448.24,1110.78,3984.42,9082.76,1115.33,268.66,74.83,291.65,118.23,1963.1,754.96,262.9,12705.92,20178.42,3888.91,716.74,1522.21,8745.18,34431.57,14428.25,3238.36,9040.01,9539.36,27382.72,12685.72,7894.38,11770.26,1349.58,967.05,148.28,834.41,111412.74,3829.01,8770.03
2014,371308.84,37113.43,19064.81,4721.41,2378.15,1150.41,2272.35,2.09,2527.76,1231.24,3654.48,8385.85,1107.53,273.02,53.74,238.73,98.1,1667.35,709.19,262.11,13395.91,19341.59,3499.93,673.95,1539.36,8795.1,33717.75,14101.86,3177.9,8770.65,8848.67,24825.99,11815.55,7481.32,10183.25,1252.02,868.18,136.72,615.09,100872.16,3403.74,7080.39
2013,343985.88,34424.86,17891.42,4418.44,2043.45,984.74,2465.86,1.95,2266.75,1123.67,3367.76,7903.4,1055.15,252.41,54.26,216.01,85.92,1640.82,687.47,225.66,12769.56,17493.45,3210.84,669.46,1469.88,7839.65,32508.59,13292.14,2925.78,8220.74,8946.49,22430.3,11385.57,7040.87,8766.02,1162.56,917.36,134.01,702.67,92228.48,2632.67,6128.78
2012,312094.37,31443.48271,16625.03745,3963.41745,1818.16395,834.91726,2237.16561,1.92387,1975.41123,941.46407,3232.44693,7027.99416,1009.43583,209.9506,64.51932,208.38142,81.59387,1735.21632,622.39915,195.93147,11945.79742,15867.47437,2971.0717,629.4869,1330.2949,7007.31415,29769.61917,12068.18063,2718.23325,7360.07651,8150.88362,19292.63838,10621.02403,6214.69824,8448.33269,1117.3573,671.70706,106.78592,645.48411,83147.25108,2543.51096,5238.29058
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
