年份,国有控股工业企业国家资本金,煤炭开采和洗选业国有控股工业企业国家资本金,石油和天然气开采业国有控股工业企业国家资本金,黑色金属矿采选业国有控股工业企业国家资本金,有色金属矿采选业国有控股工业企业国家资本金,非金属矿采选业国有控股工业企业国家资本金,开采辅助活动国有控股工业企业国家资本金,其他采矿业国有控股工业企业国家资本金,农副食品加工业国有控股工业企业国家资本金,食品制造业国有控股工业企业国家资本金,酒、饮料和精制茶制造业国有控股工业企业国家资本金,烟草制品业国有控股工业企业国家资本金,纺织业国有控股工业企业国家资本金,纺织服装、服饰业国有控股工业企业国家资本金,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业国家资本金,木材加工和木、竹、藤、棕、草制品业国有控股工业企业国家资本金,家具制造业国有控股工业企业国家资本金,造纸和纸制品业国有控股工业企业国家资本金,印刷和记录媒介复制业国有控股工业企业国家资本金,文教、工美、体育和娱乐用品制造业国有控股工业企业国家资本金,石油加工、炼焦和核燃料加工业国有控股工业企业国家资本金,化学原料和化学制品制造业国有控股工业企业国家资本金,医药制造业国有控股工业企业国家资本金,化学纤维制造业国有控股工业企业国家资本金,橡胶和塑料制品业国有控股工业企业国家资本金,非金属矿物制品业国有控股工业企业国家资本金,黑色金属冶炼和压延加工业国有控股工业企业国家资本金,有色金属冶炼和压延加工业国有控股工业企业国家资本金,金属制品业国有控股工业企业国家资本金,通用设备制造业国有控股工业企业国家资本金,专用设备制造业国有控股工业企业国家资本金,汽车制造业国有控股工业企业国家资本金,铁路、船舶、航空航天和其他运输设备国有控股工业企业国家资本金,电气机械和器材制造业国有控股工业企业国家资本金,计算机、通信和其他电子设备制造业国有控股工业企业国家资本金,仪器仪表制造业国有控股工业企业国家资本金,其他制造业国有控股工业企业国家资本金,废弃资源综合利用业国有控股工业企业国家资本金,金属制品、机械和设备修理业国有控股工业企业国家资本金,电力、热力生产和供应业国有控股工业企业国家资本金,燃气生产和供应业国有控股工业企业国家资本金,水的生产和供应业国有控股工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,77448.26,2856.89,4126.69,797.33,307.84,95.07,598.18,,200.21,111.93,262.29,676.92,103.2,34.87,8.39,28.31,4.74,183.98,140.83,27.34,2798.03,2814.25,301.76,170.02,205.27,1127.41,3070.99,1764.89,592.7,804.05,963.47,1588.28,1941.03,777.53,1036.49,159.87,192.33,26.76,198.37,42621.69,1821.46,1906.49
2016,56310.84,2866.33,4335.75,738.69,257.8,108.81,799.39,,247.89,104.8,166.34,661.91,106.58,21.51,8.69,20.01,2.78,299.37,126.28,33.83,2524.81,2329.93,317.36,90.16,187.7,983.92,2804.04,1539.93,456.49,611.07,804.46,1465.63,1745.84,604.35,1091.27,121.45,86.69,21.04,205.37,24766.25,1329.06,1317.18
2015,49737.34,3431.71,4200.92,766.66,214.53,107.19,851.08,0.1,193.97,91.85,211.17,497.51,90.77,17.41,5.77,21.55,3.71,217.76,130.59,29.48,2553.58,1965.52,284.13,54.22,157.07,887.25,2639.03,1450.35,407.15,609.42,977.9,1194.46,1557.61,578.06,969.38,116.61,82.43,15.45,170.16,19945.7,751.59,1286.54
2014,37857.17,2503.57,4898.36,779.31,213.47,104.16,570.99,0.0,139.44,66.8,314.5,344.95,101.86,20.37,3.63,17.0,4.66,195.68,120.14,34.47,2307.69,1859.07,203.69,42.14,127.55,857.04,2210.45,1334.42,389.06,558.53,687.41,1086.98,1282.38,480.15,917.47,112.67,70.86,10.26,119.93,11157.2,413.91,1194.96
2013,33129.26,2241.24,4482.51,651.73,162.21,111.71,527.86,0.1,130.2,68.28,158.71,373.61,82.08,14.78,2.99,12.23,3.95,188.01,100.86,33.12,1980.16,1682.09,242.97,68.72,104.38,660.24,1726.34,1183.44,331.95,456.45,688.38,975.7,1039.32,433.05,588.1,84.5,41.37,17.6,117.67,9974.4,306.72,1079.54
2012,27852.15075,1868.40909,3705.68023,647.93643,145.40714,90.69206,433.54887,,91.84944,49.05385,145.62733,240.94781,78.35845,13.39238,3.48271,15.54133,4.16802,141.23627,72.53992,11.7991,2099.04185,1228.42027,189.2453,49.60013,72.68735,502.75594,1592.08858,983.63951,311.72528,365.42449,388.41434,772.00202,669.99812,320.73796,1218.57701,92.24097,56.41753,5.54092,102.26073,7866.10015,216.58738,988.97449
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
