年份,国有控股工业企业主营业务收入,煤炭开采和洗选业国有控股工业企业主营业务收入,石油和天然气开采业国有控股工业企业主营业务收入,黑色金属矿采选业国有控股工业企业主营业务收入,有色金属矿采选业国有控股工业企业主营业务收入,非金属矿采选业国有控股工业企业主营业务收入,开采辅助活动国有控股工业企业主营业务收入,其他采矿业国有控股工业企业主营业务收入,农副食品加工业国有控股工业企业主营业务收入,食品制造业国有控股工业企业主营业务收入,酒、饮料和精制茶制造业国有控股工业企业主营业务收入,烟草制品业国有控股工业企业主营业务收入,纺织业国有控股工业企业主营业务收入,纺织服装、服饰业国有控股工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业国有控股工业企业主营业务收入,家具制造业国有控股工业企业主营业务收入,造纸和纸制品业国有控股工业企业主营业务收入,印刷和记录媒介复制业国有控股工业企业主营业务收入,文教、工美、体育和娱乐用品制造业国有控股工业企业主营业务收入,石油加工、炼焦和核燃料加工业国有控股工业企业主营业务收入,化学原料和化学制品制造业国有控股工业企业主营业务收入,医药制造业国有控股工业企业主营业务收入,化学纤维制造业国有控股工业企业主营业务收入,橡胶和塑料制品业国有控股工业企业主营业务收入,非金属矿物制品业国有控股工业企业主营业务收入,黑色金属冶炼和压延加工业国有控股工业企业主营业务收入,有色金属冶炼和压延加工业国有控股工业企业主营业务收入,金属制品业国有控股工业企业主营业务收入,通用设备制造业国有控股工业企业主营业务收入,专用设备制造业国有控股工业企业主营业务收入,汽车制造业国有控股工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备国有控股工业企业主营业务收入,电气机械和器材制造业国有控股工业企业主营业务收入,计算机、通信和其他电子设备制造业国有控股工业企业主营业务收入,仪器仪表制造业国有控股工业企业主营业务收入,其他制造业国有控股工业企业主营业务收入,废弃资源综合利用业国有控股工业企业主营业务收入,金属制品、机械和设备修理业国有控股工业企业主营业务收入,电力、热力生产和供应业国有控股工业企业主营业务收入,燃气生产和供应业国有控股工业企业主营业务收入,水的生产和供应业国有控股工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,265393.01,15933.74,6373.17,1201.87,1949.94,377.24,1314.34,,2972.21,1324.75,3153.65,8827.16,827.17,207.64,99.91,207.9,206.56,680.16,521.4,536.46,22683.32,14745.3,2364.12,966.87,1162.25,5201.13,21793.35,18879.26,2480.24,4482.27,4464.57,37091.02,7067.4,6296.48,9678.49,835.06,470.64,183.98,505.13,52529.19,3142.26,1654.59
2016,238990.23,13137.39,5255.05,988.71,2162.7,566.02,1291.15,,3715.96,1179.6,2695.61,8623.37,874.01,187.65,116.19,202.59,117.03,715.06,483.32,580.64,18732.36,13051.56,2449.66,779.7,891.76,4865.33,16754.65,16253.53,2007.25,4676.69,4048.66,32780.34,7440.2,5773.46,8654.36,896.78,377.95,182.03,574.24,50631.6,2813.16,1461.99
2015,241668.91,13886.4,6619.31,1075.23,2082.27,559.42,1441.94,0.91,3471.41,1144.53,2515.34,9275.65,890.39,188.21,107.99,215.09,97.64,722.06,520.6,555.11,20570.45,12491.89,2339.4,608.86,931.76,4514.82,17768.19,16646.42,2223.35,4623.79,4422.84,29342.05,7628.47,5459.91,8045.66,827.82,430.74,168.53,410.57,52617.73,2919.0,1307.16
2014,262692.28,17734.6,9973.94,1503.73,1885.83,530.08,1774.76,0.94,3624.39,1213.82,2617.6,8895.79,878.11,187.19,87.32,211.61,80.99,729.74,504.61,503.62,27226.9,13285.58,2265.55,472.85,1258.51,5011.34,23260.33,16670.29,2220.36,4975.31,4955.4,29565.23,7216.1,5531.75,7224.32,800.37,410.12,187.29,280.71,53219.08,2537.86,1178.36
2013,257816.87,19193.05,10157.34,1693.38,1843.77,519.95,1717.26,1.02,3427.07,1069.44,2629.7,8245.01,894.98,207.42,105.95,190.85,88.49,724.53,515.98,517.72,27868.47,13097.02,2295.57,482.26,1272.23,4829.75,24782.53,15618.3,2262.37,5056.24,5574.54,25789.52,6467.38,5212.85,6581.62,780.07,427.23,236.55,310.25,52169.63,1926.88,1032.7
2012,245075.97,20157.52565,10432.25319,1571.75548,1668.87811,472.94368,1586.77833,0.84227,2982.9971,934.73356,2663.13401,7522.57796,850.50076,200.85484,114.49445,186.8859,93.7092,911.56567,486.42598,437.51188,27452.73623,12455.93879,2224.59811,448.91065,1301.41393,4176.10945,24132.48162,13962.55427,2144.56675,4794.41231,5537.62121,22690.81841,6188.18867,4624.73089,6085.1555,768.62826,397.99002,190.18913,299.62902,49302.71685,1713.20783,907.00538
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
