年份,国有控股工业企业应交所得税,煤炭开采和洗选业国有控股工业企业应交所得税,石油和天然气开采业国有控股工业企业应交所得税,黑色金属矿采选业国有控股工业企业应交所得税,有色金属矿采选业国有控股工业企业应交所得税,非金属矿采选业国有控股工业企业应交所得税,开采辅助活动国有控股工业企业应交所得税,其他采矿业国有控股工业企业应交所得税,农副食品加工业国有控股工业企业应交所得税,食品制造业国有控股工业企业应交所得税,酒、饮料和精制茶制造业国有控股工业企业应交所得税,烟草制品业国有控股工业企业应交所得税,纺织业国有控股工业企业应交所得税,纺织服装、服饰业国有控股工业企业应交所得税,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业应交所得税,木材加工和木、竹、藤、棕、草制品业国有控股工业企业应交所得税,家具制造业国有控股工业企业应交所得税,造纸和纸制品业国有控股工业企业应交所得税,印刷和记录媒介复制业国有控股工业企业应交所得税,文教、工美、体育和娱乐用品制造业国有控股工业企业应交所得税,石油加工、炼焦和核燃料加工业国有控股工业企业应交所得税,化学原料和化学制品制造业国有控股工业企业应交所得税,医药制造业国有控股工业企业应交所得税,化学纤维制造业国有控股工业企业应交所得税,橡胶和塑料制品业国有控股工业企业应交所得税,非金属矿物制品业国有控股工业企业应交所得税,黑色金属冶炼和压延加工业国有控股工业企业应交所得税,有色金属冶炼和压延加工业国有控股工业企业应交所得税,金属制品业国有控股工业企业应交所得税,通用设备制造业国有控股工业企业应交所得税,专用设备制造业国有控股工业企业应交所得税,汽车制造业国有控股工业企业应交所得税,铁路、船舶、航空航天和其他运输设备国有控股工业企业应交所得税,电气机械和器材制造业国有控股工业企业应交所得税,计算机、通信和其他电子设备制造业国有控股工业企业应交所得税,仪器仪表制造业国有控股工业企业应交所得税,其他制造业国有控股工业企业应交所得税,废弃资源综合利用业国有控股工业企业应交所得税,金属制品、机械和设备修理业国有控股工业企业应交所得税,电力、热力生产和供应业国有控股工业企业应交所得税,燃气生产和供应业国有控股工业企业应交所得税,水的生产和供应业国有控股工业企业应交所得税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2847.28,222.23,233.71,16.17,25.17,6.35,14.12,0.05,10.92,10.92,112.25,296.07,3.77,1.49,0.58,0.81,1.28,2.35,11.37,4.09,37.92,78.1,32.52,10.3,9.41,74.54,55.23,44.81,14.79,36.25,24.61,576.88,59.71,38.51,45.57,6.44,4.16,1.07,1.04,663.2,37.97,20.53
2013,2736.8,334.17,210.43,25.99,33.17,7.12,11.73,0.06,11.83,8.38,123.24,297.53,3.91,1.26,1.09,0.57,1.93,4.94,11.79,3.71,73.91,79.86,33.9,7.16,10.0,74.34,40.0,43.18,14.86,46.78,37.36,425.83,48.06,37.08,47.08,8.39,3.52,0.92,1.93,560.98,33.78,15.02
2012,2677.15432,452.84848,340.61021,26.77647,53.8669,9.42159,8.84439,0.05903,9.07894,8.41725,134.28826,263.15604,2.658,1.69157,0.94888,0.663,2.06219,7.6742,9.55903,2.7047,50.856,70.87504,33.92083,4.51871,10.39822,63.61023,66.10271,54.2703,14.03998,44.91105,50.43995,271.83649,45.02181,29.63499,37.12322,6.11936,2.5403,0.78479,1.04706,448.06136,25.34858,10.36421
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
