年份,国有控股工业企业工业销售产值(现价),煤炭开采和洗选业国有控股工业企业工业销售产值(现价),石油和天然气开采业国有控股工业企业工业销售产值(现价),黑色金属矿采选业国有控股工业企业工业销售产值(现价),有色金属矿采选业国有控股工业企业工业销售产值(现价),非金属矿采选业国有控股工业企业工业销售产值(现价),开采辅助活动国有控股工业企业工业销售产值(现价),其他采矿业国有控股工业企业工业销售产值(现价),农副食品加工业国有控股工业企业工业销售产值(现价),食品制造业国有控股工业企业工业销售产值(现价),酒、饮料和精制茶制造业国有控股工业企业工业销售产值(现价),烟草制品业国有控股工业企业工业销售产值(现价),纺织业国有控股工业企业工业销售产值(现价),纺织服装、服饰业国有控股工业企业工业销售产值(现价),皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业工业销售产值(现价),木材加工和木、竹、藤、棕、草制品业国有控股工业企业工业销售产值(现价),家具制造业国有控股工业企业工业销售产值(现价),造纸和纸制品业国有控股工业企业工业销售产值(现价),印刷和记录媒介复制业国有控股工业企业工业销售产值(现价),文教、工美、体育和娱乐用品制造业国有控股工业企业工业销售产值(现价),石油加工、炼焦和核燃料加工业国有控股工业企业工业销售产值(现价),化学原料和化学制品制造业国有控股工业企业工业销售产值(现价),医药制造业国有控股工业企业工业销售产值(现价),化学纤维制造业国有控股工业企业工业销售产值(现价),橡胶和塑料制品业国有控股工业企业工业销售产值(现价),非金属矿物制品业国有控股工业企业工业销售产值(现价),黑色金属冶炼和压延加工业国有控股工业企业工业销售产值(现价),有色金属冶炼和压延加工业国有控股工业企业工业销售产值(现价),金属制品业国有控股工业企业工业销售产值(现价),通用设备制造业国有控股工业企业工业销售产值(现价),专用设备制造业国有控股工业企业工业销售产值(现价),汽车制造业国有控股工业企业工业销售产值(现价),铁路、船舶、航空航天和其他运输设备国有控股工业企业工业销售产值(现价),电气机械和器材制造业国有控股工业企业工业销售产值(现价),计算机、通信和其他电子设备制造业国有控股工业企业工业销售产值(现价),仪器仪表制造业国有控股工业企业工业销售产值(现价),其他制造业国有控股工业企业工业销售产值(现价),废弃资源综合利用业国有控股工业企业工业销售产值(现价),金属制品、机械和设备修理业国有控股工业企业工业销售产值(现价),电力、热力生产和供应业国有控股工业企业工业销售产值(现价),燃气生产和供应业国有控股工业企业工业销售产值(现价),水的生产和供应业国有控股工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,227532.62,10349.32,5578.76,942.27,2178.91,565.24,1166.78,,3473.23,1110.86,2623.49,8795.89,652.21,182.5,88.24,223.22,118.28,713.07,472.04,467.24,18518.03,12170.85,2237.75,770.49,856.9,4950.91,15783.68,11383.54,1941.3,4434.99,3927.68,31323.29,7679.07,5481.29,8677.94,873.65,398.39,239.33,579.71,51376.45,2825.41,1399.47
2015,228359.19,10788.72,6756.65,952.78,2100.56,553.69,1237.24,1.06,3291.54,1063.59,2416.75,9557.75,677.34,180.0,85.59,214.28,97.14,712.65,503.28,443.19,20268.36,11609.58,2057.52,581.18,898.53,4601.48,15944.28,11474.71,2115.66,4473.14,4369.8,27930.83,7870.64,5147.92,7957.72,839.07,462.58,236.4,411.93,53385.2,2844.87,1243.96
2014,244458.39,13340.42,10230.5,1262.52,1857.71,541.57,1466.67,1.09,3402.59,1068.96,2348.12,9051.35,698.83,182.89,77.32,218.79,89.63,719.76,493.76,432.15,27097.84,12479.99,1942.38,453.58,1244.36,5045.85,20244.46,11696.55,2131.61,4779.22,4835.32,27407.57,7283.38,5168.69,7245.8,796.27,427.91,220.21,286.89,52654.34,2418.24,1113.27
2013,240315.31,15223.07,9927.48,1334.77,1737.91,512.36,1481.11,1.09,3276.67,937.86,2337.6,8663.72,696.15,181.33,85.92,208.53,87.56,698.82,509.73,425.58,27227.21,12297.4,1950.74,451.74,1282.95,4841.86,21692.89,11180.32,2144.88,4767.73,5341.24,24144.21,6557.23,4933.51,6509.52,801.65,431.77,208.76,311.6,52038.25,1867.27,1005.33
2012,228729.67142,16481.59459,10523.73359,1204.22318,1590.21959,424.37089,1232.54171,0.84227,2778.46875,835.92814,2325.20793,7891.47986,678.71133,178.48385,87.9762,191.2659,88.75569,915.01765,464.85756,358.04457,27111.47113,11809.20202,1848.16713,419.90162,1255.26281,4232.18093,21627.8439,10509.61344,2100.64094,4657.72607,5253.99353,21259.63881,6385.50745,4342.90464,5744.62407,762.15379,373.84389,167.81038,287.52573,47775.49066,1667.10754,885.33769
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
