年份,国有控股工业企业出口交货值,煤炭开采和洗选业国有控股工业企业出口交货值,石油和天然气开采业国有控股工业企业出口交货值,黑色金属矿采选业国有控股工业企业出口交货值,有色金属矿采选业国有控股工业企业出口交货值,非金属矿采选业国有控股工业企业出口交货值,开采辅助活动国有控股工业企业出口交货值,其他采矿业国有控股工业企业出口交货值,农副食品加工业国有控股工业企业出口交货值,食品制造业国有控股工业企业出口交货值,酒、饮料和精制茶制造业国有控股工业企业出口交货值,烟草制品业国有控股工业企业出口交货值,纺织业国有控股工业企业出口交货值,纺织服装、服饰业国有控股工业企业出口交货值,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业出口交货值,木材加工和木、竹、藤、棕、草制品业国有控股工业企业出口交货值,家具制造业国有控股工业企业出口交货值,造纸和纸制品业国有控股工业企业出口交货值,印刷和记录媒介复制业国有控股工业企业出口交货值,文教、工美、体育和娱乐用品制造业国有控股工业企业出口交货值,石油加工、炼焦和核燃料加工业国有控股工业企业出口交货值,化学原料和化学制品制造业国有控股工业企业出口交货值,医药制造业国有控股工业企业出口交货值,化学纤维制造业国有控股工业企业出口交货值,橡胶和塑料制品业国有控股工业企业出口交货值,非金属矿物制品业国有控股工业企业出口交货值,黑色金属冶炼和压延加工业国有控股工业企业出口交货值,有色金属冶炼和压延加工业国有控股工业企业出口交货值,金属制品业国有控股工业企业出口交货值,通用设备制造业国有控股工业企业出口交货值,专用设备制造业国有控股工业企业出口交货值,汽车制造业国有控股工业企业出口交货值,铁路、船舶、航空航天和其他运输设备国有控股工业企业出口交货值,电气机械和器材制造业国有控股工业企业出口交货值,计算机、通信和其他电子设备制造业国有控股工业企业出口交货值,仪器仪表制造业国有控股工业企业出口交货值,其他制造业国有控股工业企业出口交货值,废弃资源综合利用业国有控股工业企业出口交货值,金属制品、机械和设备修理业国有控股工业企业出口交货值,电力、热力生产和供应业国有控股工业企业出口交货值,燃气生产和供应业国有控股工业企业出口交货值,水的生产和供应业国有控股工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,8548.33,12.53,0.76,,6.52,3.17,2.48,,47.98,54.16,57.68,40.47,95.7,17.94,3.15,24.68,13.98,37.72,8.59,11.23,358.64,494.2,148.04,66.04,141.1,102.44,1013.7,213.0,130.97,280.42,323.08,593.21,1202.45,426.72,2275.86,12.25,14.81,0.82,220.1,76.73,12.37,2.65
2015,8516.83,11.26,0.46,0.0,4.15,8.7,102.45,0.0,47.14,49.11,57.72,42.39,86.04,19.45,2.33,20.66,14.71,35.6,11.84,12.79,353.5,528.75,146.13,44.17,155.96,97.14,1200.99,201.58,149.75,302.39,281.46,528.77,1441.92,385.83,2045.5,12.53,17.14,0.83,62.45,22.21,8.56,2.47
2014,9313.99,16.02,29.83,0.0,2.08,3.66,19.1,0.0,61.0,47.42,57.16,36.45,133.42,20.15,1.47,18.45,13.94,35.96,11.04,14.93,380.12,585.76,166.05,45.1,237.19,104.29,1472.92,305.25,176.14,312.61,568.06,613.87,1220.48,403.45,2031.65,22.82,14.56,0.44,54.55,65.33,9.16,2.12
2013,8791.96,59.97,0.54,0.0,3.24,3.12,15.7,0.0,58.29,40.82,53.25,35.96,115.32,20.68,2.67,13.83,16.42,40.71,12.59,17.58,405.88,550.96,177.67,44.05,221.79,93.72,1122.0,296.18,159.9,351.85,548.72,623.74,1321.16,443.54,1684.49,23.36,12.58,0.47,53.63,134.84,8.56,2.18
2012,8669.22906,35.81115,9.102,,0.13529,4.70263,29.23501,,56.73749,41.31457,69.57418,34.77538,123.40726,25.15662,2.97251,15.94627,15.48751,36.55918,9.32414,13.79351,291.5783,489.03024,176.69122,43.39275,233.77987,105.52614,1151.22336,257.25554,179.6932,346.36395,591.81328,607.86509,1457.16562,426.6752,1617.87889,36.55078,11.00992,0.35272,50.84102,57.84196,8.87194,3.79337
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
