年份,国有控股工业企业销售费用,煤炭开采和洗选业国有控股工业企业销售费用,石油和天然气开采业国有控股工业企业销售费用,黑色金属矿采选业国有控股工业企业销售费用,有色金属矿采选业国有控股工业企业销售费用,非金属矿采选业国有控股工业企业销售费用,开采辅助活动国有控股工业企业销售费用,其他采矿业国有控股工业企业销售费用,农副食品加工业国有控股工业企业销售费用,食品制造业国有控股工业企业销售费用,酒、饮料和精制茶制造业国有控股工业企业销售费用,烟草制品业国有控股工业企业销售费用,纺织业国有控股工业企业销售费用,纺织服装、服饰业国有控股工业企业销售费用,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业销售费用,木材加工和木、竹、藤、棕、草制品业国有控股工业企业销售费用,家具制造业国有控股工业企业销售费用,造纸和纸制品业国有控股工业企业销售费用,印刷和记录媒介复制业国有控股工业企业销售费用,文教、工美、体育和娱乐用品制造业国有控股工业企业销售费用,石油加工、炼焦和核燃料加工业国有控股工业企业销售费用,化学原料和化学制品制造业国有控股工业企业销售费用,医药制造业国有控股工业企业销售费用,化学纤维制造业国有控股工业企业销售费用,橡胶和塑料制品业国有控股工业企业销售费用,非金属矿物制品业国有控股工业企业销售费用,黑色金属冶炼和压延加工业国有控股工业企业销售费用,有色金属冶炼和压延加工业国有控股工业企业销售费用,金属制品业国有控股工业企业销售费用,通用设备制造业国有控股工业企业销售费用,专用设备制造业国有控股工业企业销售费用,汽车制造业国有控股工业企业销售费用,铁路、船舶、航空航天和其他运输设备国有控股工业企业销售费用,电气机械和器材制造业国有控股工业企业销售费用,计算机、通信和其他电子设备制造业国有控股工业企业销售费用,仪器仪表制造业国有控股工业企业销售费用,其他制造业国有控股工业企业销售费用,废弃资源综合利用业国有控股工业企业销售费用,金属制品、机械和设备修理业国有控股工业企业销售费用,电力、热力生产和供应业国有控股工业企业销售费用,燃气生产和供应业国有控股工业企业销售费用,水的生产和供应业国有控股工业企业销售费用
2019,5814.3,345.83,35.03,22.07,10.22,25.39,1.64,,76.17,135.05,378.14,156.56,11.32,5.26,1.88,6.16,2.71,18.66,11.92,7.84,152.13,319.78,587.45,19.89,50.77,246.94,314.81,107.22,53.33,166.39,190.66,1302.2,129.39,202.42,362.23,40.8,4.6,3.2,3.85,39.84,121.93,142.64
2018,6077.29,374.0,34.3,24.4,12.2,25.6,1.1,,67.7,125.7,310.8,162.0,13.4,5.2,1.3,6.6,2.9,20.4,10.7,15.1,158.4,326.5,566.9,20.1,48.8,213.4,310.5,102.4,48.6,144.3,187.3,1431.4,99.1,354.0,464.1,34.8,4.0,1.6,2.5,43.7,108.7,134.6
2017,5802.9,389.43,38.17,25.69,13.35,27.28,0.83,,73.32,128.09,272.92,157.4,14.49,5.18,1.39,7.01,2.73,24.56,10.6,13.5,146.61,323.65,384.39,22.21,50.45,212.88,295.39,116.15,50.31,147.76,174.61,1424.2,116.32,329.16,481.16,31.4,6.07,1.67,3.2,56.71,101.87,120.81
2016,5507.33,372.13,32.82,23.95,14.65,30.88,1.34,,82.88,123.76,304.08,150.43,14.57,5.67,1.63,6.99,2.3,24.01,10.92,14.23,134.16,324.54,334.12,19.76,37.82,191.7,258.99,101.7,38.95,159.64,148.81,1280.35,117.55,354.82,466.79,30.78,5.21,1.45,6.07,78.1,88.24,110.51
2015,5245.53,434.86,40.23,28.65,14.63,29.68,1.54,0.02,79.48,116.51,250.35,147.08,12.83,6.16,1.74,6.95,3.48,24.66,10.61,9.55,135.65,317.93,296.51,10.97,39.12,181.86,286.29,101.22,41.34,148.27,140.45,1157.55,121.18,338.28,410.42,30.15,4.85,1.21,2.49,90.64,75.73,94.44
2014,5552.9,477.53,42.72,33.4,14.88,31.92,1.76,0.02,76.56,128.61,272.87,144.56,11.9,7.62,1.65,6.09,3.03,25.33,10.83,11.74,135.34,299.74,278.32,8.15,50.22,179.21,290.08,102.95,42.84,152.82,159.88,1272.82,120.62,457.43,382.87,28.19,5.3,0.91,2.31,125.74,67.8,86.31
2013,5201.24,484.53,42.28,34.31,13.23,30.74,1.69,0.03,75.07,113.33,254.52,152.61,11.4,8.02,2.35,6.29,2.67,25.32,11.24,7.14,123.36,277.7,282.08,7.99,52.24,172.43,266.9,90.26,41.04,168.89,183.7,1077.47,98.52,390.52,389.12,27.56,5.29,1.52,3.17,129.18,57.4,78.11
2012,4794.41609,471.26802,40.69302,36.71559,12.70027,27.32635,8.88092,0.04228,63.32611,107.01188,242.41075,151.91634,10.95637,7.11228,2.14308,5.10492,2.78934,26.22248,11.45748,5.89055,114.29678,247.88783,261.71767,6.60611,44.48838,142.31696,248.56082,85.3364,40.15016,151.26789,177.82069,973.48936,98.95394,301.70894,354.58159,25.76603,3.76992,1.80845,2.65138,150.8038,56.88186,69.5831
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
