年份,国有控股工业企业营业利润,煤炭开采和洗选业国有控股工业企业营业利润,石油和天然气开采业国有控股工业企业营业利润,黑色金属矿采选业国有控股工业企业营业利润,有色金属矿采选业国有控股工业企业营业利润,非金属矿采选业国有控股工业企业营业利润,开采辅助活动国有控股工业企业营业利润,其他采矿业国有控股工业企业营业利润,农副食品加工业国有控股工业企业营业利润,食品制造业国有控股工业企业营业利润,酒、饮料和精制茶制造业国有控股工业企业营业利润,烟草制品业国有控股工业企业营业利润,纺织业国有控股工业企业营业利润,纺织服装、服饰业国有控股工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业营业利润,木材加工和木、竹、藤、棕、草制品业国有控股工业企业营业利润,家具制造业国有控股工业企业营业利润,造纸和纸制品业国有控股工业企业营业利润,印刷和记录媒介复制业国有控股工业企业营业利润,文教、工美、体育和娱乐用品制造业国有控股工业企业营业利润,石油加工、炼焦和核燃料加工业国有控股工业企业营业利润,化学原料和化学制品制造业国有控股工业企业营业利润,医药制造业国有控股工业企业营业利润,化学纤维制造业国有控股工业企业营业利润,橡胶和塑料制品业国有控股工业企业营业利润,非金属矿物制品业国有控股工业企业营业利润,黑色金属冶炼和压延加工业国有控股工业企业营业利润,有色金属冶炼和压延加工业国有控股工业企业营业利润,金属制品业国有控股工业企业营业利润,通用设备制造业国有控股工业企业营业利润,专用设备制造业国有控股工业企业营业利润,汽车制造业国有控股工业企业营业利润,铁路、船舶、航空航天和其他运输设备国有控股工业企业营业利润,电气机械和器材制造业国有控股工业企业营业利润,计算机、通信和其他电子设备制造业国有控股工业企业营业利润,仪器仪表制造业国有控股工业企业营业利润,其他制造业国有控股工业企业营业利润,废弃资源综合利用业国有控股工业企业营业利润,金属制品、机械和设备修理业国有控股工业企业营业利润,电力、热力生产和供应业国有控股工业企业营业利润,燃气生产和供应业国有控股工业企业营业利润,水的生产和供应业国有控股工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,16564.55,1876.66,71.2,39.78,199.88,26.96,-125.24,,79.35,84.16,806.44,960.69,11.74,9.57,3.42,2.41,30.65,22.16,44.08,22.26,1371.7,1013.8,341.62,69.83,7.12,466.45,901.83,413.73,62.99,213.37,43.73,3237.36,229.39,283.59,602.12,38.46,32.11,9.02,8.13,2738.46,225.19,88.36
2016,10861.24,304.47,-740.51,-19.57,121.61,34.11,-116.81,,83.4,84.64,486.21,1029.41,8.31,7.79,5.52,3.46,20.01,4.01,39.05,33.11,1115.84,194.19,298.68,50.0,18.06,263.12,-141.56,179.07,52.62,122.36,-144.56,2968.88,266.85,395.89,340.41,47.53,26.94,0.71,-22.4,3211.63,193.39,35.22
2015,9785.32,-383.08,445.41,-14.84,90.46,42.69,-12.8,0.23,78.79,79.89,432.26,1197.65,4.63,7.79,6.04,-1.31,18.47,-13.61,50.47,32.53,291.96,144.1,253.91,37.36,19.53,128.52,-967.37,-58.28,45.96,137.81,-74.44,2834.64,249.64,292.09,164.98,43.24,21.33,3.22,9.81,3958.79,154.3,32.53
2014,13519.01,367.62,2785.65,95.81,145.25,37.14,-19.41,0.19,84.09,78.75,448.38,1221.16,6.34,10.46,5.54,4.85,16.96,-10.02,55.27,24.97,-283.98,9.59,209.66,39.85,40.07,309.46,-41.34,101.18,58.13,174.04,37.11,3025.41,269.19,255.6,220.18,51.06,18.89,4.12,0.07,3484.9,149.26,27.58
2013,15152.88,1283.77,3351.47,126.66,185.08,42.11,-73.62,0.25,108.04,58.31,520.06,1215.2,-2.18,8.98,5.25,2.17,18.2,1.84,57.26,23.12,117.1,132.36,220.72,30.41,50.19,296.19,-31.66,174.62,144.99,277.22,163.46,2427.78,222.71,224.24,266.63,49.64,11.47,5.31,3.24,3279.51,147.01,7.73
2012,14282.91118,2009.9162,3704.31914,196.82039,265.44851,53.80985,-26.06443,0.16303,100.42144,44.12749,551.94817,1067.17286,7.57744,6.38377,5.66612,4.39089,16.67753,8.14492,55.82485,14.17892,-148.48427,236.75875,217.76441,3.37829,41.74941,265.20079,-347.92775,325.10095,153.84439,281.54622,256.51226,2015.18534,208.66479,120.51015,188.27633,53.37971,12.0024,3.28736,7.06501,2199.08548,122.56134,-19.47727
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
