省份编码,省份,年份,版权合同登记数(份),图书版权合同登记数(份),期刊版权合同登记数(份),音像制品版权合同登记数(份),电子制品版权合同登记数(份),软件出版物版权合同登记数(份),电影版权合同登记数(份),电视版权合同登记数(份),其他节目版权合同登记数(份)
110000,北京市,2019,,,,,,,,,
110000,北京市,2018,,,,,,,,,
110000,北京市,2017,,,,,,,,,
110000,北京市,2016,,,,,,,,,
110000,北京市,2015,,,,,,,,,
110000,北京市,2014,,,,,,,,,
110000,北京市,2013,,,,,,,,,
110000,北京市,2012,,,,,,,,,
110000,北京市,2011,8513,7919,281,,47,266,,,
110000,北京市,2010,8631,8074,228,,37,292,,,
110000,北京市,2009,,,,,,,,,
110000,北京市,2008,,,,,,,,,
110000,北京市,2007,,,,,,,,,
110000,北京市,2006,,,,,,,,,
110000,北京市,2005,,,,,,,,,
110000,北京市,2004,,,,,,,,,
110000,北京市,2003,,,,,,,,,
110000,北京市,2002,,,,,,,,,
110000,北京市,2001,,,,,,,,,
110000,北京市,2000,,,,,,,,,
120000,天津市,2019,,,,,,,,,
120000,天津市,2018,,,,,,,,,
120000,天津市,2017,,,,,,,,,
120000,天津市,2016,,,,,,,,,
120000,天津市,2015,,,,,,,,,
120000,天津市,2014,,,,,,,,,
120000,天津市,2013,,,,,,,,,
120000,天津市,2012,,,,,,,,,
120000,天津市,2011,272,272,,,,,,,
120000,天津市,2010,184,159,,,1,10,,,14
120000,天津市,2009,,,,,,,,,
120000,天津市,2008,,,,,,,,,
120000,天津市,2007,,,,,,,,,
120000,天津市,2006,,,,,,,,,
120000,天津市,2005,,,,,,,,,
120000,天津市,2004,,,,,,,,,
120000,天津市,2003,,,,,,,,,
120000,天津市,2002,,,,,,,,,
120000,天津市,2001,,,,,,,,,
120000,天津市,2000,,,,,,,,,
130000,河北省,2019,,,,,,,,,
130000,河北省,2018,,,,,,,,,
130000,河北省,2017,,,,,,,,,
130000,河北省,2016,,,,,,,,,
130000,河北省,2015,,,,,,,,,
130000,河北省,2014,,,,,,,,,
130000,河北省,2013,,,,,,,,,
130000,河北省,2012,,,,,,,,,
130000,河北省,2011,38,38,,,,,,,
130000,河北省,2010,24,24,,,,,,,
130000,河北省,2009,,,,,,,,,
130000,河北省,2008,,,,,,,,,
130000,河北省,2007,,,,,,,,,
130000,河北省,2006,,,,,,,,,
130000,河北省,2005,,,,,,,,,
130000,河北省,2004,,,,,,,,,
130000,河北省,2003,,,,,,,,,
130000,河北省,2002,,,,,,,,,
130000,河北省,2001,,,,,,,,,
130000,河北省,2000,,,,,,,,,
140000,山西省,2019,,,,,,,,,
140000,山西省,2018,,,,,,,,,
140000,山西省,2017,,,,,,,,,
140000,山西省,2016,,,,,,,,,
140000,山西省,2015,,,,,,,,,
140000,山西省,2014,,,,,,,,,
140000,山西省,2013,,,,,,,,,
140000,山西省,2012,,,,,,,,,
140000,山西省,2011,47,47,,,,,,,
140000,山西省,2010,37,37,,,,,,,
140000,山西省,2009,,,,,,,,,
140000,山西省,2008,,,,,,,,,
140000,山西省,2007,,,,,,,,,
140000,山西省,2006,,,,,,,,,
140000,山西省,2005,,,,,,,,,
140000,山西省,2004,,,,,,,,,
140000,山西省,2003,,,,,,,,,
140000,山西省,2002,,,,,,,,,
140000,山西省,2001,,,,,,,,,
140000,山西省,2000,,,,,,,,,
